Korean,English
비둘기,pigeon; dove
비로소,finally; only then
비롯되다,to originate from; to stem from
비롯하다,to include; to begin with
비만,obesity
비명,scream; shriek
비바람,rainstorm; wind and rain
비비다,to rub; to mix (rice)
비상,emergency
비우다,to empty; to vacate
비웃다,to mock; to ridicule; to laugh at
비율,ratio; rate; proportion
비중,relative importance; proportion; weight
비추다,to shine on; to illuminate
비치다,to shine; to be reflected
비판,criticism; critique
비판적,critical; being critical
비하다,to compare (to); to be compared with
비행,flight; flying; misconduct (delinquency)
비행장,airfield; airport
빗방울,raindrop
빗줄기,streak of rain; heavy rain streaks
빚,debt
빛깔,color; hue
빛나다,to shine; to sparkle
빠뜨리다,to drop into; to omit; to leave out
빠져나가다,to escape; to slip out
빠져나오다,to get out; to escape from
빨다,to suck; to suckle
빼놓다,to leave out; to omit; to set aside
빼앗기다,to be robbed of; to be deprived of
빼앗다,to take away; to snatch; to rob
뺏다,to snatch; to take away
뻔하다,to nearly do (aux); obvious
뽑히다,to be pulled out; to be selected
뿌리치다,to shake off; to brush aside; to refuse
사건,incident; event; case
사고,thinking; thought
사과,apology
사귀다,to make friends; to date
사기,morale; fighting spirit
사나이,man; manly fellow
사냥,hunting; hunt
사들이다,to buy up; to purchase
사례,example; case; instance
사립,private (institution)
사망,death; decease
사망하다,to die; to pass away
사무소,office
사무직,office job; clerical work
사방,all directions; all sides
사상,in history; on record
사생활,private life; privacy
사설,editorial
사소하다,trivial; minor; trifling
사슴,deer
사실상,in fact; virtually; practically
사업가,businessman; entrepreneur
사업자,business operator; business owner
사이사이,gaps in between; intervals
사전,beforehand; in advance; prior
사정,circumstances; situation
사춘기,puberty; adolescence
사투리,dialect; regional accent
사표,resignation letter
사회생활,social life; work life
사회자,host; emcee; moderator
사회주의,socialism
사회학,sociology
산길,mountain path; mountain trail
산부인과,obstetrics and gynecology; OB-GYN
산업,industry
살림,housekeeping; household affairs
살아가다,to live on; to get along
살아나다,to revive; to survive; to come back to life
살아남다,to survive
살아오다,to live through; to come back alive
살인,murder; homicide
살피다,to look around; to examine; to check
삶,life; living
삼가다,to refrain from; to abstain
삼계탕,samgyetang; ginseng chicken soup
삼국,three kingdoms; Three Kingdoms (Korea)
삼다,to make (someone) into; to adopt as
삼키다,to swallow
상,top grade; table (for meals); statue
상관,relation; concern; correlation
상관없다,to not matter; to be irrelevant
상관없이,regardless of
상금,prize money
상담,consultation; counseling
상당,considerable amount; equivalence
상당수,a considerable number
상당하다,to be considerable; to be substantial
상당히,considerably; quite
상대성,relativity
상대적,relative; comparative
상대편,the other side; opponent
상류,upstream; upper class
상반기,first half of the year
상상력,imagination; imaginative power
상식,common sense
상업,commerce; business
상인,merchant; trader
상점,store; shop
상징적,symbolic
상징하다,to symbolize
상쾌하다,to be refreshing; to feel refreshed
상태,state; condition
상표,trademark; brand
상황,situation; circumstances
새,gap; interval (of time)
새기다,to engrave; to carve
새다,to leak
새로이,newly; anew
새롭다,to be new; to be fresh
새우다,to stay up (all night)
색다르다,to be unusual; to be novel
색연필,colored pencil
생,life; lifetime
생기,vitality; liveliness
생명,life
생물,living thing; organism
생방송,live broadcast
생산,production
생산되다,to be produced
생산력,productivity; productive capacity
생산자,producer
생산하다,to produce
생활비,living expenses; cost of living
생활수준,standard of living
생활용품,household goods; daily necessities
서구,the West; Western Europe
서늘하다,to be cool; to be chilly
서명,signature
서명하다,to sign
서민,ordinary people; common people
서부,western part; the west (region)
서서히,gradually; slowly
서양인,Westerner
서적,books; publications
서클,club; circle (group)
서툴다,to be clumsy; to be unskilled
석,three (before counters); seat (counter)
석사,master's degree
선,line
선거,election
선명하다,to be clear; to be vivid
선언하다,to declare; to proclaim
선원,sailor; crew member
선장,captain (of a ship)
선전,advertisement; publicity; propaganda
선정하다,to select; to choose
선진,advanced; developed
선진국,advanced country; developed country
선호하다,to prefer
설득하다,to persuade
설립하다,to establish; to found
설명되다,to be explained
설문,survey question; questionnaire
설사,even if; supposing that
설치,installation
설치되다,to be installed
설치하다,to install; to set up
섭섭하다,to be disappointed; to feel hurt
성,gender; sex; castle
성경,the Bible
성공적,successful
성당,Catholic church; cathedral
성립되다,to be formed; to come into being
성립하다,to be established; to come into being
성명,statement; declaration
성숙하다,to mature; to ripen
성실하다,to be sincere; to be diligent
성장,growth
성장하다,to grow; to develop
성적,sexual
성질,nature; temper; property
세,the Nth (monarchs); generation (counter)
세계관,worldview
세다,to count
세대,generation
세련되다,to be refined; to be stylish
세미나,seminar
세상에,oh my goodness; good heavens
세월,time; the years
세제,detergent
세종대왕,King Sejong the Great
세트,set
섹시하다,to be sexy
셈,calculation; reckoning
소규모,small scale
소극적,passive; halfhearted
소득,income
소망,wish; hope
소매,sleeve
소박하다,to be simple; to be unpretentious
소비,consumption
소비하다,to consume
소속,affiliation; belonging
소수,minority; small number
소아과,pediatrics; pediatric clinic
소요되다,to be required; to take (time)
소용,use; usefulness
소원,wish
소위,so-called
소유,possession; ownership
소유자,owner
소유하다,to own; to possess
소음,noise
소재,material; subject matter
소중하다,to be precious; to be valuable
소중히,with care; preciously
소지품,belongings; personal effects
소질,aptitude; natural talent
소프트웨어,software
소형,small size; compact
소홀히,negligently; carelessly
소화,digestion
소화하다,to digest
속담,proverb; saying
속마음,inner feelings; true feelings
속삭이다,to whisper
속상하다,to be upset; to be distressed
속이다,to deceive; to cheat
손길,touch; helping hand
손등,back of the hand
손수,with one's own hands; personally
손쉽다,to be easy; to be effortless
손실,loss
손잡다,to hold hands; to join forces
손질,trimming; grooming; care
손질하다,to trim; to groom; to tend
손해,damage; loss
솜,cotton (wool)
솜씨,skill; dexterity
솟다,to soar; to rise; to gush
쇠,iron; metal
수,way; means; number
수고,effort; trouble; hard work
수단,means; method
수도,capital city
수도권,metropolitan area; capital region
수도꼭지,faucet; tap
수동적,passive
수리하다,to repair; to fix
수만,tens of thousands of
수면,sleep
수명,lifespan
수백,hundreds of
수석,top place; first rank
수시로,frequently; at any time
수십,dozens of; tens of
수업,study; training (of a skill)
수없이,countlessly; innumerably
수요,demand
수입되다,to be imported
수입품,imported goods
수저,spoon and chopsticks
수준,level; standard
수집,collecting; collection
수집하다,to collect; to gather
수천,thousands of
수컷,male (animal)
수필,essay
수행하다,to carry out; to perform
수험생,exam candidate; test taker
숙녀,lady
순간적,momentary; instantaneous
순수,purity
순식간,an instant; a flash
순위,ranking; order
순진하다,to be naive; to be innocent
순하다,to be gentle; to be mild
숨기다,to hide; to conceal
숨지다,to die; to pass away
스승,teacher; mentor
스위치,switch
스치다,to brush past; to graze
스튜디오,studio
슬그머니,stealthily; quietly
슬쩍,furtively; casually
습기,moisture; humidity
승객,passenger
승리,victory
승리하다,to win; to triumph
승부,match; contest; showdown
승진,promotion (at work)
시,poem; poetry
시각,time (of day); point of view
시금치,spinach
시기,period; time; opportunity
시나리오,scenario; screenplay
시대적,of the times; historical
시댁,husband's family home (honorific)
시도,attempt; try
시들다,to wither; to wilt
시디,CD; compact disc
시디롬,CD-ROM
시멘트,cement
시선,gaze; eyes; attention
시스템,system
시야,field of vision; view
시외버스,intercity bus
시위,demonstration; protest
시일,time; days (required)
시장,mayor
시점,point in time
시중,the market; on the market
시즌,season (sports/shows)
시집,poetry collection; book of poems
시집가다,to marry (of a woman)
시청률,viewer ratings; TV ratings
시합,match; game; competition
식기,tableware; dishes
식량,food supplies; provisions
식료품,groceries; foodstuffs
식생활,dietary life; eating habits
식욕,appetite
식품점,grocery store; food shop
식히다,to cool (something) down
신,god; deity
신경,nerve; attention
신고하다,to report (to authorities)
신규,new (registration); newly established
신기하다,to be amazing; to be marvelous; to be novel
신념,belief; conviction
신라,Silla (ancient Korean kingdom)
신부,Catholic priest; father (clergy)
신분,social status; identity
신비,mystery; mystique
신사,gentleman
신설,new establishment; recent founding
신세,one's lot in life; indebtedness
신세대,new generation
신속하다,to be swift; to be rapid
신인,newcomer; rookie
신제품,new product
신중하다,to be cautious; to be prudent
신청서,application form
신청하다,to apply; to request
신체적,physical; bodily
신화,myth; mythology
실,thread; string
실감,real feeling; vivid sense (of reality)
실로,truly; indeed
실리다,to be loaded; to be published (in)
실망,disappointment
실망하다,to be disappointed
실습,practical training; practicum
실시,implementation; enforcement
실시되다,to be implemented; to be carried out
실시하다,to implement; to carry out
실은,actually; in fact
실장,office head; department chief
실정,actual situation; actual state
실제,actually; in reality
실제로,actually; in practice
실질적,substantial; practical (in substance)
실천,practice; putting into action
실천하다,to put into practice; to carry out
실체,true nature; substance; entity
실컷,to one's heart's content; as much as one wants
실태,actual conditions; real state
실험,experiment
실현,realization (of a dream)
실현되다,to be realized; to come true
실현하다,to realize; to make come true
심각해지다,to become serious; to worsen
심리적,psychological
심사,screening; judging; examination
심심하다,to be bored
심장,heart (organ)
심정,one's feelings; state of mind
심판,judgment; referee
싱싱하다,to be fresh (produce)
싶어지다,to come to want to
싸구려,cheap stuff; cheapie
싹,completely; entirely
싼값,low price; cheap price
쌍,pair; couple
쌍둥이,twins
썩,quite; remarkably; right away
썰렁하다,to be chilly; to be bleak
쓰다듬다,to stroke; to pat
쓰러지다,to fall over; to collapse
쓰이다,to be used; to be written
쓴맛,bitter taste
쓸다,to sweep
쓸데없다,to be useless; to be needless
쓸데없이,uselessly; needlessly
쓸쓸하다,to be lonely; to be desolate
씌우다,to put on (someone); to cover with
씨앗,seed
씻기다,to be washed; to wash (someone)
아깝다,to be a waste; to be regrettable
아끼다,to save; to cherish; to use sparingly
아냐,no (casual)
아니하다,to not (do/be) (formal negative)
아드님,son (honorific)
아랫사람,subordinate; one's junior
아르바이트,part-time job
아무개,so-and-so; someone (unnamed)
아무런,any (kind of); no (whatsoever)
아쉬움,regret; lingering sadness
아쉽다,to be a pity; to feel sorry to part
아스팔트,asphalt
아예,from the start; altogether; entirely
아울러,in addition; together with
아유,oh my; gosh
아이디어,idea
아하,aha
악몽,nightmare
안,proposal; plan
안개,fog; mist
안과,ophthalmology; eye clinic
안기다,to be held (in arms); to hand over (to someone's arms)
안내,guidance; information
안동,Andong (city)
안부,regards; well-being (news of)
안심하다,to feel relieved; to be at ease
안정,stability
안정되다,to become stable; to be stabilized
안팎,inside and outside; approximately
앉히다,to seat (someone)
알루미늄,aluminum
알아내다,to find out; to discover
알아보다,to look into; to recognize
알아주다,to acknowledge; to appreciate
알코올,alcohol
암시,hint; suggestion; implication
암컷,female (animal)
압력,pressure
앞날,future; days ahead
앞두다,to have (something) ahead; to be facing
앞문,front door; front gate
앞바다,offshore waters; nearby sea
앞서,ahead; beforehand; earlier
앞세우다,to put (someone) in front; to put forward
앞장서다,to take the lead
애,anxiety; worry (heart-burning distress)
애쓰다,to make an effort; to strive
애정,affection; love
애초,the very beginning; the outset
액수,amount (of money); sum
앨범,album
야간,nighttime; night (shift)
야구장,baseball stadium
야단,fuss; commotion; scolding
야옹,meow
야하다,to be racy; to be revealing
약,irritation; temper
약수,mineral spring water
약점,weak point; weakness
약품,medicine; pharmaceuticals
약해지다,to weaken; to become weak
약혼녀,fiancee
약혼자,fiance
얄밉다,to be annoying; to be hateful
양,sheep; both; Miss
양국,both countries
양력,solar calendar
양보,concession; yielding
양상추,lettuce
양식,Western food; style; form
양심,conscience
양옆,both sides
양주,Western liquor
얘,hey (to a child)
어기다,to break (promise); to violate
어느덧,before one knows; in no time
어려워지다,to become difficult
어리석다,to be foolish; to be stupid
어저께,yesterday
어지럽다,to be dizzy
어째서,why; how come
어쨌든,anyway; in any case
어쩌다,by chance; occasionally
어쩌다가,by chance; occasionally
어쩜,how (exclamation); maybe
어찌,how; why
어찌나,so (intensifier); how
어찌하다,to do what; to do somehow
억울하다,to feel wronged; to be unfair
언덕,hill
언론,press; media
언어,language
얻어먹다,to beg food; to get treated
얼리다,to freeze (something)
얼마간,some amount; for a while
얼핏,at a glance; fleetingly
엄격하다,to be strict
엄숙하다,to be solemn
엄청나다,to be enormous; to be tremendous
업다,to carry on one's back; to piggyback
업종,type of business; industry
업체,company; business enterprise
엇갈리다,to miss each other; to conflict
엉덩이,buttocks; hips; butt
엉망,mess; wreck
엉터리,nonsense; sham; phony
엎드리다,to lie face down; to prostrate
에,oh; ugh (disappointment)
엔진,engine
여가,leisure; free time
여간,ordinarily (with negative); not a little
여건,conditions; circumstances
여겨지다,to be considered; to seem
여군,female soldier
여기다,to consider; to regard as
여럿,several people; many
여론,public opinion
여왕,queen
여인,woman (literary)
여전하다,to be unchanged; to be as before
여전히,still; as ever
역,role; part (in acting)
역사상,in history; historically
역사학,historical studies; history (discipline)
연간,annual; yearly
연결,connection; linking
연관,connection; relation; association
연구실,laboratory; research room
연구원,researcher
연극,play (theater); drama
연기,postponement; delay
연기되다,to be postponed
연기자,actor; performer
연기하다,to postpone; to delay
연두색,light green; yellowish green
연락,contact; getting in touch
연령,age
연상하다,to associate; to be reminded of
연설,speech; address
연속,succession; continuation; in a row
연애,dating; romance
연예인,celebrity; entertainer
연인,lover; sweetheart
연장,extension; prolongation
연주,musical performance; playing (instrument)
연출,directing (film or play); production
연출하다,to direct (film or play)
연합,union; alliance; federation
열기,heat; fervor; enthusiasm
열매,fruit (of a plant)
열정,passion; enthusiasm
열중하다,to be absorbed in; to be engrossed
엷다,to be light (color); to be thin
염려,worry; concern
엿보다,to peek; to spy on
영,at all (with negative); utterly
영남,Yeongnam region (SE Korea)
영상,video; footage; image
영양,nutrition; nourishment
영업,business; sales; operation
영역,domain; area; territory
영웅,hero
영향,influence; effect
영향력,influence; clout
영혼,soul; spirit
영화관,movie theater; cinema
영화배우,movie actor; film star
영화제,film festival
옆구리,side (of body); flank
예,old times; ancient days
예감,premonition; hunch
예고하다,to foretell; to give notice
예방,prevention
예방하다,to prevent
예보,forecast
예비,reserve; spare
예산,budget
예상되다,to be expected
예상하다,to expect; to anticipate
예선,preliminary round; qualifier
예술적,artistic
예습,preparation (of lessons); preview study
예습하다,to prepare lessons in advance
예식장,wedding hall
예약하다,to reserve; to book
예외,exception
예의,manners; etiquette
예정되다,to be scheduled
예측하다,to predict; to forecast
예컨대,for example; for instance
오락,entertainment; amusement
오로지,solely; only
오르내리다,to go up and down
오염,pollution; contamination
오염되다,to be polluted
오페라,opera
오해,misunderstanding
오히려,rather; on the contrary
옥상,rooftop
온갖,all kinds of; every sort of
온돌,ondol; Korean floor heating
온라인,online
온종일,all day long
올,this (year); this year's
올가을,this autumn; this fall
올라서다,to step up onto
올라타다,to get on; to board
올려다보다,to look up at
올리다,to raise; to put up
올바르다,to be right; to be proper
올여름,this summer
옷차림,attire; way of dressing
와이셔츠,dress shirt
완성,completion
완성되다,to be completed
완성하다,to complete; to finish
완전,perfection; completeness
완전하다,to be perfect; to be complete
왕비,queen (consort)
왕자,prince
외갓집,mother's family home
외과,surgery (department)
외다,to memorize; to recite
외로움,loneliness
외면하다,to turn away from; to ignore
외모,appearance; looks
외부,outside; exterior
외아들,only son
외제,foreign-made (goods)
외치다,to shout; to cry out
외침,shout; cry
외할아버지,maternal grandfather
요,this (little); this here
요구,demand; request
요구되다,to be required; to be demanded
요리사,cook; chef
요약하다,to summarize
요청하다,to request
욕,swear words; abuse
욕하다,to swear at; to curse
용,dragon
용감하다,to be brave
용기,courage; container
용도,use; purpose
용서,forgiveness
용서하다,to forgive
용어,term; terminology
우려,concern; worry
우습다,to be funny; to be laughable
우아하다,to be elegant; to be graceful
우정,friendship
우주,universe; space
우편,mail; post
운명,fate; destiny
운반,transport; carrying
운영하다,to operate; to run
운전사,driver
운행,operation (of transport); service
울리다,to make cry; to ring
울음소리,sound of crying
움직임,movement; motion
웃음소리,sound of laughter
워낙,so very; by nature
원,circle; oh my (interjection)
원고,manuscript; draft
원서,application form
원인,cause
원장,director (of an institute)
월세,monthly rent
웬,what kind of; what sort of
웬만하다,to be reasonable; to be tolerable
위,place; rank (counter); stomach
위기,crisis
위대하다,to be great
위로,consolation; comfort
위로하다,to console; to comfort
위반하다,to violate
위법,violation of law; illegality
위성,satellite
위원,committee member
위원장,committee chairman
위주,priority; primary focus
위험성,riskiness; danger
위협,threat
윗몸,upper body
윗사람,superior; senior
유능하다,to be competent; to be capable
유리하다,to be advantageous
유머,humor
유물,relic; artifact
유발하다,to cause; to induce
유사하다,to be similar
유산,inheritance; heritage
유의하다,to pay attention to; to bear in mind
유적,ruins; historic remains
유적지,historic site
유지되다,to be maintained; to be kept
유지하다,to maintain; to keep
유형,type; category
육군,army (land forces)
육상,track and field; on land
육체,physical body; the flesh
육체적,physical (bodily)
으레,as a rule; habitually; naturally
은,silver
은은하다,faint; subtle; soft (light or scent)
은행나무,ginkgo tree
음력,lunar calendar
음반,album; record (music)
음성,voice
음식물,food; foodstuffs
음식점,restaurant
음주,drinking (alcohol)
응답하다,to respond; to answer
의논,discussion; consultation
의논하다,to discuss; to consult
의도,intention
의도적,intentional; deliberate
의류,clothing; apparel
의무,duty; obligation
의문,question; doubt
의복,clothes; attire
의사,intention; one's wishes
의식,consciousness; ceremony; ritual
의식하다,to be conscious of; to be aware of
의심,doubt; suspicion
의외로,unexpectedly; surprisingly
의욕,motivation; drive; will
의원,lawmaker; assembly member
의존하다,to depend on; to rely on
의지,will; determination
의지하다,to lean on; to rely on
의학,medicine (medical science)
이,person; one (who does)
이같이,like this; in this way
이끌다,to lead; to guide
이내,soon; right away; within
이념,ideology; principle
이놈,this fellow; this rascal
이다음,next time; later
이달,this month
이대로,as it is; like this
이데올로기,ideology
이동하다,to move; to relocate
이따금,occasionally; from time to time
이래,since (then)
이래서,for this reason; so
이러다,to act like this; to say this
이런저런,various; this and that
이력서,resume; CV
이론적,theoretical
이롭다,beneficial; good for
이룩하다,to achieve; to accomplish
이르다,to tell; to say
이리저리,here and there; this way and that
이민,emigration; immigration
이별,parting; farewell; separation
이사장,chairman of the board
이상적,ideal
이성,the opposite sex
이슬,dew
이어,subsequently; following that
이어서,subsequently; next; continuing
이어지다,to be connected; to continue
이용자,user
이윽고,before long; after a while
이자,interest (money)
이제야,only now; finally
이중,double; dual
이해,interests (gains and losses)
이해관계,interests at stake; stake
이해되다,to be understood
익다,familiar; practiced
익히다,to cook thoroughly; to learn; to master
인,person (counter)
인간관계,human relations; interpersonal relationships
인간성,human nature; character
인간적,humane; human
인격,character; personality; personhood
인공,artificial; man-made
인근,vicinity; nearby area
인도,sidewalk
인류,humankind; humanity
인물,figure; character; looks
인사,personnel affairs; greetings
인상,increase; raise (prices)
인상적,impressive; memorable
인쇄,printing
인식하다,to recognize; to perceive
인연,connection; tie; fate (bond)
인재,talented person; talent
인정되다,to be recognized; to be acknowledged
인정받다,to be recognized; to gain recognition
인정하다,to admit; to acknowledge; to recognize
인제,now; by now
인종,race (of people)
인체,human body
인하,reduction; lowering (prices)
인하다,to be due to; to result from
일단,first of all; for now; once
일대,a great; a major
일반인,ordinary person; the general public
일부러,on purpose; deliberately
일상적,everyday; routine
일생,one's whole life; lifetime
일손,working hands; labor; help
일시적,temporary
일식,Japanese food (cuisine)
일쑤,habitual occurrence; apt to happen
일어서다,to stand up; to rise
일일이,one by one; individually
일자,date (day)
일자리,job; employment
일정하다,constant; fixed; regular
일종,a kind of; a sort of
일찍이,early on; previously
일체,all; everything; entirely
일치,agreement; accord
일치하다,to agree; to match; to coincide
일행,party; group (traveling together)
임금,king; monarch
임무,duty; task; mission
임신부,pregnant woman
임신하다,to be pregnant; to conceive
입국,entry into a country
입대,enlistment; joining the army
입력,input; data entry
입력하다,to input; to enter (data)
입맛,appetite; taste
입사,joining a company
입사하다,to join a company
입시,entrance exam
입장,position; stance
입히다,to dress (someone); to clothe
잇다,to connect; to join; to continue
잇따르다,to follow one after another; to occur in succession
잊혀지다,to be forgotten
자,ruler (measuring); character (letter); person (one who)
자격증,certificate; license
자극,stimulus; irritation
자극하다,to stimulate; to provoke
자네,you (to a junior or friend)
자녀,children; sons and daughters
자랑,boast; pride
자리,mat; bedding; seat
자매,sisters
자부심,pride; self-confidence
자살,suicide
자살하다,to commit suicide
자세,posture; attitude
자세하다,detailed
자신감,self-confidence; confidence
자연적,natural
자연현상,natural phenomenon
자연환경,natural environment
자연히,naturally; of itself
자원,resources
자율,autonomy; self-regulation
자정,midnight
자존심,self-esteem; pride
자취,trace; mark; vestige
자판,keyboard
작성,drawing up (a document); writing up
작성하다,to write up; to draw up; to fill out
작업,work; task; operation
작용,action; effect; function
작용하다,to act on; to have an effect
작은딸,younger daughter; youngest daughter
작은아들,younger son; youngest son
작은아버지,uncle (father's younger brother)
작은어머니,aunt (wife of father's younger brother)
작품,work (of art); piece
잔디,grass; lawn
잔디밭,lawn; grassy field
잘나다,good-looking; outstanding (often ironic)
잘리다,to be cut; to get fired
잠그다,to lock; to fasten
잠기다,to be submerged; to be flooded
잠바,jumper; jacket
잠수함,submarine
잠자리,sleeping place; bed; dragonfly
잡수다,to eat (honorific)
잡아당기다,to pull; to tug
잡아먹다,to catch and eat; to prey on
장관,minister (of government)
장기간,long period; long term
장기적,long-term
장난,prank; mischief; play
장례,funeral
장례식,funeral (ceremony)
장르,genre
장면,scene
장모,wife's mother; mother-in-law
장모님,wife's mother (honorific)
장비,equipment; gear
장사꾼,merchant; trader; peddler
장수,seller; vendor; dealer
장식,decoration; ornament
장애인,person with a disability; the disabled
장인,wife's father; father-in-law
장차,in the future; someday
잦다,frequent
재능,talent; ability
재다,to measure; to weigh
재밌다,fun; interesting
재빨리,quickly; swiftly
재생,rebirth; regeneration; playback
재수,luck; fortune
재우다,to marinate; to put to sleep
재정,finance; finances
재주,talent; skill
재즈,jazz
재판,trial; judgment
재학,being enrolled in school
재활용,recycling
재활용품,recyclables; recycled goods
저고리,jeogori (traditional Korean jacket)
저기,um; excuse me (hesitation)
저러다,to act like that; to keep doing that
저마다,each; every one (in their own way)
저울,scale (for weighing)
저절로,by itself; automatically
저지르다,to commit (a mistake or crime)
저편,over there; the other side
적성,aptitude
적용,application (of a rule)
적용되다,to be applied
적응,adaptation; adjustment
적응하다,to adapt; to adjust
적절하다,appropriate; suitable
적합하다,suitable; fit
적히다,to be written down
전,all; whole; entire
전개,development; unfolding
전개되다,to unfold; to develop
전개하다,to develop; to unfold
전공하다,to major in
전구,light bulb
전국적,nationwide
전기,early period; biography
전달,delivery; conveyance
전달되다,to be delivered; to be conveyed
전망,view; prospect; outlook
전망하다,to forecast; to expect
전문적,professional; specialized
전문점,specialty store
전문직,professional occupation
전반,the whole; overall
전반적,overall; general
전선,battlefront; front line
전설,legend
전세,jeonse (lump-sum housing lease)
전시,exhibition; display
전시되다,to be exhibited; to be displayed
전시장,exhibition hall
전시하다,to exhibit; to display
전시회,exhibition
전용,exclusive use
전주,Jeonju (city)
전통문화,traditional culture
전환,conversion; switch; transition
전환하다,to convert; to switch
전후,before and after
절,verse; clause; section
절대,absolute; absolutely
절대적,absolute
절망,despair
절약,saving; economizing
절차,procedure; process
젊음,youth; youthfulness
점검,inspection; check
점잖다,dignified; well-mannered
접근,approach; access
접근하다,to approach; to access
접다,to fold
접촉,contact; touch
접하다,to encounter (news); to come into contact
정기,fixed period; regular (scheduled)
정기적,regular; periodic
정당,political party
정리되다,to be organized; to be tidied
정면,front; facade
정반대,exact opposite
정보화,informatization
정부,government
정비,maintenance; overhaul
정상,normal; normality
정상적,normal
정성,sincerity; devotion; wholehearted care
정신과,psychiatry (medical department)
정신없이,frantically; distractedly
정오,noon; midday
정장,suit; formal dress
정지,stop; suspension
정직하다,honest; upright
정치권,political circles
정치인,politician
정치학,political science
젖,breast milk; breast
제거하다,to remove; to eliminate
제공,provision; offer
제과점,bakery; confectionery shop
제대하다,to be discharged (military)
제도적,institutional; systemic
제비,swallow (bird)
제사,ancestral rite; memorial service
제삿날,ancestral rite day
제시,presentation (of ideas); suggestion
제시되다,to be presented; to be suggested
제시하다,to present; to suggest
제안,proposal; suggestion
제안하다,to propose; to suggest
제약,restriction; constraint
제외되다,to be excluded
제외하다,to exclude; to leave out
제의,proposal; offer
제의하다,to propose; to offer
제자,disciple; pupil
제자리,original place; proper place
제작,production; manufacture
제작하다,to produce; to manufacture
제출,submission
제한되다,to be limited; to be restricted
제한하다,to limit; to restrict
조,article (clause); group (team)
조각,piece; fragment
조개,clam; shellfish
조그마하다,small; tiny
조기,early stage; early phase
조깅,jogging
조르다,to pester; to badger
조명,lighting; illumination
조미료,seasoning; condiment
조선,Joseon (dynasty)
조절,adjustment; regulation
조절하다,to adjust; to regulate
조정,adjustment; coordination
조정하다,to adjust; to coordinate
조직,organization; tissue
조화되다,to be in harmony; to harmonize
존경하다,to respect; to esteem
존재,existence; being
존재하다,to exist
존중하다,to respect; to honor
졸리다,to be sleepy; to feel drowsy
졸음,drowsiness; sleepiness
좁히다,to narrow; to reduce (a gap)
종,bell
종교적,religious
종소리,sound of a bell
종종,often; from time to time
종합하다,to synthesize; to put together
좋아,okay; alright (agreement)
좌우,left and right
죄,sin; crime
죄인,sinner; criminal
주,main; principal
주거,residence; dwelling
주고받다,to exchange (words)
주관적,subjective
주년,anniversary (counter)
주름,wrinkle
주름살,wrinkles (on skin)
주문,order (for goods); magic spell; incantation
주민,resident; inhabitant
주방,kitchen
주식,stocks; shares
주어지다,to be given
주요하다,to be main; to be major
주의,attention; caution
주의하다,to be careful; to pay attention
주일,week
주장,assertion; claim; argument
주저앉다,to plop down; to collapse down
주전자,kettle
주한,stationed in Korea
죽,straight (in a line); all along; in a row
줄거리,plot; storyline
줄곧,continuously; all the time
줄어들다,to decrease; to diminish
중계방송,live broadcast; relay broadcast
중년,middle age
중단,suspension; interruption
중단되다,to be suspended; to be halted
중단하다,to stop; to suspend
중대하다,to be grave; to be momentous
중독,addiction; poisoning
중반,middle phase; midpoint
중부,central region; central part
중세,Middle Ages; medieval times
중소기업,small and medium enterprises; SMEs
중순,mid-month; middle ten days
중식,Chinese food
중심지,center; hub
중앙,center; middle
중얼거리다,to mutter; to mumble
중요시하다,to regard as important; to value
즉석,on the spot; instant
증가,increase
증가하다,to increase
증거,evidence; proof
증권,securities; stocks
증권사,securities firm; brokerage
증명하다,to prove
지각,perception; awareness
지겹다,to be tedious; to be sick of
지경,verge; state (of affairs)
지극히,extremely; exceedingly
지금껏,until now; so far
지급,payment; provision
지급하다,to pay; to provide
지나치다,to be excessive; to pass by
지난날,past days; bygone days
지능,intelligence
지니다,to carry; to possess
지다,to be cast (shadow); to set (sun); to fall (petals)
지대,zone; area
지도,guidance; instruction
지도자,leader
지도하다,to guide; to instruct
지루하다,to be boring; to be tedious
지름길,shortcut
지리산,Jirisan (mountain)
지방,fat (nutrient)
지배하다,to rule; to dominate
지불하다,to pay
지속되다,to continue; to be sustained
지속적,continuous; sustained
지시,instruction; directive
지시하다,to instruct; to direct
지식,knowledge
지식인,intellectual
지우다,to burden (someone); to load onto
지워지다,to be erased
지원,support; aid
지원하다,to support; to aid
지위,status; position
지저분하다,to be messy; to be dirty
지적,pointing out; criticism; intellectual
지적되다,to be pointed out
지적하다,to point out
지점,branch (office)
지지,support; backing
지진,earthquake
지출,expenditure; spending
지켜보다,to watch; to keep an eye on
지폐,paper money; banknote
지혜,wisdom
직선,straight line
직장인,office worker; employee
직전,just before
직접적,direct
직후,right after; immediately after
진급,promotion (in rank)
진단,diagnosis
진단하다,to diagnose
진동,vibration
진로,career path; course
진료,medical treatment; medical care
진리,truth (universal)
진실,truth
진실로,truly; genuinely
진실하다,to be truthful; to be sincere
진심,sincerity; true heart
진지하다,to be serious; to be earnest
진찰,medical examination; checkup
진출하다,to advance into; to enter (a field)
진통,labor pains; birth pangs
진행,progress; proceeding
진행자,host (of a show); MC
질병,disease; illness
질적,qualitative
짐작,guess; conjecture
짐작하다,to guess; to presume
집단,group; collective
집단적,collective; group (attributive)
집안일,housework; household chores
집어넣다,to put into; to stick in
집중되다,to be concentrated; to be focused
집중적,intensive; concentrated
