French,English
fréquenter,to see regularly; to frequent
rompre,to break off; to break up
taquiner,to tease
trahir,to betray
tromper,to deceive; to cheat on
se venger,to take revenge
menacer,to threaten
harceler,to harass; to pester
humilier,to humiliate
séduire,to seduce; to win over
épouser,to marry
proche,close; nearby
intime,intimate; close; private
solidaire,supportive; united
hostile,hostile
agressif,aggressive
amical,friendly
charmant,charming; lovely
réflexion; la réflexion,thought; reflection; remark
conviction; la conviction,conviction; firm belief
logique; la logique,logic
bon sens; le bon sens,common sense
conscience; la conscience,awareness; conscience
confusion; la confusion,confusion; mix-up
nuance; la nuance,nuance; shade
critère; le critère,criterion
point de vue; le point de vue,point of view
intuition; l'intuition; une intuition,intuition
esprit; l'esprit; un esprit,mind; wit; spirit
interprétation; l'interprétation; une interprétation,interpretation
argument; l'argument; un argument,argument (point made)
évidence; l'évidence; une évidence,obviousness; obvious fact
approche; l'approche; une approche,approach
contredire,to contradict
interpréter,to interpret; to perform
songer,to think about; to consider
anticiper,to anticipate
approfondir,to deepen; to look into further
confondre,to confuse; to mix up
privilégier,to favour; to give priority to
conscient,aware; conscious
cohérent,coherent; consistent
pertinent,relevant; apt
convaincant,convincing
crédible,credible; believable
douteux,doubtful; dubious
flou,vague; blurred
confus,confused; muddled
superficiel,superficial; shallow
absurde,absurd
regard; le regard,look; gaze
coup d'œil; le coup d'œil,glance
reflet; le reflet,reflection; glint
vacarme; le vacarme,din; racket
silence; le silence,silence
perception; la perception,perception
aperçu; l'aperçu; un aperçu,overview; glimpse
apparence; l'apparence; une apparence,appearance; look
éclat; l'éclat; un éclat,brightness; outburst; splinter
obscurité; l'obscurité; une obscurité,darkness
repérer,to spot; to locate
briller,to shine; to sparkle
éclairer,to light up; to clarify
visible,visible
terne,dull; drab
net,clear; sharp
brillant,bright; shiny; brilliant
sombre,dark; gloomy
lumineux,bright; luminous
transparent,transparent; clear
bruyant,noisy
silencieux,silent; quiet
conduite; la conduite,behaviour; driving
routine; la routine,routine
discipline; la discipline,discipline; subject
tentation; la tentation,temptation
abus; l'abus; un abus,abuse; misuse
instinct; l'instinct; un instinct,instinct
se comporter,to behave
provoquer,to cause; to provoke
flatter,to flatter
résister,to resist; to hold out
obéir,to obey
imiter,to imitate; to copy
exagérer,to exaggerate; to go too far
se vanter,to boast; to brag
surmonter,to overcome
affronter,to face; to confront
fuir,to flee; to avoid
négliger,to neglect
s'habituer,to get used to
persuader,to persuade
influencer,to influence
impressionner,to impress
surprendre,to surprise; to catch out
mise en scène; la mise en scène,staging; direction (theatre)
répétition; la répétition,rehearsal; repetition
représentation; la représentation,performance; representation
esquisse; l'esquisse; une esquisse,sketch; outline
sculpteur; le sculpteur,sculptor
gravure; la gravure,engraving; print
portrait; le portrait,portrait
style; le style,style
genre; le genre,genre; kind; gender
récit; le récit,account; narrative
bande dessinée; la bande dessinée,comic strip; graphic novel
poésie; la poésie,poetry
poète; le poète,poet
recueil; le recueil,collection (of texts)
exemplaire; l'exemplaire; un exemplaire,copy (of a book)
sous-titre; le sous-titre,subtitle
doublage; le doublage,dubbing
générique; le générique,credits (film)
séance; la séance,showing (film); session
loge; la loge,dressing room; theatre box
applaudir,to applaud; to clap
siffler,to whistle; to boo
chorégraphie; la chorégraphie,choreography
ballet; le ballet,ballet
opéra; l'opéra; un opéra,opera; opera house
harmonie; l'harmonie; une harmonie,harmony
répertoire; le répertoire,repertoire; directory
tournée; la tournée,tour (performances); round
festival; le festival,festival
spectateur; le spectateur,spectator; viewer
créativité; la créativité,creativity
inspiration; l'inspiration; une inspiration,inspiration
esthétique,aesthetic; visually pleasing
artistique,artistic
littéraire,literary
musical,musical
contemporain,contemporary; present-day
classique,classical; classic; standard
improviser,to improvise
composer,to compose; to make up
peindre,to paint
illustrer,to illustrate; to demonstrate
filmer,to film
inspirer,to inspire; to breathe in
émouvoir,to move (emotionally); to touch
divertir,to entertain; to amuse
divertissement; le divertissement,entertainment; amusement
distraction; la distraction,amusement; absent-mindedness
rituel; le rituel,ritual
mythe; le mythe,myth
symbole; le symbole,symbol
mentalité; la mentalité,mentality; mindset
appartenance; l'appartenance; une appartenance,belonging; membership
dialecte; le dialecte,dialect
francophone,French-speaking
gastronomie; la gastronomie,fine cooking; gastronomy
mode; la mode,fashion; style
célébrer,to celebrate
commémorer,to commemorate
défilé; le défilé,parade; fashion show
carnaval; le carnaval,carnival
feu d'artifice; le feu d'artifice,fireworks display
bal; le bal,ball (dance); dance
proverbe; le proverbe,proverb; saying
rentrée; la rentrée,start of the school year; return
maternelle; la maternelle,nursery school
collège; le collège,secondary school (11-15)
lycéen; le lycéen,high-school student
master; le master,master's degree
doctorat; le doctorat,doctorate; PhD
baccalauréat; le baccalauréat,French school-leaving exam
faculté; la faculté,faculty; university department
amphithéâtre; l'amphithéâtre; un amphithéâtre,lecture hall
instituteur; l'instituteur; un instituteur,primary-school teacher
pédagogie; la pédagogie,teaching methods; pedagogy
semestre; le semestre,semester; half-year
trimestre; le trimestre,term; quarter
interrogation; l'interrogation; une interrogation,class test; questioning
copie; la copie,exam paper; copy
correction; la correction,marking; correction
mention; la mention,distinction (grade); mention
redoubler,to repeat a year; to redouble
réviser,to revise; to review
assister,to attend; to assist
maîtriser,to master; to control
dissertation; la dissertation,essay (academic)
exposé; l'exposé; un exposé,oral presentation; talk
thèse; la thèse,thesis; argument
lacune; la lacune,gap; shortcoming
récréation; la récréation,break (school); recreation
bilingue,bilingual
Moyen Âge; le Moyen Âge,the Middle Ages
empire; l'empire; un empire,empire
royaume; le royaume,kingdom
monarchie; la monarchie,monarchy
règne; le règne,reign; rule
couronne; la couronne,crown
noble,noble; aristocratic
noblesse; la noblesse,nobility; aristocracy
paysan; le paysan,peasant; small farmer
esclave; l'esclave; un esclave,slave
colonie; la colonie,colony; summer camp
colonisation; la colonisation,colonization
conquête; la conquête,conquest
envahir,to invade; to overrun
occupation; l'occupation; une occupation,occupation (military); activity
résistance; la résistance,resistance
bataille; la bataille,battle
alliance; l'alliance; une alliance,alliance; wedding ring
ruine; la ruine,ruin; downfall
ancêtre; l'ancêtre; un ancêtre,ancestor
descendant; le descendant,descendant
manuscrit; le manuscrit,manuscript
historien; l'historien; un historien,historian
héros; le héros,hero
exil; l'exil; un exil,exile
indépendance; l'indépendance; une indépendance,independence
médiéval,medieval
ère; l'ère; une ère,era; age
déclin; le déclin,decline
renverser,to overthrow; to knock over
abolir,to abolish
régner,to reign; to prevail
remonter,to go back (in time); to go back up
escale; l'escale; une escale,stopover; port of call
décollage; le décollage,takeoff
atterrissage; l'atterrissage; un atterrissage,landing
décoller,to take off; to unstick
atterrir,to land
embarquer,to board; to take on board
correspondance; la correspondance,connection (transport); correspondence
navette; la navette,shuttle
croisière; la croisière,cruise
hébergement; l'hébergement; un hébergement,accommodation; hosting
gîte; le gîte,holiday cottage; shelter
consigne; la consigne,left-luggage office; instruction
tourisme; le tourisme,tourism
touristique,tourist-related; touristy
voie; la voie,lane; track; way
covoiturage; le covoiturage,car sharing; carpooling
traversée; la traversée,crossing
déplacement; le déplacement,trip; journey; movement
se déplacer,to travel; to get around
parcourir,to travel across; to cover (distance)
explorer,to explore
s'égarer,to get lost; to stray
loger,to stay; to house
décalage horaire; le décalage horaire,jet lag; time difference
wagon; le wagon,railway carriage
refuge; le refuge,mountain hut; refuge
station; la station,resort; station
balade; la balade,stroll; ride
flâner,to stroll; to wander
entraînement; l'entraînement; un entraînement,training; practice
s'entraîner,to train; to practise
échauffement; l'échauffement; un échauffement,warm-up
musculation; la musculation,weight training
arbitre; l'arbitre; un arbitre,referee; umpire
classement; le classement,ranking; standings
tournoi; le tournoi,tournament
championnat; le championnat,championship; league
coupe; la coupe,cup (trophy); haircut
médaille; la médaille,medal
podium; le podium,podium
record; le record,record (best performance)
exploit; l'exploit; un exploit,feat; achievement
dopage; le dopage,doping
tribune; la tribune,stand (stadium); platform
vestiaire; le vestiaire,changing room; cloakroom
coéquipier; le coéquipier,teammate
cyclisme; le cyclisme,cycling
patinage; le patinage,skating
escalade; l'escalade; une escalade,climbing; escalation
plongée; la plongée,diving; dive
voile; la voile,sailing; sail
gymnastique; la gymnastique,gymnastics
boxe; la boxe,boxing
tir; le tir,shooting; shot
saut; le saut,jump; leap
viser,to aim at; to target
battre,to beat; to defeat
se qualifier,to qualify
éliminer,to eliminate; to remove
remporter,to win; to carry off
mi-temps; la mi-temps,half-time; half (match)
amateur; l'amateur; un amateur,amateur; enthusiast
sportif,sporty; athletic
compétition; la compétition,competition; contest
épreuve; l'épreuve; une épreuve,event (sport); ordeal
passe-temps; le passe-temps,hobby; pastime
couture; la couture,sewing; dressmaking
tricot; le tricot,knitting; jumper
pari; le pari,bet; wager
parier,to bet
hasard; le hasard,chance; randomness
détente; la détente,relaxation; easing
soirée; la soirée,evening; party
adhérent; l'adhérent; un adhérent,member (of a club); subscriber
brocante; la brocante,flea market; second-hand fair
bronzer,to sunbathe; to get a tan
bavarder,to chat; to chatter
plaisanter,to joke
traîner,to hang about; to drag
colocataire; le colocataire,flatmate; housemate
colocation; la colocation,flat share
