English,Definition
suitcase,a case for carrying clothes when traveling
summary,a short account of the main points
sunflower,a tall plant with a big yellow flower
sunglasses,dark glasses that protect eyes from bright light
sunlight,light that comes from the sun
superlative,the grammar form meaning most or best
superstar,a very famous and successful performer
supper,a meal eaten in the evening
support,help given to someone
surfing,riding ocean waves while standing on a board
surname,the family name someone shares with relatives
surprised,feeling sudden shock or wonder
surprising,causing sudden shock or wonder
survive,to stay alive through danger
swallow,to move food down your throat
sweat,to release liquid through your skin when hot
sweater,a warm knitted top
sweetheart,a person someone loves; darling
swimming costume,an outfit worn to bathe in water
swimsuit,clothing worn in a pool or the sea
symbol,a sign that stands for something else
symphony,a long piece of music for an orchestra
system,a set of parts working together
table tennis,a sport played with small bats and a ball
tablespoon,a large spoon used to measure food
talent,a natural skill at doing something
tap,a fitting that turns water on or off
tape,a sticky strip used to join things
target,a goal you aim to reach
task,a job that needs to be done
tear,a drop that falls from your eye when crying
teenage,describing someone between 13 and 19 years old
teenager,a person between 13 and 19 years old
temperature,a measure of how hot or cold something is
terrify,to fill someone with great fear
terrorist,connected with violence used to frighten people
text,the written words of a piece of writing
text message,a short note sent by mobile phone
textbook,a book used to study a school subject
theirs,the one belonging to them
themselves,them and nobody else
therefore,for that reason
thief,a person who takes what is not theirs
third,coming right after second; number 3
thirsty,needing something to drink
though,despite the fact that
thought,an idea in your mind
thousand,the number 1000
thunderstorm,bad weather with loud bangs and flashes of light
tidy,neatly arranged; not messy
tie,a long strip of cloth worn around the neck
tights,thin close-fitting clothing that covers the legs
till,up to a certain time
timetable,a printed plan showing when things happen
tip,a small piece of useful advice; extra money for good service
title,the name of a book or film or song
toast,sliced bread browned by heat
toe,one of the five parts at the end of your foot
tone,the quality of a sound or voice
toothache,a pain in one of your teeth
toothbrush,a small brush for cleaning your teeth
tour,a trip taken to see several places
tour guide,someone paid to lead visitors around a place
tourist,a person traveling somewhere for pleasure
toward,in the direction of
track,a rough path or racing course; a single song on a recording
trade,the buying and selling of goods
tradition,a custom followed for many years
traditional,based on old customs
traffic,vehicles moving along a road
traffic light,colored signals that control vehicles at a junction
training,practice to learn or improve a skill
tram,a rail vehicle used in cities
trap,a device set to catch an animal
traveler,a person making a journey
treasure,valuable things such as gold or jewels
trick,a clever act meant to fool someone
trouble,a difficult or worrying situation
truly,genuinely; in a sincere way
trust,to believe someone is honest
truth,what is actually real or correct
tune,a pleasant series of musical notes
twice,two times
uncertain,not sure; not decided
uncomfortable,causing slight pain or an awkward feeling
understand,to grasp the meaning of something
underwater,beneath the surface of the sea or a pool
uneasy,slightly worried or nervous
unfair,not right or just to everyone
unforgettable,so remarkable you always remember it
unfortunately,sadly; as a result of bad luck
unhappy,feeling sad or not pleased
unhealthy,harmful to your body
uniform,the same throughout; not changing
unimportant,not worth much attention; minor
unit,a single whole part of a larger group
university,a place for advanced study after school
unknown,not familiar or identified
unlike,different from something else
unnecessary,not needed
unpleasant,not nice to experience
unusual,different from what happens normally
upon,on; on top of
upset,feeling sad or bothered
upstairs,on a higher floor of a building
used,familiar with something from experience; not new
useful,helpful for a particular purpose
usual,happening most of the time; normal
valley,low ground lying between hills
value,how much something is worth
verb,a word naming an action or a state
video game,electronic entertainment played using a screen and controller
view,what can be seen from a place; a personal opinion
village,a small town in the countryside
violent,using strong physical force to hurt someone
violin,a small stringed instrument played with a bow
visitor,someone who comes to see a place or person
vocabulary,all the words a person knows and uses
voice,the sound made when someone speaks or sings
walking,moving along on foot
wallet,a small case for carrying money and cards
wander,to move around with no fixed direction
washing machine,an appliance that cleans clothes with water
washing-up,cleaning the dishes and pans after a meal
wave,a moving ridge on the sea; a greeting made with your hand
weak,not strong; lacking power
wealth,a large amount of money
web,a net made by a spider
web page,one screen of information you view online
website,a group of pages on the internet
wedding,a ceremony where two people marry
weekday,a day that is not the weekend
weekly,happening once every week
weep,an act of crying
weigh,to measure how heavy something is
weight,how heavy something or someone is
well-known,famous; recognized by many people
west,in the direction where the sun sets
wet,covered in water; not dry
whatever,any thing at all; no matter what
wheelchair,a chair with wheels for people who cannot walk
while,during the time that
whole,complete; with no part missing
whom,which person (object form)
wide,measuring a lot from side to side; not narrow
widely,in many places or by many people
wild,living freely in nature; not tame
windy,having a lot of wind
wine,an alcoholic drink made from grapes
winner,the person who does best in a competition
wisdom,the ability to make good decisions
wise,showing good sense and judgment
within,inside a certain place or time
without,not having something
wonder,to want to know something; to ask yourself something
wood,the hard material that trees are made of
wooden,made of wood
wool,soft hair from sheep used to make clothes
worldwide,in every part of the world
worried,feeling nervous about something that might happen
worse,less good than something else
worst,the least good of all
writing,words put on paper or on a screen
yeah,yes (used casually to agree)
youth,the early years of a person's life
zone,an area with a particular purpose
