English,Definition
hardware,the physical parts of a machine; tools for the home
harmless,unable to cause damage or hurt
harrow,a farm tool that breaks soil
haste,great speed or hurry
hastily,done in a great hurry
hatching,a baby animal leaving its egg
haunting,hard to forget because it's moving
hay,dried grass used to feed animals
hazardous,dangerous to health or safety
headquarters,the main office of an organization
health care,services that treat and prevent illness
heap,an untidy pile of things
heartbreaking,causing great sadness
heartwarming,making you feel happy and moved
hedge,a border made of bushes
helicopter,an aircraft with spinning rotor blades
hell,a place of suffering after death (religion)
helper,a person who assists someone
hemp,a plant grown for fiber
herb,a plant used for flavor
heritage,traditions passed down over time
hesitation,a pause caused by doubt
high-tech,using the newest machines and methods
hijack,illegally taking control of a vehicle
hilarious,extremely funny; very amusing
hint,a small helpful clue
holder,a thing that contains something; an owner of something
hollow,having empty space inside
holocaust,the mass killing of very many people
homeward,traveling back to where you live
hone,a stone used to sharpen blades
honorable,deserving respect for honesty and fairness
hood,a head covering on a coat; (car) engine cover
hook,curved metal for hanging things
hospice,a home for the dying
hospitable,friendly and welcoming to guests
hospitality,friendly kind treatment of guests
hospitalize,to admit someone into medical care
hourly,happening once every sixty minutes
housekeeper,a paid cleaner and home manager
housemaster,a teacher running a school dorm
housewife,a woman managing the home full-time
hover,to float in the air motionless
hugely,to a very great degree
human rights,the basic freedoms every person deserves
humane,kind and caring toward suffering others
humanist,a person who values people's wellbeing more than religion
humanize,to make something more caring
humble,not proud about your own abilities
humbug,talk meant to trick people
humiliate,to make someone feel ashamed publicly
humiliating,causing someone to feel deeply ashamed
humiliation,a strong feeling of public shame
hunting,chasing and killing wild animals
hush,to make someone become quiet
hybrid,made by combining two different kinds
hygiene,habits that keep you clean
hyperbole,exaggerated speech not meant literally
hyphen,a short line joining two words
iceman,a man delivering frozen water blocks
icon,a small screen picture symbol; a widely admired famous person
icy,covered with frozen water; extremely cold
ideally,in the best possible situation
identical,exactly the same as another
identification,a document proving who you are
identify,to recognize and correctly name something
ideology,a set of political beliefs
idiot,a very foolish person
idle,not working or being used
idolize,to admire someone extremely strongly
ignorance,a lack of knowledge about something
ignorant,lacking knowledge or information
illustrate,to explain using pictures or examples
illustration,a picture in a book; an example that explains something
imagery,words that create mental pictures
imitation,a copy of the original
immerse,to put something fully into liquid; to become fully involved
immigrant,someone living in a new country
immoral,not following rules of right behavior
immortal,living or lasting forever
immortality,the state of living forever
impartial,not favoring one side over another
impatiently,without wanting to wait
imperative,an urgent essential need; a verb form giving orders
impermanent,not lasting forever
implement,a tool used for a task
implication,something suggested but not directly stated
imply,to suggest without stating directly
impolite,not having good manners
impolitely,without good manners
import,to bring goods in from abroad
impose,to force a rule on someone
impossibility,something that cannot happen
impractical,not sensible or realistic to do
impressed,feeling admiration for something
impressionism,art style capturing light and mood
impressionist,an artist capturing light and mood; a comedian who copies people
imprison,to put someone in a jail
imprisonment,the state of being jailed
improbable,not likely to happen
improperly,not in the correct way
improved,made better than before
impulse,a sudden urge to act
impulsive,acting suddenly without thinking first
inaccurate,not correct or exact
inadequate,not enough or not good enough
inanimate,not alive; without life
inborn,present from someone's very start
incense,a substance burned for its smell
incentive,a reason that encourages you to act
incur,to bring a cost or penalty on yourself
incurable,impossible to heal or fix
indebted,owing thanks or money to someone
indent,to start a line further from the margin
independently,without help from others
indescribable,too great or strange for words
index,a list of topics at the back of a book
indifferent,not caring either way about something
indignity,a treatment that makes you feel disrespected
indispensable,so useful that you cannot do without it
indulge,to let yourself enjoy something freely
indulgent,too generous or lenient with someone
industrialize,to build large factories across a country
ineffective,not producing the result you want
inert,not moving or reacting to anything
inexperienced,having little skill or practice at something
infant,a very young child; a baby
infect,to pass a disease to someone or something
infected,carrying germs that cause illness
infectious,able to spread easily from person to person
infer,to work something out from clues or hints
inference,a conclusion reached from clues or facts
inflammation,redness and swelling on part of the body
inflammatory,causing anger; causing redness and swelling
inflate,to fill something with air or gas
inflation,a general rise in prices over time
influential,having a strong effect on people or events
influenza,a serious illness like a bad cold
informal,relaxed and not following strict rules
infringe,to break a rule or someone's rights
infringement,an act of breaking a rule or right
inhabit,to live in a place
inherit,to receive money or property when someone dies
initiative,a new plan to solve a problem
injection,a shot of medicine given with a needle
injured,hurt in an accident or attack
innate,present in you from birth
innocently,without meaning any harm
innovation,a new idea or invention
innovative,using new and original ideas
input,information or help given to something
inquire,to ask for information
inseparable,always together; impossible to keep apart
inspect,to look closely at something to check it
inspector,someone whose job is to check things are correct
inspirational,making people want to achieve great things
instantly,right away; at once
instill,to slowly teach someone a belief or feeling
instinct,a natural feeling that guides your behavior
institution,a large organization such as a school or bank
instruct,to tell someone how to do something
insufficient,not enough for what is needed
insult,a rude remark meant to upset someone
integrate,to join separate parts into one whole
intellectual,connected with serious thinking and study
intent,very focused on doing something
interactive,responding to what a user does
interfere,to get involved in something that is not your business
interior,the inside part of something
interpersonal,relating to relationships between people
interpret,to explain what something means; to translate spoken words
interpretation,an explanation of what something means
interpreter,someone who translates spoken words for others
interruption,something that stops an activity for a while
intersection,a place where two roads cross
intimate,very close and personal
intransitive,(grammar) not taking a direct object
intravenous,given directly into a vein
intrude,to enter a place without being welcome
intruder,someone who enters a place without permission
intrusion,an unwanted entry into a place or situation
invariable,always the same; never changing
invariably,always; every time
inventor,someone who creates something new
inverted commas,punctuation marks used to show quoted words
investigate,to find out the facts about something
investigator,someone whose job is to find out facts about a crime
investment,money put into something to earn more later
investor,someone who puts money into a business to earn profit
invisible,impossible to see
invitingly,in a way that looks attractive or welcoming
invoke,to mention a law or idea to support an argument
involvement,the fact of taking part in something
ironically,in a way opposite to what you expect
irrational,not based on clear thinking or logic
irresistible,so attractive that you cannot say no
irresistibly,in a way that you cannot stop or refuse
irresponsible,not thinking about the results of your actions
irritated,feeling slightly angry
irritating,making you feel annoyed
irritation,a feeling of slight anger
islander,someone who lives on a piece of land surrounded by water
italicize,to print words in a slanted style
itch,to feel a need to scratch your skin
jaw,the bone that forms the shape of your mouth
jealously,in a way that shows you want what others have
jeopardize,to put something at risk of harm
jeweler,someone who makes or sells rings and necklaces
journalism,the job of writing news for papers or TV
judo,a sport where you throw your opponent to the ground
junk food,cheap meals or snacks that are not healthy
juror,a member of a group that decides a court case
jury,a group of people who decide if someone is guilty
justify,to give good reasons for something
kangaroo,a large Australian animal that jumps on its back legs
karaoke,singing along to recorded music for fun
keen,very eager or interested
keeper,someone who looks after animals or a place
kerosene,a type of fuel used for lamps or heaters
keystroke,the act of pressing one button on a keyboard
kneel,to go down on your knees
knot,a tight loop tied in string or rope
knowingly,while fully aware of what you are doing
known,familiar to many people
label,a small tag with information on it
laborer,someone who does hard physical work for pay
lame,unable to walk normally; weak and not convincing
lance,a long pole with a sharp point used by riders
landing,the flat area at the top of stairs; arrival on the ground
landlady,a woman who rents out rooms or houses
landslide,a mass of earth and rocks falling down a hill
lap,the top of your legs when sitting; one circuit of a track
laptop,a small computer you can carry around
lark,a small brown bird that sings while flying
laser,a thin strong beam of light used in tools
last minute,the final moment before something happens
lastly,as the final point
last-minute,done at the final moment before something happens
laundry,clothes that need washing or have just been washed
lava,hot melted rock that flows from a volcano
lawmaker,a politician who creates new rules for a country
lawn,an area of short cut grass
lawsuit,a legal case brought to a court
layabout,a lazy person who avoids work
leaflet,a small printed sheet giving information
leak,a hole that lets liquid or gas escape
learning,the process of gaining knowledge or skill
lease,a legal agreement to rent property
leash,a rope or strap used to control a dog
lecturer,someone who teaches at a college or university
leek,a long green and white vegetable related to onions
legend,an old story passed down through generations; a famous person
legendary,extremely famous and admired
legislate,to make official laws
legislation,a set of laws made by a government
legislative,relating to the making of laws
legislator,a person who helps make laws
legislature,a group of people with power to make laws
legitimate,allowed by law or accepted as reasonable
leisurely,in a relaxed unhurried way
lengthen,to make something longer
lengthy,taking a long time
leopard,a large wild cat with spots
lest,in case something bad happens
liberal,open to new ideas; tolerant
lick,to pass your tongue over something
lid,a cover for a container
lifeless,not alive; without energy
lifetime,the whole time someone is alive
lighten,to make something brighter or less heavy
lighting,artificial illumination used in a room
likewise,in the same way; also
limb,an arm or a leg
linen,cloth made from a plant fiber
liner,a large passenger ship
ling,a long thin edible sea fish
linger,to stay somewhere a little longer
listener,a person who pays attention to sounds
literal,exact; not symbolic or exaggerated
literally,in an exact sense; not as a metaphor
litter,trash left in a public place; a group of baby animals
loan,money borrowed that must be paid back
lobby,a large entrance hall in a building
loneliness,the feeling of being alone and sad
long-distance,traveling or communicating across far away places
long-term,lasting far into the future
loosely,without being held tightly
lousy,very bad or poor quality (informal)
lower,to move something down
lowland,flat area of land near sea level
lucrative,producing a lot of money
lush,green and growing thickly
luxurious,very comfortable and expensive
lyrics,the words of a song
madam,a formal polite way to address a woman
madame,a French title for a married woman
madness,extreme foolish or crazy behavior
maestro,a skilled music conductor or expert
magnify,to make something look bigger
malady,an illness or disease
malaria,a disease spread by mosquitoes
mama,an informal word for mother
mango,a sweet tropical fruit
manipulate,to control someone or something unfairly
mansion,a very large expensive house
manual,done by hand rather than machine
manufacture,the process of making goods to sell
manufacturer,a company that produces goods for sale
manufacturing,the business of making goods in factories
marathon,a very long running race
margin,empty space at a page's edge; a small amount
marketing,the business of promoting and selling products
martial art,a traditional form of fighting practiced as a sport
mask,a cover worn over the face
massacre,the violent killing of many people
massage,rubbing someone's body to relax muscles
masseur,a person trained to rub and relax muscles
master,someone highly skilled at something; an owner
masterpiece,an outstanding work of art
mastery,complete skill or knowledge of something
mate,a friend (informal); a partner for breeding
mathematical,relating to numbers and calculation
mature,fully grown or emotionally adult
mausoleum,a large tomb building
means,a method used to do something; money or income
mechanize,to replace manual work with machines
media,TV radio newspapers and the internet
medication,medicine used to treat illness
medieval,from the Middle Ages period
mediocre,only average; not very good
melody,a pleasant series of musical notes
memorial,something built to remember a person or event
mentor,an experienced person who advises and trains someone
merchandise,goods that are bought and sold
mercy,kindness shown to someone you could punish
merge,to combine two things into one
merger,the joining of two companies into one
messenger,a person who delivers information for someone else
metaphor,a word that represents something else it is not
metric,based on units of ten such as meters
micro,an extremely small size or amount
microbe,an extremely tiny living thing invisible to the eye
microcomputer,a small machine that processes data for personal use
micrometer,a tool used to measure very small distances
microorganism,a living thing too tiny to see with the naked eye
microphone,a device that captures and transmits sound
microscope,a tool used to view extremely tiny objects
microscopic,far too small to see with just your eyes
microscopy,the science of viewing tiny things with lenses
microwave,a kitchen appliance that heats food quickly
midst,the middle of a place or situation
mighty,very strong or powerful
migration,movement of people or animals from place to place
mill,a building where grain becomes flour; a factory
millimeter,a very small unit of length
millionaire,an extremely wealthy person
mimic,a person who copies others' behavior for fun
miniature,extremely small; much smaller than the usual size
minister,a senior official in a government
mint,a fresh-tasting herb; a place where coins are made
misconception,a false belief about something
misfortune,bad luck; something unlucky that happens
misleading,giving a false impression
missile,a weapon that flies to hit a target
mist,thin fog made of tiny water drops
mistreat,to be cruel or unfair to someone
mistrustful,doubtful and suspicious of other people
misunderstand,to get the wrong idea about something someone said
mixture,a combination of different things
mobility,the ability to move freely
mock,not real; done as practice
modernization,the process of updating something with newer methods
modernize,to make something more up to date
modest,humble about your talents; fairly small in size
modification,a small change made to something
mogul,a very powerful and wealthy businessperson
mold,a fuzzy fungus on old food; a shape for casting objects
momentarily,for a very short time; right away
momentary,lasting only a very short time
monastery,a building where monks live and pray
moody,having emotions that change suddenly
moonlight,the soft light seen at night outdoors
moonscape,a landscape as empty and rocky as outer space
morality,beliefs about what is right and wrong
morally,in a way related to right and wrong
mortal,certain to die eventually; deadly
mortar,a paste used to join bricks; a type of cannon
mortgage,a loan used to buy a house
mortify,to make someone feel deeply embarrassed
mother-in-law,your spouse's female parent
motion,the act of moving; a formal proposal
motivated,having a strong desire to do something
motorbike,a two-wheeled vehicle powered by an engine
motorist,a person who drives a car
mournful,expressing deep sadness
mover,someone whose job is carrying furniture to a new home
moving,causing strong emotion; touching
muddy,covered in wet soft dirt
multiple,more than one; several
multiply,to increase in number; to combine numbers by adding repeatedly
mumble,speech that is quiet and hard to understand
murmur,a soft low continuous sound
muse,to think deeply about something
mustache,hair grown above the upper lip
mutability,the quality of being likely to change
mutable,likely or able to change
mutter,quiet speech said under someone's breath
mutton,meat from an adult sheep
mystify,to confuse or puzzle someone completely
nano,one billionth of something; extremely tiny size
narcissistic,loving yourself too much
narrator,the person who tells a story
narrowly,only just; by a small amount
nationwide,across an entire country
native speaker,someone raised with a language
naughty,behaving badly (especially a child)
naval,relating to a country's warships
navigate,to find your way somewhere
navigation,the act of finding your way
navy,a country's fleet of warships
neat,tidy and well arranged
necessarily,as a certain or expected result
necessity,something you must have
needless,not needed at all
needy,lacking money or basic care
negatively,in a bad or harmful way
neglect,failure to take care of someone
neighboring,located close by or next to
neither,also not (after a negative)
nerve,a body fiber carrying signals; courage
nerves,feelings of worry before an event
nervously,in a worried or anxious way
netsurfer,someone who browses the internet often
neurosis,a mental illness causing constant anxiety
newscaster,a person who reads TV news
newsworthy,interesting enough for the news
nicely,in a pleasant or kind way
nightclub,a place for dancing at night
nightmare,a frightening dream; a terrible experience
nobility,people of very high social rank
noble,having very fine moral character; of very high social rank
nobleman,a man of high rank
nomad,a person with no fixed home
nomination,suggesting someone for an award
nominee,a person suggested for an award
nonprofessional,not done by a trained expert
non-smoking,not allowing cigarettes to be lit
northward,moving toward the north
nostril,an opening in your nose
nought,the number zero
nourish,to give food needed to grow
nourishment,food needed to live and grow
novelty,being new and different
nuisance,an annoying person or thing
numerical,relating to figures rather than words
nursery,a place for young children; a place where plants are grown
nut,a hard-shelled seed you can eat
nutshell,the hard shell of a nut
oath,a serious formal promise
obedience,doing what you are told
obedient,always doing what you are told
obey,to do what someone tells you
obituary,a newspaper notice about someone's death
obligation,something you are required to do
observer,a person who watches something carefully
obsess,to think about something constantly
obsession,an idea that controls your thoughts
obsessive,unable to stop thinking about something
odd,strange or unusual; not divisible by two
offend,to make someone feel upset
offender,a person who breaks the law
offense,a crime; a feeling of being upset
offhand,without careful thought; casually
offshore,located far out at sea
ointment,a healing cream for skin
olive,a small fruit used for oil
Olympia,an ancient Greek site for games
Olympiad,an international contest every four years
openly,without hiding your feelings
operator,a person who runs a machine; a phone line worker
opponent,a person you compete against
optimism,a belief in good outcomes
optimist,someone who expects good outcomes
optimistic,expecting good things to happen
optional,not required; free to choose
orator,a skilled public speaker
orchestral,played by many musicians together
orchid,a colorful and delicate flowering plant
organizer,a person who arranges events
originality,being new and not copied
originally,at first; in the beginning
originate,to begin or come from somewhere
ornament,a small decorative object
ounce,a small unit of weight
outback,remote countryside far from cities
outbreak,a sudden start of disease; a sudden rise in violence
outcome,the result of an event
outdistance,to move far ahead of others
outdo,to do better than someone else
outfit,a set of clothes worn together
outgrow,to grow too big for something
outing,a short trip taken for fun
outlet,a socket for electrical plugs; a shop selling goods directly; a way to express feelings
outlive,to live longer than someone else
outlook,your general attitude toward life; future prospects
outpatient,a patient treated without staying overnight
output,the amount something produces
outrage,strong anger and shock
outrageous,shockingly unacceptable or extreme
outshine,to be far better than others
outsider,someone not part of a group
outskirts,the outer edges of a town
outwardly,as it appears on the surface
oval,shaped like an egg
overall,including everything; general
overboard,off a boat into water; to an extreme degree
overbook,to accept too many bookings
overcoat,a long heavy coat for outdoors
overemphasize,to stress something too much
overestimate,to guess a number too high
overhear,to hear something by accident
overlap,a part shared by two things
overlook,to fail to notice something; to have a view over
overly,too much; excessively
overshadow,to make something seem less important
oversize,bigger than the usual size
overstep,to go beyond an acceptable limit
overtake,to pass a vehicle ahead
overthrow,to remove a ruler by force
overtime,beyond the usual working hours
overturn,to turn something upside down; to officially cancel a decision
ow,a sudden cry of pain
owing to,because of; as a result of
owl,a bird that hunts at night
ox,a large farm animal for pulling
ozone,a gas that protects Earth
pa,an informal word for father
packed,very full of people or things
packet,a small bag or container
pad,a block of paper for writing; a soft flat cushion for protection
paintbrush,a brush used to apply paint
pajamas,loose clothes worn for sleeping
pallet,a wooden platform for goods
pancake,a thin fried flat cake
pandemic,affecting many countries at once (disease)
panel,a flat piece of material; a group of experts
papaya,a sweet orange tropical fruit
paperless,using computers instead of paper
paperwork,documents needed for a job
parade,a public march through the streets
paradox,a statement that contradicts itself
paralysis,loss of ability to move
paramedic,relating to emergency medical treatment
paratrooper,a soldier who parachutes from planes
parliament,the people who make national laws
participation,taking part in an activity
particle,a very small piece of matter
particular,specific rather than general; especially notable; very fussy about details
partisan,a strong supporter of a cause
partnership,a relationship where people work together in business
passionate,having very strong feelings about something
passionately,with very strong feeling
pastor,a leader of a Christian church
pastoral,relating to the countryside; relating to spiritual guidance
patch,a small piece covering a hole; a small area of land
patiently,without getting annoyed while waiting
patriot,a person who loves and supports their country
patriotic,showing strong love for one's country
patriotism,strong love and support for one's country
patron,someone who financially supports a cause; a regular customer
pave,to cover a road with a hard flat surface
pavement,a hard path beside a road for walking
paw,the foot of an animal such as a dog or cat
pawnbroker,a person who lends money in exchange for objects
pawnshop,a shop where you leave items to borrow money
payment,an amount of money given for something
peacefully,in a calm and quiet way
peach,a soft round orange-pink fruit
peak,the highest point of something
pearl,a small round white jewel from the sea
pebble,a small smooth stone
pedal,a part you push with your foot to work a machine
pedantic,too focused on small details or rules
pedestrian,a person walking on a street
pee,to get rid of liquid waste from the body (informal)
peel,the outer skin of a fruit or vegetable
peep,a quick or secret look
peer,a person of the same age or status as you
peg,a small hook or clip for hanging things
penalize,to punish someone for breaking a rule
penalty,a punishment given for breaking a rule
penetrate,to go into or through something
penguin,a black and white sea bird that cannot fly
penicillin,a medicine that kills harmful bacteria
pension,money paid regularly to someone after they stop working
pentagon,a shape with five sides
perceive,to notice or understand something
percentage,an amount shown as part of a hundred
perception,the way someone understands or sees something
permanence,the state of lasting forever
permeate,to spread through every part of something
perseverance,great effort to keep trying despite problems
persist,to continue doing something despite difficulty
persistence,the quality of continuing firmly despite problems
persistent,continuing firmly despite difficulty or opposition
personification,giving human qualities to a thing or idea
personify,to represent an idea or thing as human
personnel,the people who work for an organization
perspective,a particular way of thinking about something
perspiration,sweat produced by the body
persuasion,the act of making someone believe or do something
pessimist,a person who expects the worst to happen
pessimistic,expecting bad things to happen
petrified,extremely frightened
petty,not very important; overly concerned with small things
pH,a measure of how acidic or basic a liquid is
pharmacist,a person trained to prepare and sell medicine
phase,a stage in a process of change
philosophical,relating to the study of ideas about life
physician,a doctor who treats illness
pi,a number used to calculate the size of circles
pickle,a vegetable preserved in vinegar
picky,very careful about choosing only what you like
picturesque,pretty in a charming old-fashioned way
pillowcase,a cloth cover for the soft cushion you rest your head on
pine,a tall evergreen tree with thin sharp leaves
pint,a unit for measuring liquid
piracy,attacking ships to steal goods; illegal copying of creative work
pirate,a person who attacks and robs ships at sea
pitch,a field marked for playing a sport
plague,a disease that spreads quickly and kills many people
planning,the process of deciding steps for something in advance
playmate,a friend who joins a child in games
playwright,a person who writes stories performed in a theatre
plead,to ask for something in a very serious way
plot,the main events of a story; a small piece of land
pluck,to pull something out quickly with force
plum,a soft round fruit with dark purple or red skin
plumber,a person who fixes water pipes and taps
pneumonia,a serious illness affecting the lungs
point of view,a way of thinking about a situation
pointless,serving no useful purpose
polar bear,a large white Arctic animal that hunts on ice
polio,a serious disease that can cause paralysis
polish,a substance used to make something shiny
politeness,good manners and respect shown to others
politically,in a way connected with government and public affairs
polity,a form of organized government or society
polo,a sport played on horseback with a stick and ball
ponder,to think about something carefully for a while
popularity,the state of being liked by many people
popularize,to make something widely liked or known
porch,a covered entrance area outside a house
portion,a part or amount of something
pose,a particular way of standing or sitting for a picture
posh,expensive and fashionable (informal)
possessed,controlled by an evil spirit; totally obsessed with something
postal,relating to the sending of letters and packages
postpone,to move an event to a later time
potent,very strong or powerful in its effect
potentially,possibly in the future; under the right conditions
powerfully,with great strength or force
practicality,the quality of being useful and sensible
practically,almost completely; in a sensible realistic way
prance,a lively jumping way of moving
prawn,a small shellfish eaten as food
precede,to happen or exist before something else
precisely,exactly and with great accuracy
predicament,a difficult or embarrassing situation
predicate,to base something on a particular condition
predicative,describing a word placed after a linking verb (grammar term)
predictable,able to be known or guessed in advance
predictive,able to show what is likely to happen next
predictor,something used to show what will happen next
prefect,a student given special authority at school
preferable,better or more suitable than another option
preferably,ideally; if at all possible
prehistoric,from a time before people began writing things down
prehuman,an early ancestor that lived before modern people
preindustrial,from before factories and machines were common
prejudge,to form an opinion before knowing all the facts
preliminary,happening before the main part of something
preoccupy,to fill someone's mind completely with worry
prescribe,to officially tell a patient what medicine to take
presenter,a person who introduces a show on TV or radio
presidency,the position or term of a country's leader
presidential,relating to the leader of a country
prestige,respect and admiration gained through success
prestigious,highly respected and admired
presumably,probably; as one would reasonably expect
prevail,to win in the end; to be the most common
prevention,the act of stopping something bad from happening
preventive,meant to stop something bad from happening
previously,at an earlier time; before now
priceless,extremely valuable beyond measure
prick,a small painful mark made by a sharp point
primary,most important or basic; first in order
prime,most important; best in quality
prime minister,the leader of the government in some countries
prior,happening or existing before something else
priority,something treated as more important than other things
privately,not in front of other people; secretly
privilege,a special right given to a certain person or group
probable,likely to be true or to happen
probe,a careful investigation; a tool for exploring
procedure,a set of steps for doing something correctly
profile,a short description of a person's details or background
profit,money gained after all costs are paid
profitable,bringing in more money than it costs
programmer,a person who writes code for computers
programming,the activity of writing code for computers
prohibit,to officially forbid something
project,a planned task or piece of work
projection,an estimate of a future amount or trend
prom,a formal dance for school students
prominence,the state of being well known or important
prompt,done quickly without delay
promptly,without any delay
proponent,a person who supports an idea
proposed,suggested as a plan for the future
prose,ordinary written language not poetry
prosecute,to take legal action against someone in court
prospect,a possibility of something happening later
prosper,to become successful and do well
proudly,in a way that shows self-satisfaction
proven,shown to be true or effective
province,a large region within a country
provision,the act of supplying something that is needed
proximity,closeness in space or time
psychologically,in a way that relates to the mind and emotions
psychology,the scientific study of the mind and behavior
publication,a book or magazine that has been printed
publicity,attention and fame given to someone or something
publicize,to make something known to many people
pudding,a sweet dish eaten after a meal
pulse,the regular beat felt in your wrist
pumpkin,a large round orange vegetable
punch,a hit made with a closed hand
punctual,arriving at the exact expected time
punctuality,the quality of arriving on time
purchase,something bought; an act of buying
purposeful,having a clear aim or goal
pursuit,an attempt to achieve or catch something
puzzled,confused and unable to understand something
qualification,a skill or exam result needed for a job
quantify,to express something as an exact number
quarantine,a period of isolation to stop disease spreading
quarrel,an angry argument between people
quarrelsome,often arguing with other people
queer,strange or odd; not heterosexual (identity term)
query,a question asking for information
quotable,worth being repeated as a saying
quotation,words copied exactly from another source
quote,words repeated exactly from someone else
racism,unfair treatment of people because of their race
racist,a person who treats others unfairly based on race
rack,a frame used for holding things
radar,a device that finds objects using radio waves
radiate,to send out heat or light
radical,a person with extreme political views
radically,in a very extreme or complete way
radium,a rare radioactive metal element
rafter,a wooden beam that supports a roof
rag,a piece of old cloth for cleaning
rainbow,an arc of colors seen after rain
rainstorm,a period of heavy rain
rally,a large public meeting for a cause
ram,an adult male sheep
ramp,a sloped path joining two levels
ranger,a person who protects a park or forest
rape,the crime of forcing someone into sex
rash,acting too quickly without thinking
rattle,a toy that makes a shaking noise
ravage,severe damage caused by something destructive
reaction,a response to something that happens
readily,easily and without hesitation
real estate,property such as land and buildings
realization,the moment of understanding something clearly
rear,located at the back of something
reasonably,to a fairly acceptable degree
rebel,a person who fights against authority
rebellious,refusing to obey rules or authority
recession,a period when the economy shrinks
recipe,instructions for cooking a dish
reckon,to think or believe something; to guess roughly
recognition,public praise given for an achievement
recollect,to remember something from the past
recollection,a memory of something from the past
recommendable,worth suggesting to other people
recommendation,a suggestion that something is good
reconsider,to think again about a decision
recreation,activities done for enjoyment in free time
recruit,to persuade someone to join a group
rectangular,having four sides and four right angles
redo,to do something again
redundant,no longer needed; more than necessary
reed,a tall grass that grows near water
reference,a mention of a source; a person who recommends you
referent,relating to what a word or symbol represents
refinery,a factory that purifies raw materials like oil
reflective,thinking deeply and carefully about something; able to show a mirror image
reform,a change made to improve a system
refrain,a phrase repeated in a song
refresh,an act of making something new again
refuge,a safe place away from danger
refugee,a person forced to leave their country
refute,to prove that something is wrong
regardless,without being affected by anything else; in any case
reggae,a style of music from Jamaica
regime,a system of government or rule
regrettably,in a way that causes disappointment
regulate,to control something using rules
rehearsal,a practice session before a real performance
reinforce,to make something stronger
reinforcement,something added to make a thing stronger
rejection,the act of refusing to accept something
rejoin,to join a group again
related,connected to something else
relativity,a scientific theory about space and time
relaxation,the state of resting without stress
relay,a race run in stages; a device that forwards a signal
relevant,connected to what is being discussed
relic,an old object from the past
relief,a feeling of comfort after worry ends
relieve,to make pain or worry less severe
relieved,feeling less worried after stress ends
reluctant,not willing to do something
remaining,left after everything else is gone
remains,parts left over after something ends; a dead body
remarkably,in a way that is very surprising
reminder,something that helps you remember
rental,something you pay to use temporarily
reorganize,to arrange something in a new way
repaint,a fresh layer of paint over an old one
repertoire,the range of works a performer can do
repetition,doing or saying something more than once
replacement,a person or thing that takes another's place
replica,an exact copy of something
repress,to hold back a strong feeling
repression,the act of controlling people or feelings by force
reprint,a new printed copy of an old book
reprove,to criticize someone for doing wrong
residence,a place where someone lives
resign,to officially quit a job
resignation,an official statement of quitting a job
resistance,the act of opposing or fighting against something
resolution,a firm decision to do something; the settling of an argument
resonant,having a deep clear ringing sound
respectably,in a socially proper and acceptable way
respected,admired and thought highly of by others
respiration,the process of breathing
respiratory,relating to breathing
restriction,a rule that limits what can be done
resume,to start something again after a pause
retailer,a business that sells goods to customers
retard,to slow down the progress of something
retina,the light-sensitive layer at the back of the eye
retirement,the time when someone stops working for good
retreat,a move backward away from danger; a quiet peaceful place
retrieve,to get something back
revelation,a surprising fact made known
revenge,harm done back to someone who wronged you
revenue,money earned by a business or government
reverence,deep respect and admiration
reverse,to make something go backward
revival,a return to popularity or use
revive,to bring back to life or use
revolution,a sudden big change in power or society
revolutionary,causing a huge and sudden change
revolutionize,to change something completely and greatly
revolve,to turn around a central point
rhinoceros,a large thick-skinned animal with a horn
rhyme,to end with the same sound
rhythmic,having a regular repeated beat or pattern
rib,one of the curved bones in your chest
rider,a person traveling on a horse or bicycle
ridge,a long narrow raised strip of land
righteousness,the quality of being morally good
rightly,in a correct or fair way
rim,the outer edge of something round
rip,to tear something quickly
risky,likely to cause harm or loss
rite,a formal religious or traditional act
ritual,a set series of actions done regularly
rival,a person who competes against another
roam,a slow walk through a place with no plan
roar,to make a loud deep sound
rocket,a vehicle that flies into space using fuel
rocky,full of large stones
roommate,a person you share a home with
rosy,pink in color; hopeful and positive
route,a path taken to reach a place
royalty,members of a king's or queen's family
rub,to move against a surface back and forth
rubble,broken stone from a destroyed building
rug,a thick piece of fabric for a floor
ruinous,causing great damage or loss
rural,relating to the countryside
rush hour,the busy time when people travel to work
rusty,covered with reddish decay on metal
sack,to remove someone from their job
sag,a downward droop in the middle
sage,a very wise person; a cooking herb
sail,to travel across water in a boat
salary,regular pay for a job
salesmanship,skill in persuading people to buy things
salesperson,a person whose job is to help people buy things
saleswoman,a woman whose job is to help people buy things
salon,a shop for hair or beauty care
salsa,a spicy tomato sauce; a lively dance style
salty,having a strong savory flavor
sandstone,a rock formed from many tiny packed grains
sanitary,clean and free from germs
sanitation,systems that keep places clean and healthy
satisfactory,good enough to meet a need
saving,money kept instead of spent
scandal,a shocking event that harms a reputation
scar,a mark left after a wound heals
scarcely,almost not at all
scarlet,a bright red color
scent,a smell especially a pleasant one
scheduled,planned to happen at a set time
scheme,a plan often a secret or dishonest one
scholasticism,a formal method of medieval religious study
schoolgirl,a young girl who attends classes
scientifically,in a way based on careful research and facts
scooter,a small vehicle with two wheels and a board
scramble,to crawl quickly over rough ground; to cook eggs by mixing them
scribble,fast careless writing or marks
scrooge,a person who hates spending money
scuba,gear for breathing underwater while diving
scythe,a tool with a curved blade for cutting crops
seal,a sea animal with flippers; an official stamp mark
