English,Definition
shortly,soon; a little time from now
shuttle,a bus train or plane that goes back and forth over a route
similarity,a way in which two things are alike
simplify,to make something easier to do or understand
simulate,to copy the way something works for study or training
simulation,a copy of a real situation used for study or training
simultaneously,at the same time as something else
sin,an act that breaks a religious law; a very wrong act
singular,the form of a word used for only one thing; very unusual
sketch,a quick rough drawing; a short funny scene on stage
skip,to leave something out or not do it; to move with light jumps
slab,a thick flat piece of stone concrete or cake
slash,to cut with a long sweeping stroke; to reduce prices sharply
slavery,the system of owning people and forcing them to work
slot,a narrow opening for putting things in; a place in a list or timetable
snake,a long thin reptile with no legs
sneeze,to blow air suddenly and loudly out of your nose
sniff,to breathe in through the nose to smell or clear it
socialize,to spend time with other people in a friendly way
socially,in a way that involves meeting and mixing with other people
sodium,a soft silver metal element found in common salt
soluble,able to be dissolved in a liquid
solute,a substance that is dissolved in a liquid
solvent,a liquid that can dissolve another substance; having enough money
sometime,at a point in the future or past that is not known or fixed
sophisticate,a person who knows a lot about style and city life; to make more complex
span,the length of time something lasts; the distance from one side to another
spatial,relating to space and the position of things in it
specialty,the thing a person or place does best or is best known for
specification,a detailed written description of how something must be made
specimen,a single example or small amount used for study or testing
spectrum,the band of colors seen in light; a full range of ideas or things
sperm,the male cell that joins an egg to make a baby
sphere,a perfectly round solid shape like a ball; an area of activity
splice,to join two pieces of rope film or genes together
sponsorship,money given to an event or team in return for advertising
spontaneous,happening naturally without being planned or forced
spray,to send liquid out in tiny drops; a mist of tiny drops
stabilize,to make something steady and stop it from changing
stack,a neat pile of things one on top of another; to make such a pile
stadium,a large sports ground with rows of seats around it
stance,an opinion stated in public; the way a person stands
standardize,to make all things of one kind the same
static,not moving or changing; crackling noise on a radio
statistical,based on the study of numbers collected about something
statistically,in a way based on numbers collected and studied
statistics,numbers collected to show facts; the study of such numbers
stereotype,a fixed and often unfair idea about what a group of people is like
stimulus,something that causes a reaction or encourages growth
straightforward,easy to do or understand; honest and direct
strand,a single thin thread or hair; one part of a story or idea
strategic,done as part of a careful long-term aim; very useful in a war
strictly,in a way that must be obeyed exactly; only for one purpose
stripe,a long narrow band of color
sub,under or below; a person who takes another's place for a time
subjective,based on personal feelings rather than facts
subset,a smaller group that is part of a larger group
substitution,the putting of one person or thing in place of another
substrate,the surface or material something grows on; what an enzyme acts on
subtle,not easy to notice; delicate and clever
subtract,to take one number away from another
sufficiently,enough for a purpose; to the needed degree
suicide,the act of ending your own life
super,very good; extremely
superior,better or higher in quality; higher in rank than someone
supposedly,as people say or believe though it may not be true
surgeon,a doctor who cuts into the body to treat illness
surgical,about cutting into the body to treat illness; very exact
surplus,an amount that is more than is needed or used
susceptible,easily harmed or affected by something
sustainable,able to continue for a long time without harming nature
swap,to give one thing and get another in return
swell,to become larger and rounder; a slow rise of the sea
sword,a weapon with a long sharp metal blade and a handle
syllable,a unit of sound in a word built around one vowel sound
syllabus,a list of the topics to be taught in a course
symbolic,standing for something else; done to show a meaning rather than to act
syndrome,a set of medical signs that happen together; a typical pattern of events
syntactic,about the way words are put together in sentences
syntax,the rules for putting words together in sentences
synthesis,the joining of separate parts into one whole; the making of a substance
synthetic,made by people from chemicals and not natural
systematic,done in an ordered and careful way following a fixed method
tech,the making and use of computers and other modern machines
technically,if you follow the exact rules; in a way relating to skills or machines
temporal,relating to time; about worldly life rather than religion
tempt,to make someone want to do or have something
tense,nervous and unable to relax; stretched tight; a verb form showing time
terminal,a building where planes or buses start and end; causing death
terminology,the special words used in a particular subject
terribly,very; very badly
textbook,a printed work used for studying a subject at school or college
theorem,a rule in mathematics that has been proved to be true
theorist,a person who forms ideas that explain why things happen
thereby,as a result of that; through that action
thermal,relating to heat; keeping the body warm
thesis,a long piece of writing done for a university degree; a main idea
thickness,how deep something is from one side to the other
thread,a thin string used for sewing; a line of ideas in a story or talk
threshold,the level at which something starts to happen; the floor of a doorway
thumb,the short thick finger at the side of the hand
tolerance,willingness to accept ideas you dislike; the ability to bear something
ton,a unit of weight of about 1000 kilograms; a very large amount
toxic,poisonous and harmful to health; very unpleasant or harmful
tract,a large area of land; a system of body parts that work together
traditionally,in the way that has been usual for a long time
trait,a quality that forms part of someone's character
trajectory,the curved path of an object moving through the air; a course of change
trans,across; on the other side of
transaction,a piece of business such as buying or selling something
transcribe,to write down words that are spoken or recorded
transcription,a written copy of spoken words
transformation,a complete change in the form or nature of something
translation,words changed from one language into another
transmission,the sending out of signals or disease; the part that drives the wheels
transmit,to send out signals or pass on a disease
transparency,the quality of being clear enough to see through; openness in actions
transplant,to move an organ from one body to another; to move a plant elsewhere
trauma,a deeply shocking experience; a serious injury to the body
treaty,a formal written agreement between countries
tremendous,very large or great; very good
triangle,a flat shape with three straight sides
tribe,a group of people who share customs and a language and one leader
tricky,difficult to do and needing care
trivial,of very little importance or value
tropical,from or about the hot wet parts of the world near the equator
tumor,a lump of extra cells growing in the body
turbulent,full of sudden changes and trouble; moving in a rough uneven way
tutor,a teacher who works with one student or a small group
ultimate,final; happening at the end; the best of its kind
undergraduate,a university student who does not yet have a first degree
undermine,to weaken something slowly and secretly
underneath,below something or covered by it; in a lower position
unemployed,having no paid job
unify,to join people or things together into one
unintelligible,impossible to understand
unity,the state of being joined together and in agreement
unstable,not steady and likely to fall or change suddenly
uplift,to make someone feel happier and more hopeful; a rise in land
upward,moving or pointing to a higher place or amount
urine,the yellow liquid waste passed from the body
usage,the way a language is normally spoken and written; the amount consumed
utility,a public service such as water or power; the quality of being helpful
utilize,to put something to work for a practical purpose
utterance,something spoken; a group of words said at one time
vague,not clear or exact; not certain
valid,legally able to be accepted; based on good reasons
validity,the state of being based on truth or accepted by law
valve,a part that opens and closes to control the flow of liquid or gas
variability,the degree to which something changes or differs over time
variance,a difference between two things; how much numbers spread out
variant,a form of something that is slightly different from others
vector,a quantity that has both size and direction; an animal carrying disease
vegetation,the plants and trees growing in an area
vein,a tube that carries blood back to the heart; a line of ore in rock
velocity,the speed of something moving in one direction
verbal,spoken rather than written; relating to words
vertical,straight up and down; at a right angle to the ground
viable,able to work well and succeed; able to live and grow
virtue,a good quality in a person; behavior that is morally right
vitamin,a natural substance in food that the body needs to stay healthy
vocabulary,all the words a person knows or that are in a language
volition,the power to choose and decide for yourself
vowel,a speech sound made with the mouth open such as a e i o u
watershed,an area of land that drains into one river; an important turning point
wavelength,the distance between one peak of light or sound and the next
weave,to make cloth by crossing threads over and under each other
wheat,a grain plant whose seeds are ground to make flour
whereby,through which something is done; using the method that
whichever,any one that you choose; no matter what the choice is
whoever,any person that does something; no matter what person it is
widespread,found or happening over a large area or among many people
wisdom,good judgment gained from knowledge and experience
workshop,a room where things are made or repaired; a class for practical training
yeast,a tiny living fungus used to make bread rise and beer ferment
