Korean,English
액세서리,accessory; accessories
야,hey
야외,outdoors; open air
야채,vegetables
약,about; approximately
약간,a little; slightly; somewhat
약하다,to be weak
얇다,to be thin
양,quantity; amount
양념,seasoning; spices
양배추,cabbage
양보하다,to yield; to give way
양쪽,both sides
양파,onion
얕다,to be shallow
얘,this kid; this child
어느새,before one knows it
어두워지다,to get dark
어둠,darkness
어둡다,to be dark
어때,how is it; how about
어떡하다,to do what; what to do
어려움,difficulty; hardship
어리다,to be young; to well up (tears)
어린아이,young child
어린애,little kid; young child
어린이날,Children's Day
어머,oh my; oh dear
어머님,mother (honorific)
어색하다,to be awkward
어울리다,to suit; to get along with
어젯밤,last night
어쩌다,to happen by chance
어쩌면,maybe; perhaps
어쩐지,somehow; no wonder
억,hundred million
언젠가,someday; sometime
얹다,to put on; to place on top
얻다,to get; to obtain
얼다,to freeze
얼른,quickly; right away
얼음,ice
업무,work; business duties
없애다,to get rid of; to remove
없어지다,to disappear; to vanish
없이,without
엉뚱하다,to be absurd; to be off the wall
엊그제,a few days ago
에너지,energy
엔,yen
엘리베이터,elevator
여,woman; female
여고생,high school girl
여관,inn
여기저기,here and there
여대생,female college student
여름철,summertime; summer season
여보,honey; darling (to spouse)
여성,woman; female
여우,fox
여유,leeway; time to spare; composure
여직원,female employee
여쭈다,to ask (humble)
여행사,travel agency
역사가,historian
역사적,historical
역시,also; as expected
역할,role; part
연결되다,to be connected
연결하다,to connect; to link
연구,research; study
연구소,research institute
연구자,researcher
연구하다,to research; to study
연기,smoke; acting (performance)
연락처,contact information
연락하다,to contact; to get in touch
연말,end of the year
연세,age (honorific)
연하다,to be tender; to be soft
연휴,long holiday; consecutive holidays
열,fever; heat
열리다,to be opened; to bear fruit
열차,train
열흘,ten days
염려하다,to worry; to be concerned
엽서,postcard
영상,above zero (temperature)
영원하다,to be eternal
영원히,forever; eternally
영하,below zero (temperature)
옆방,next room
옆집,house next door
예,example
예금,deposit; bank savings
예매하다,to book in advance
예상,expectation; prediction
예술,art
예술가,artist
예약,reservation; booking
예전,old days; former times
예절,etiquette; manners
예정,schedule; plan
옛,old; former
옛날이야기,old tale; folk story
오,oh
오가다,to come and go
오늘날,today; these days
오래도록,for a long time
오래되다,to be old; to be long-standing
오래전,long ago
오랜,long (time); longtime
오랫동안,for a long time
오른발,right foot
오른손,right hand
오리,duck
오븐,oven
오이,cucumber
오직,only; solely
오징어,squid
오피스텔,studio apartment (officetel)
옥수수,corn
온,whole; entire
온도,temperature
온몸,whole body
온통,entirely; all over
올라오다,to come up
올려놓다,to put on top; to place on
올림픽,Olympics; Olympic Games
옮기다,to move; to transfer
옳다,to be right; to be correct
와,wow
와인,wine
완벽하다,to be perfect; to be flawless
완전히,completely; entirely
왕,king
왠지,somehow; for some reason
외,besides; other than; except
외교,diplomacy
외교관,diplomat
외롭다,to be lonely
외삼촌,maternal uncle
외우다,to memorize; to learn by heart
외출,going out; outing
외출하다,to go out
외할머니,maternal grandmother
왼발,left foot
왼손,left hand
요구하다,to demand; to require
요금,fee; charge; fare
요새,these days; recently
요청,request
욕실,bathroom
욕심,greed; ambition
용돈,pocket money; allowance
우리말,our language (Korean)
우선,first of all; first
우수하다,to be excellent; to be outstanding
우승,victory; championship; first place
우승하다,to win first place; to win the championship
우연히,by chance; accidentally
우울하다,to be depressed; to be gloomy
우표,postage stamp
운,luck; fortune
운동복,sportswear; workout clothes
운전기사,driver; chauffeur
운전자,driver
울리다,to ring; to make cry
울산,Ulsan (city)
울음,crying; weeping
움직이다,to move
웃기다,to make laugh; to be funny
웃어른,elder; one's senior
웃음,laughter; smile
원래,originally; by nature
원숭이,monkey
원피스,dress (one-piece)
원하다,to want; to desire
월급,monthly salary
월드컵,World Cup
웨이터,waiter
웬일,what's the matter; how come
위반,violation; breach
위아래,top and bottom; up and down
위쪽,upper side; upward direction
위층,upstairs; upper floor
위치,location; position
위치하다,to be located
위하다,to be for; to care for
유교,Confucianism
유난히,particularly; unusually
유럽,Europe
유리,glass (material)
유리창,glass window
유명,fame; being famous
유치원,kindergarten
유학,studying abroad; Confucian studies
유학생,international student; student abroad
유행,trend; fashion; fad
유행하다,to be in fashion; to be trendy
으응,uh-huh; yeah
음,hmm; um
음료,beverage; drink
음료수,beverage; soft drink
음악가,musician
응,yes (casual); yeah
의견,opinion; view
의미,meaning; significance
의미하다,to mean; to signify
의심하다,to doubt; to suspect
의하다,to be based on; to be due to
이것저것,this and that; various things
이곳저곳,here and there; various places
이기다,to win; to defeat
이날,this day; that day
이동,movement; relocation
이따가,a little later; in a while
이러하다,to be like this; to be such
이렇게,like this; in this way
이루다,to achieve; to accomplish
이루어지다,to come true; to be formed
이뤄지다,to come true; to be formed
이르다,to arrive; to reach; to be early
이리,this way; over here
이마,forehead
이모,maternal aunt
이미,already
이미지,image
이발소,barbershop
이불,blanket; bedding; duvet
이빨,tooth; teeth (informal)
이사,moving house; relocation
이사하다,to move (house)
이상,more than; ideal; abnormality
이상하다,to be strange; to be odd
이성,reason; rationality
이외,other than; besides; except for
이용,use; utilization
이용되다,to be used; to be utilized
이용하다,to use; to utilize
이웃,neighbor; neighboring
이웃집,neighbor's house; house next door
이유,reason; cause
이익,profit; benefit
이전,before; previous time
이튿날,the next day; following day
이틀,two days
이하,or less; below; under
이해,understanding; comprehension
이혼,divorce
이혼하다,to divorce; to get divorced
이후,after; afterwards; since then
익다,to ripen; to be cooked
익숙하다,to be familiar with; to be used to
익숙해지다,to become familiar; to get used to
인간,human being; human
인구,population
인기,popularity
인분,serving; portion (counter)
인사말,greeting; words of greeting
인삼,ginseng
인삼차,ginseng tea
인상,impression; facial looks
인생,life; one's life
인원,number of people; personnel
인제,now; from now on
인천공항,Incheon Airport
인터넷,internet
인터뷰,interview
인형,doll
일기,diary; weather
일등,first place; first class
일반,general; ordinary
일반적,general; typical
일부,part; portion; some
일상,daily life; everyday
일상생활,daily life; everyday life
일으키다,to raise up; to cause
일정,schedule; itinerary
일회용,disposable; single-use
일회용품,disposable products; disposables
읽히다,to be read (passive)
임금,wages; pay
임시,temporary; provisional
임신,pregnancy
입구,entrance
입술,lips
입원,hospitalization
입원하다,to be hospitalized
입학,school admission; entering school
입학하다,to enter school; to enroll
자,well then; come on; now
자가용,private car; one's own car
자격,qualification; eligibility
자기,oneself; self
자꾸,repeatedly; keep (doing)
자꾸만,repeatedly; keep on (doing)
자동,automatic
자라나다,to grow up; to grow
자라다,to grow; to grow up
자랑스럽다,to be proud (of)
자랑하다,to boast; to show off
자료,data; materials
자르다,to cut
자세히,in detail; closely
자식,one's children; offspring
자신,oneself; self-confidence
자연,nature
자연스럽다,to be natural
자유,freedom; liberty
자유롭다,to be free
자체,itself; in itself
자판기,vending machine
작가,writer; author
작아지다,to become smaller; to shrink
잔뜩,fully; a lot; heavily
잔치,feast; party; banquet
잘되다,to go well; to turn out well
잘못,mistake; fault; wrongly
잘못되다,to go wrong
잘못하다,to do wrong; to make a mistake
잘살다,to live well; to be well-off
잘생기다,to be handsome; to be good-looking
잠들다,to fall asleep
잠시,a moment; for a while
잠옷,pajamas; nightclothes
잡히다,to be caught (passive)
장,chapter
장가,marriage (of a man); taking a wife
장갑,gloves
장군,general (military)
장난감,toy
장남,eldest son
장래,future
장마,rainy season; monsoon rains
장사,business; trade; selling
장점,strong point; merit; advantage
장학금,scholarship
재료,ingredients; materials
재산,property; assets; fortune
재작년,the year before last
재채기,sneeze; sneezing
쟤,that kid; that child
저,um; well (hesitation)
저녁때,evening time; around dinner time
저런,that kind of; oh dear
저렇게,like that; in that way
저렇다,to be like that
저리,over there; that way
저번,last time; the other day
저자,author; writer
저축,savings; saving money
저희,we; us (humble)
적,time when (experience); enemy
적극,being active; actively
적극적,active; positive; proactive
적당하다,to be suitable; to be moderate
적당히,moderately; suitably
적어도,at least
적어지다,to decrease; to become fewer
적용하다,to apply (a rule)
전공,major (field of study)
전국,the whole country; nationwide
전기,electricity
전기밥솥,electric rice cooker
전날,the day before; previous day
전달하다,to deliver; to convey
전라도,Jeolla Province
전문,specialty; specialization
전문가,expert; specialist
전부,all; everything; entirely
전자,electronics; electron
전쟁,war
전철,subway; metro train
전체,the whole; entirety
전체적,overall; general
전통,tradition
전통적,traditional
전하다,to convey; to deliver; to pass on
전해지다,to be handed down; to be conveyed
전혀,(not) at all; entirely
전화기,telephone (device)
절,Buddhist temple; bow
절대,absolutely; never
절대로,absolutely; never (with negative)
절반,half
절약하다,to save; to economize
젊다,to be young
젊은이,young person; youth
점,dot; point; aspect
점수,score; points; grade
점심때,lunchtime
점원,store clerk; salesperson
점점,gradually; more and more
점차,gradually; step by step
접시,plate; dish
젓다,to stir; to shake (head)
정,affection; attachment
정거장,stop; station (bus)
정답,correct answer
정도,degree; extent; about
정리,organizing; tidying up
정리하다,to organize; to tidy up
정말,really; the truth
정말로,really; truly
정문,main gate; front entrance
정보,information
정상,summit; peak
정식,formal; official
정신,mind; spirit
정신적,mental; spiritual
정원,garden
정치,politics
정치적,political
정하다,to decide; to set; to fix
정해지다,to be decided; to be set
정확하다,to be accurate; to be exact
정확히,accurately; exactly
젖다,to get wet
제공하다,to provide; to offer
제대로,properly; as it should be
제목,title
제발,please (begging)
제법,quite; fairly well
제출하다,to submit; to hand in
제품,product; manufactured goods
제한,limit; restriction
조각,piece; sculpture
조건,condition; requirement
조그맣다,to be small; to be tiny
조금씩,little by little
조사,investigation; survey
조사하다,to investigate; to survey
조상,ancestor
조심스럽다,to be careful; to be cautious
조심하다,to be careful; to watch out
조용히,quietly
조카,nephew; niece
존댓말,honorific speech; polite language
졸다,to doze; to nod off
졸업생,graduate (person)
좁다,to be narrow; to be cramped
종,kind; species
종교,religion
종로,Jongno (district in Seoul)
종류,kind; type; sort
종업원,employee; staff member
종이컵,paper cup
종일,all day
종합,synthesis; combination; general
좋아지다,to get better; to improve
좌석,seat
주로,mainly; mostly
주머니,pocket; pouch
주먹,fist
주무시다,to sleep (honorific)
주문하다,to order (goods/food)
주변,surroundings; vicinity
주부,housewife; homemaker
주사,injection; shot
주요,main; major; principal
주위,surroundings; around
주인공,main character; protagonist
주장하다,to insist; to claim; to argue
주제,topic; theme; subject
주차,parking
주차장,parking lot
주차하다,to park (a car)
주택,house; housing
죽,porridge; rice gruel
죽다,to death (intensifier); extremely
죽음,death
죽이다,to kill
준비되다,to be prepared; to be ready
준비물,things to prepare; supplies
줄,line; rope; way
줄기,stem; stalk; trunk
줄다,to decrease; to shrink
줄무늬,stripes; striped pattern
줄이다,to reduce; to turn down
줍다,to pick up
중,in the middle of; among
중간,middle; midway
중국집,Chinese restaurant
중심,center; core
중요,importance; important
중요성,importance; significance
쥐,mouse; rat
쥐다,to grip; to clench
즉,namely; that is; in other words
즉시,immediately; at once
즐거움,joy; pleasure; enjoyment
즐거워하다,to be delighted; to enjoy
즐기다,to enjoy
증상,symptom
증세,symptoms; condition (of illness)
지,since (time elapsed)
지구,the earth; district (area)
지나가다,to pass by; to go past
지나다,to pass (time); to go by
지나치다,excessive; too much
지난번,last time
지난해,last year
지다,to lose; to set (sun); to carry on back
지르다,to yell; to shout (a sound)
지방,region; province; the countryside
지붕,roof
지역,area; region
지점,spot; point; location
지치다,to be exhausted; to be worn out
지키다,to protect; to keep (a promise); to guard
지하도,underpass; underground passage
직업,occupation; job; profession
직원,employee; staff member
직장,workplace; one's job
직접,directly; in person
진달래,azalea
진짜,really; real; genuine
진출,advance (into a field); entry
진하다,thick (fog); strong (flavor); dark (color)
진행되다,to progress; to be underway
진행하다,to carry out; to proceed with; to conduct
질,quality
질서,order (public); orderliness
짐,luggage; load; baggage
집다,to pick up (with fingers)
집안,household; family
집중,concentration; focus
짓,act; deed (usually bad)
짓다,to build; to make; to compose
짙다,dark (color); thick (fog)
짜증,irritation; annoyance
짧아지다,to become shorter
쪽,page; side; direction
찌다,to gain (weight); to steam
찌르다,to stab; to prick; to poke
차갑다,cold (to the touch); icy
차남,second son
차다,to kick; cold (weather); to be full
차례,turn; order; sequence
차리다,to prepare (a meal); to set (a table)
차이,difference; gap
착하다,kind; good-natured; nice
찬물,cold water
참,oh my; indeed; by the way
참가하다,to participate; to take part
참기름,sesame oil
참다,to endure; to hold back; to suppress
참석하다,to attend
찻잔,teacup
창고,warehouse; storehouse
창밖,outside the window
찾아가다,to go visit; to go find
찾아내다,to find out; to discover
찾아보다,to look up; to search for
찾아오다,to come visit; to come to see
채널,channel
채소,vegetables
채우다,to fill (up); to fasten
책가방,school bag; bookbag
책방,bookstore
책임,responsibility
책임자,person in charge
챔피언,champion
챙기다,to pack; to take care of; to gather up
철,season (of the year)
첫,first
첫날,first day
청년,young man; youth
청소기,vacuum cleaner
청소년,teenager; adolescent; youth
체육,physical education; PE
체중,body weight
쳐다보다,to stare at; to look up at
초,beginning (of a period); second (time unit)
초록색,green (color)
초밥,sushi
초보,beginner (level); novice
초보자,beginner; novice
초청장,invitation (card)
총장,university president; chancellor
촬영,filming; shooting (photos)
최고,the best; highest
최근,recently; lately
최대,maximum; largest
최선,one's best; best effort
최소한,minimum; at least
최초,the first; the very beginning
추억,memory; reminiscence
추위,the cold; cold weather
축구공,soccer ball
축제,festival
축하,congratulations; celebration
출구,exit
출근,going to work
출근하다,to go to work
출발,departure; start
출연하다,to appear (on a show); to perform
출입,entry and exit; access
출입문,entrance door; doorway
출장,business trip
충격,shock; impact
충분하다,sufficient; enough
충분히,sufficiently; enough; fully
충청도,Chungcheong Province
취소,cancellation
취소하다,to cancel
취직,getting a job; employment
취하다,to get drunk; to take
치과,dentist's office; dental clinic
치료,medical treatment; cure
치료하다,to treat; to cure
치우다,to clear away; to put away; to tidy up
치즈,cheese
친절,kindness
친척,relative; relatives
친하다,close (friends); intimate
침실,bedroom
칭찬,praise; compliment
카레,curry
카운터,counter; checkout counter
카페,cafe
캠퍼스,campus
커다랗다,huge; very big
커지다,to get bigger; to grow
커튼,curtain
켜지다,to be turned on; to light up
코끼리,elephant
코너,corner
코피,nosebleed
콘서트,concert
콤플렉스,complex; inferiority complex
콩,bean; soybean
콩나물,bean sprouts
크기,size
큰길,main road; main street
큰소리,loud voice; loud noise
큰일,big trouble; serious matter
키우다,to raise; to bring up; to grow
킬로,kilo
킬로그램,kilogram
킬로미터,kilometer
탑,tower; pagoda
태도,attitude
태양,sun
태우다,to burn; to give a ride
태풍,typhoon
탤런트,TV actor; entertainer
터,intention; expectation (-ㄹ 터)
터널,tunnel
터뜨리다,to burst; to pop
터미널,terminal (bus)
턱,chin; jaw
털,hair; fur
털다,to shake off; to dust off
테스트,test
테이프,tape
토끼,rabbit
토론,debate; discussion
토마토,tomato
톤,ton
통,bucket; container; counter for letters
통신,communication; telecommunications
통일,unification
통장,bankbook; bank account book
통하다,to pass through; to be connected
퇴근,leaving work; getting off work
퇴근하다,to leave work; to get off work
특별,being special; specialness
특별하다,special
특별히,specially; particularly
특징,characteristic; feature
특히,especially; in particular
튼튼하다,sturdy; strong; healthy
틀다,to turn on (TV or music)
틀리다,to be wrong; to be incorrect
틀림없다,certain; unmistakable; sure
티셔츠,T-shirt
파,green onion; scallion
파도,wave (ocean)
파랗다,blue
파리,Paris; fly (insect)
파일,file
판단,judgment
판매,sale; selling
판매하다,to sell
팔리다,to be sold; to sell
패션,fashion
팩,pack; carton
팬,fan (admirer); frying pan
팬티,underpants; panties
펴다,to open (book); to spread out; to unfold
편,counter for films or writings
편리하다,convenient
편안하다,comfortable; peaceful; at ease
편하다,comfortable; easy; convenient
편히,comfortably; at ease
펼쳐지다,to unfold; to spread out
평범하다,ordinary; average
평생,lifetime; whole life
평소,usual times; ordinary days
평일,weekday
평화,peace
포기하다,to give up
포도주,wine (grape)
포스터,poster
포장,packaging; wrapping
포함되다,to be included
포함하다,to include
폭,width; breadth
표시하다,to indicate; to mark; to express
표정,facial expression
표현,expression
표현하다,to express
푸르다,blue; green; verdant
푹,soundly; deeply (sleep)
풀,glue; paste; grass
풀다,to untie; to loosen; to solve
풀리다,to come loose; to be solved
풍경,scenery; landscape
프로,pro; professional; TV program
프로그램,program
플라스틱,plastic
피,blood
피다,to bloom; to blossom
피로,fatigue; tiredness
피로하다,tired; fatigued
피부,skin
피시,PC; personal computer
필름,film (camera)
필통,pencil case
하루,one day; a day
하숙집,boarding house
하얀색,white (color)
하얗다,to be white
하여튼,anyway; in any case
하품,yawn
하하,haha (laughing)
학기,semester; school term
학생증,student ID card
학습,learning; study
학원,private academy; cram school
한국적,Korean-style; typically Korean
한꺼번에,all at once
한동안,for a while
한두,one or two
한둘,one or two
한라산,Hallasan (mountain on Jeju)
한숨,sigh
한잔,a drink; one glass
한잔하다,to have a drink
한쪽,one side
한참,a long while
한편,meanwhile; on the other hand; one side
할인,discount
함부로,carelessly; recklessly
합격,passing (exam); acceptance
합치다,to combine; to merge
해결,solution; resolution
해결하다,to solve; to resolve
해마다,every year
해석,interpretation; translation
해외,overseas; abroad
해외여행,overseas travel; trip abroad
햇볕,sunshine (warmth); sunlight
햇빛,sunlight
햇살,sunbeam; rays of sunlight
행동,action; behavior
행동하다,to act; to behave
행복,happiness
행복하다,to be happy
행사,event; function
향기,fragrance; scent
향수,perfume
향하다,to face; to head toward
허용하다,to allow; to permit
헌,old; worn-out (thing)
헤어지다,to part; to break up
혀,tongue
현관,entrance hall; front door
현금,cash
현대,modern times; the present age
현재,the present; currently
현지,the local area; on-site
형님,older brother (honorific)
형부,brother-in-law (older sister's husband)
형제,brothers; siblings
호랑이,tiger
호선,subway line (counter)
호수,lake
혹은,or; or else
홈페이지,homepage; website
홍차,black tea
화가,painter; artist
화나다,to get angry
화려하다,to be splendid; to be fancy
화분,flowerpot
화장품,cosmetics
확대되다,to be expanded; to be enlarged
확대하다,to expand; to enlarge
확실하다,to be certain; to be sure
확실히,certainly; definitely
확인,confirmation; verification
확인하다,to confirm; to check
환갑,60th birthday
환경,environment
환영,welcome
활동,activity
활동하다,to be active; to engage in activity
활발하다,to be lively; to be active
활용하다,to utilize; to make use of
회복하다,to recover
회색,gray (color)
회원,member
회장,president (of organization); chairman
회화,painting (fine art)
횡단보도,crosswalk
효과,effect
후배,junior (at school or work)
후춧가루,ground pepper; pepper powder
후회하다,to regret
훌륭하다,to be excellent; to be outstanding
훨씬,much (more); far more
휴가,vacation; leave
흐르다,to flow
흐리다,to be cloudy; to be murky
흔들다,to shake; to wave
흔히,commonly; often
흘러가다,to flow along
흘러나오다,to flow out; to stream out
흘리다,to shed (tears); to spill
흙,soil; dirt
흥미,interest
희다,to be white
희망,hope
