German,English
Zahnschmerzen; die Zahnschmerzen,toothache
Halsschmerzen; die Halsschmerzen,sore throat
Entzündung; die Entzündung,inflammation
Bruch; der Bruch,fracture; break
Narbe; die Narbe,scar
Blase; die Blase,blister; bladder
Salbe; die Salbe,ointment
Vitamin; das Vitamin,vitamin
Untersuchung; die Untersuchung,examination; check-up
Genesung; die Genesung,recovery
Blutdruck; der Blutdruck,blood pressure
Hausarzt; der Hausarzt,family doctor
Sprechstunde; die Sprechstunde,consultation hours
Wartezimmer; das Wartezimmer,waiting room
Vermieter; der Vermieter,landlord
Mieter; der Mieter,tenant
Nebenkosten; die Nebenkosten,utility costs
Kaution; die Kaution,deposit
Grundstück; das Grundstück,property; plot
Eingang; der Eingang,entrance
Ausgang; der Ausgang,exit
Etage; die Etage,floor; storey
Erdgeschoss; das Erdgeschoss,ground floor
Dachboden; der Dachboden,attic
Garage; die Garage,garage
Terrasse; die Terrasse,terrace
Wasserhahn; der Wasserhahn,tap
Waschbecken; das Waschbecken,sink
Badewanne; die Badewanne,bathtub
Dusche; die Dusche,shower
Klimaanlage; die Klimaanlage,air conditioning
Renovierung; die Renovierung,renovation
Fliese; die Fliese,tile
Tapete; die Tapete,wallpaper
Schreibtisch; der Schreibtisch,desk
Sessel; der Sessel,armchair
Hocker; der Hocker,stool
Kommode; die Kommode,chest of drawers
Matratze; die Matratze,mattress
Nebel; der Nebel,fog
Frost; der Frost,frost
Hagel; der Hagel,hail
Hitze; die Hitze,heat
Kälte; die Kälte,cold
Überschwemmung; die Überschwemmung,flood
Erdbeben; das Erdbeben,earthquake
Vulkan; der Vulkan,volcano
Gipfel; der Gipfel,summit
Teich; der Teich,pond
Bach; der Bach,stream
Wasserfall; der Wasserfall,waterfall
Sauerstoff; der Sauerstoff,oxygen
Ozean; der Ozean,ocean
Horizont; der Horizont,horizon
Wurzel; die Wurzel,root
Ast; der Ast,branch
Zweig; der Zweig,twig
Gras; das Gras,grass
Busch; der Busch,bush
Ernte; die Ernte,harvest
Recycling; das Recycling,recycling
Innenstadt; die Innenstadt,city centre
Vorort; der Vorort,suburb
Stadtteil; der Stadtteil,district
Viertel; das Viertel,quarter; district
Bezirk; der Bezirk,district
Region; die Region,region
Bundesland; das Bundesland,federal state
Gemeinde; die Gemeinde,municipality
Bürgersteig; der Bürgersteig,pavement
Fußgängerzone; die Fußgängerzone,pedestrian zone
Denkmal; das Denkmal,monument
Brunnen; der Brunnen,fountain; well
Turm; der Turm,tower
Burg; die Burg,castle
Dom; der Dom,cathedral
Friedhof; der Friedhof,cemetery
Stadion; das Stadion,stadium
Halle; die Halle,hall
Messe; die Messe,trade fair; mass
Einkaufszentrum; das Einkaufszentrum,shopping centre
Kaufhaus; das Kaufhaus,department store
Metzgerei; die Metzgerei,butcher shop
Buchhandlung; die Buchhandlung,bookshop
Kiosk; der Kiosk,kiosk
Kneipe; die Kneipe,pub
Imbiss; der Imbiss,snack bar
Kantine; die Kantine,canteen
Klinik; die Klinik,clinic
Praxis; die Praxis,practice; surgery
Tankstelle; die Tankstelle,petrol station
Parkhaus; das Parkhaus,multi-storey car park
Laterne; die Laterne,streetlight; lantern
Mülltonne; die Mülltonne,dustbin
Reisebüro; das Reisebüro,travel agency
Buchung; die Buchung,booking
Zoll; der Zoll,customs
Abflug; der Abflug,departure (flight)
Landung; die Landung,landing
Flug; der Flug,flight
Bordkarte; die Bordkarte,boarding pass
Sitzplatz; der Sitzplatz,seat
Passagier; der Passagier,passenger
Fußgänger; der Fußgänger,pedestrian
Kreuzung; die Kreuzung,crossroads
Kurve; die Kurve,bend; curve
Spur; die Spur,lane; trace
Umleitung; die Umleitung,diversion
Baustelle; die Baustelle,construction site
Panne; die Panne,breakdown
Bremse; die Bremse,brake
Lenkrad; das Lenkrad,steering wheel
Kofferraum; der Kofferraum,car boot
Anhänger; der Anhänger,trailer; pendant
Fähre; die Fähre,ferry
Hafen; der Hafen,harbour; port
Boot; das Boot,boat
Wohnwagen; der Wohnwagen,caravan
Zelt; das Zelt,tent
Campingplatz; der Campingplatz,campsite
Jugendherberge; die Jugendherberge,youth hostel
Ferienwohnung; die Ferienwohnung,holiday flat
Souvenir; das Souvenir,souvenir
Vorstellungsgespräch; das Vorstellungsgespräch,job interview
Arbeitszeit; die Arbeitszeit,working hours
Überstunde; die Überstunde,overtime
Schicht; die Schicht,shift; layer
Teilzeit; die Teilzeit,part-time
Vollzeit; die Vollzeit,full-time
Gewerkschaft; die Gewerkschaft,trade union
Geschäftsführer; der Geschäftsführer,managing director
Direktor; der Direktor,director
Manager; der Manager,manager
Berater; der Berater,consultant
Vertreter; der Vertreter,representative
Beamte; der Beamte,civil servant
Angestellte; der Angestellte,employee
Lehrling; der Lehrling,apprentice
Experte; der Experte,expert
Handwerker; der Handwerker,craftsman
Elektriker; der Elektriker,electrician
Mechaniker; der Mechaniker,mechanic
Metzger; der Metzger,butcher
