Spanish,English
contagioso,contagious
crónico,chronic
leve,mild; slight
concepto; el concepto,concept
criterio; el criterio,criterion
perspectiva; la perspectiva,perspective
punto de vista; el punto de vista,point of view
enfoque; el enfoque,approach; focus
argumento; el argumento,argument; plot
postura; la postura,stance; posture
planteamiento; el planteamiento,approach
consideración; la consideración,consideration
factor; el factor,factor
elemento; el elemento,element
componente; el componente,component
estructura; la estructura,structure
función; la función,function; show
ámbito; el ámbito,sphere; field
contexto; el contexto,context
marco; el marco,framework; frame
muestra; la muestra,sample; sign
prueba; la prueba,proof; test
evidencia; la evidencia,evidence
fundamento; el fundamento,basis; grounds
principio; el principio,beginning; principle
hipótesis; la hipótesis,hypothesis
procedimiento; el procedimiento,procedure
mecanismo; el mecanismo,mechanism
técnica; la técnica,technique
estrategia; la estrategia,strategy
medida; la medida,measure
rasgo; el rasgo,trait; feature
diferencia; la diferencia,difference
semejanza; la semejanza,similarity
relación; la relación,relationship; relation
vínculo; el vínculo,link; bond
contradicción; la contradicción,contradiction
coincidencia; la coincidencia,coincidence
efecto; el efecto,effect
impacto; el impacto,impact
influencia; la influencia,influence
reacción; la reacción,reaction
no obstante,nevertheless
por consiguiente,consequently
por tanto,therefore
en consecuencia,as a result
de hecho,in fact
de todos modos,anyway
de todas formas,in any case
aun así,even so
asimismo,likewise
por otro lado,on the other hand
por un lado,on one hand
por otra parte,moreover; besides
en primer lugar,firstly
en segundo lugar,secondly
en definitiva,in short
en resumen,in summary
en conclusión,in conclusion
en efecto,indeed
en fin,anyway; in short
por lo visto,apparently
al parecer,apparently; seemingly
por cierto,by the way
a propósito,by the way; on purpose
mientras que,whereas
a menos que,unless
siempre que,as long as
puesto que,since; given that
dado que,given that
de modo que,so that
con el fin de,in order to
para que,so that
tan pronto como,as soon as
en cuanto,as soon as
a medida que,as; while
cada vez que,every time
una vez que,once
salvo,except
pese a,despite
aun cuando,even though
si bien,although
ni siquiera,not even
por más que,however much
cuanto antes,as soon as possible
de golpe,suddenly
a la larga,in the long run
a corto plazo,in the short term
a largo plazo,in the long term
por lo general,generally
en el fondo,deep down
en parte,partly
ante todo,first of all
por adelantado,in advance
de antemano,beforehand
a continuación,next; below
entretanto,meanwhile
posteriormente,subsequently
previamente,previously
anteriormente,previously
efectivamente,indeed
ciertamente,certainly
evidentemente,evidently
obviamente,obviously
claramente,clearly
naturalmente,naturally; of course
precisamente,precisely
concretamente,specifically
básicamente,basically
principalmente,mainly
