English,Definition
horror,a strong feeling of shock and fear
hostile,very unfriendly and ready to argue or fight
hostility,very unfriendly feelings or actions towards someone
hub,a central place where a lot of activity happens
hugely,very much; to a great degree
hungry,wanting food; strongly wanting something
hurdle,a problem you must deal with in order to make progress
hybrid,something made by mixing two different things
hydrogen,the lightest gas; found in water and used as fuel
hypothetical,based on a situation that is imagined and not real
icon,a small picture on a computer screen; a famous admired person
ideally,in the best possible situation
identical,exactly the same
identification,the act of saying who someone is; proof of who you are
ideological,based on a set of political or social beliefs
ideology,a set of political or social beliefs held by a group
idle,not working or being used; lazy
imbalance,a situation in which two things are not equal or fair
imminent,likely to happen very soon
immune,protected against a disease; not affected by something
impact,a strong effect on something; the force of one thing hitting another
impair,to damage something or make it weaker
impairment,damage that makes something work less well
implicit,suggested but not stated directly; complete and total
importantly,in a way that has a big effect or matters a lot
importer,a country or firm that buys goods from abroad
inability,a lack of the power or skill to do something
inadequate,not good enough or not enough in amount
inappropriate,not suitable for the situation
incline,to lean or slope; to tend towards an opinion
inclusion,the act of making someone or something part of a group
incomplete,not finished or missing some parts
inconsistent,not staying the same; not matching other facts
incorporation,the forming of a legal company; the adding of one part into another
incorrect,wrong; not right or true
incremental,happening in small steps over time
incumbent,currently holding an official post; a duty you must do
incur,to bring a cost or loss on yourself by your own actions
independently,without help or control from other people
indicator,a sign or figure that shows what a situation is like
indifference,a lack of interest or concern
indirect,not going the shortest way; happening as a side effect
indirectly,in a roundabout way; not as the main cause
individually,one at a time; separately from others
induce,to make something happen; to persuade someone to act
ineffective,not producing the result you want
inefficiency,the wasting of time or money when doing a job
inefficient,wasting time or energy while working
inequality,an unfair difference between groups in wealth or rights
inevitable,certain to happen and impossible to avoid
inevitably,in a way that cannot be avoided
infect,to pass a disease to someone; to spread harm to a computer
inference,a conclusion you reach from facts you already know
inflate,to fill with air; to make prices or figures rise
inflationary,likely to make prices rise across the economy
inflow,money or people coming into a place
influential,having a lot of power to affect people or events
info,facts or details about someone or something
informal,relaxed and friendly; not official
infrastructure,the basic systems such as roads and power that a country needs
ingredient,one of the foods or parts used to make something
inherent,existing as a natural and permanent part of something
inherit,to receive money or property from someone who has died
initiate,to make something start
injection,the putting of medicine into the body by needle; a sum of new money
ink,the colored liquid used for writing or printing
innovative,using new ideas and methods
insert,to put something inside something else
insider,a person within a group who knows its secrets
inspect,to look at something carefully to check its condition
inspection,a careful official check of something
inspector,an official whose job is to check that rules are followed
instability,the state of being likely to change or break down suddenly
installation,the act of putting equipment in place ready to be used
installment,one of a series of regular payments; one part of a story
instant,happening immediately; a moment of time
instinct,a natural way of behaving that you are born with
institute,an organization for study or research; to start a process
instruct,to tell someone what to do; to teach a skill
instructor,a person who teaches a practical skill
insufficient,not enough for what is needed
insurer,a company that you pay so it will cover your losses
insurgency,an armed uprising against a government
insurgent,a person who fights against the government of a country
intangible,not able to be touched; hard to measure clearly
integral,necessary and forming a basic part of something
integration,the mixing of groups or parts into one whole
integrity,the quality of being honest; the state of being whole
intelligent,able to learn and understand things well
intensify,to become stronger or to make something stronger
intensity,the strength of something such as a feeling or activity
intensive,involving a lot of effort or work in a short time
intent,the aim or purpose of doing something; firmly determined
inter,used before a word to mean between groups; to bury a dead body
interact,to talk to and work with other people or things
interactive,letting information pass both ways between a user and a machine
intercept,to stop something or someone moving from one place to another
interface,a point where two systems meet and communicate
interfere,to get involved in something that is not your business
interference,unwanted involvement in other people's affairs; radio noise
interim,for the time between two events; temporary
intermediary,a person who helps two sides reach an agreement
intermediate,at a level between the lowest and the highest
internally,inside an organization or a body
internationally,in a way that involves several countries
internet,the worldwide system linking computers to share information
interval,the time between two events; a short break
intervene,to become involved in a situation to change what happens
intrigue,to make someone very interested; a secret plan
intrinsic,belonging naturally to something as a basic quality
invade,to enter a country with an army; to enter without permission
invasion,the entering of a country by an armed force
invention,a new device or method made for the first time
inventory,all the goods a shop or firm has in stock; a detailed list
investigator,a person whose job is to find out the facts about a crime
invoice,a bill listing goods sold and the money owed
irrelevant,not connected with the subject being discussed
isolation,the state of being alone or kept apart from others
issuance,the official giving out of shares or documents
issuer,a company or bank that gives out shares or cards
jet,a fast aircraft; a strong narrow stream of liquid or gas
jointly,together with another person or group
judicial,relating to courts of law and the people who decide cases there
junior,lower in rank or position; younger in age
junk,old things of little value; rubbish
jurisdiction,the official power to make legal decisions; the area this power covers
justification,a good reason for an action; proof that something was right
kidnap,to take a person away by force and hold them as a prisoner
killer,a person or thing that causes death
lab,a room used for scientific tests and research
lag,to move or develop more slowly than others; a delay between two events
landlord,a person who owns a house or flat and rents it to others
laptop,a computer small enough to carry around and use anywhere
laser,a narrow strong beam of light used in tools and medicine
lately,in the recent past; not long ago
launder,to hide where illegal money came from by passing it through a business
lawsuit,a legal claim brought against a person or company in court
layout,the way parts are arranged on a page or in a space
leak,to let liquid or gas escape through a hole; to give out secret news
lease,a contract to rent a building or vehicle for a set time
ledger,a book or file recording all money a business takes in and hands out
legacy,money or property left to you when someone dies; a result of the past
legally,in a way allowed by law; according to the rules of a country
legislative,connected with making laws or with the group that makes them
legislature,the group of people in a country who have the power to make laws
legitimacy,the state of being allowed by law or accepted as right
legitimate,allowed by law; fair and reasonable
leisure,free time when you can relax and do what you enjoy
lender,a bank or person that gives money to be paid back later
lessee,a person who rents a building or vehicle from its owner
lesser,not as big or as important as the other one
lessor,the owner who rents out a building or vehicle to someone
leverage,the power to influence people or events; use of borrowed money to invest
levy,to officially demand and collect a tax or fee
liable,legally responsible for something; likely to do or suffer something
liberalization,the removal of strict state controls on trade or society
liberalize,to remove strict state controls from trade or laws
liberty,the freedom to live and act as you choose
lifestyle,the way a person lives from day to day
lifetime,the whole period from a person's birth until death
likelihood,the chance that something will happen
likewise,in the same way; also
linear,arranged in one straight row; changing at a steady rate
liquidate,to close a business and sell what it owns; to turn assets into cash
liquidation,the closing of a business and selling of its property to repay debts
liquidity,how easily what a company owns can be turned into cash
liter,a unit for measuring liquid equal to about two pints
litigation,the process of taking a dispute to court
lobby,to try to persuade politicians to support your aims; an entrance hall
locally,in or near the area where you are
logical,sensible and based on clear reasons
logistics,the detailed planning of moving goods and people
logo,a small design used by a company as its symbol
loom,to appear large and threatening; to be about to happen
loop,a shape or path that curves back to where it began
loser,a person who does not win or who suffers defeat
loyal,always giving firm support to a person or group
loyalty,the quality of staying true to a person group or brand
lucrative,producing a lot of money or profit
lump,a solid piece with no regular shape; a whole amount given at once
lure,to attract someone by offering something good
machinery,large heavy equipment used in a factory; the working parts of a system
macro,large in scale; covering a whole system
macroeconomic,relating to a country's whole system of trade and money
macroeconomics,the study of trade money and growth in a whole country
magnetic,able to attract iron or steel; very attractive to people
magnitude,the size or importance of something especially when it is very large
mainland,the largest continuous area of a country without its islands
mainstream,the ideas or style accepted by most people
mall,a large covered building with many shops
managerial,relating to running a business or leading a team of workers
mandate,official authority to do something; an order that must be obeyed
mandatory,required by a rule or law; not a free choice
maneuver,to move something carefully into position; a clever planned action
manipulate,to control people or things in a clever and unfair way
manipulation,clever unfair control of people or of figures
manual,done by hand rather than by machine; a book of instructions
mar,to spoil the quality or appearance of something
marginal,very small and not important; relating to one extra unit made or sold
marketable,easy to sell because people want it
marketer,a person whose job is to promote and sell a product
marketplace,the world of buying and selling; a square where goods are sold
materially,in an important way; in terms of money and physical things
mathematical,relating to numbers and calculation
matrix,a grid of numbers or items set out in rows and columns
maturity,the state of being fully grown or sensible; the date a loan falls due
maximization,the act of getting the largest possible amount from something
maximize,to make something as big or as effective as it can be
meaningful,having real value or a serious purpose
meantime,the period between two events; while something else happens
mechanical,worked by engines or moving parts; done without thinking
media,newspapers television and the internet as sources of news
median,the middle value in a set of numbers
memo,a short written note sent between people at work
memorandum,a short official note sent to staff inside a company
mentor,an experienced person who advises and guides someone less skilled
merchandise,goods that are bought and sold
merchant,a person who buys and sells goods in large amounts
merge,to join two companies or things together into one
merger,the joining of two companies into one
merit,a good quality or feature that deserves praise
methodology,the system of ways used to do research or carry out work
metric,a standard used to measure performance; based on grams and liters
micro,very small; relating to a very small scale
mid,at or near the center of a period or place
migrant,a person who moves to another area or country to find work
migration,the movement of people or animals to a new area
mild,not strong or severe; gentle in effect
milestone,an important stage or event in a process
militant,ready to use strong or violent action for a cause
militia,a group of ordinary people trained as soldiers
mill,a factory that makes steel paper or cloth; a device for grinding grain
mineral,a solid natural substance dug from the earth such as iron or salt
mini,much smaller than the usual size
minimal,very small in amount or degree
minimize,to reduce something to the smallest possible amount
ministry,a government department responsible for one area such as health
minus,with a number taken away; below zero
mislead,to make someone believe something that is not true
missile,a flying weapon aimed at a distant target
mister,a title used before a man's family name
misunderstand,to fail to get the right sense of what is said or done
mitigate,to make something bad less serious or harmful
mobility,the ability to move about or to change job or social class
modest,not large in size or amount; not boastful
modification,a small change made to improve something
mold,to shape a soft material; a hollow form for setting a liquid
molecule,the smallest unit of a substance made of joined atoms
momentum,the force that keeps something moving or growing
monetary,relating to the currency and cash supply of a country
monopolist,a person or firm that alone controls the supply of a product
monopoly,complete control of a product or service by one company
morale,the level of confidence and spirit in a group
mosque,a building where Muslims pray
motive,the reason why someone does something
multi,many; more than one
multinational,having offices or factories in many countries
multiplier,a number that increases another; an effect that makes growth bigger
multiply,to increase a number by another number; to grow greatly in amount
municipal,relating to a town or city and its local government
mutually,in a way shared by two sides; each towards the other
myth,a false idea that many people believe; an ancient traditional story
namely,that is to say; being the following
nasty,very unpleasant or unkind
nationalism,strong pride in your own country and its interests
nationalist,a person with strong pride in their own country
nationalize,to bring a private company under state ownership
nationwide,happening across a whole country
necessity,something you must have; the state of being badly needed
negligence,failure to take proper care so that harm results
negotiable,open to discussion and change; able to be sold or transferred
negotiator,a person who takes part in talks to reach an agreement
neo-,new; a recent modern form of something older
neutral,not supporting either side in a dispute
newcomer,a person who has recently arrived or joined
newsletter,a short regular report sent to members or staff
niche,a small special part of a market for a product
node,a point where lines or parts of a network meet
nominal,very small compared with the real value; in name only
nominate,to officially suggest someone for a job or a prize
nomination,the official choice of a person for a job or an award
non-,not; the opposite of
nonetheless,in spite of that; even so
norm,the usual standard of behavior in a group
notable,important and deserving attention
notably,especially; more than the others
notify,to tell someone about something officially
null,having no legal force; equal to zero
numerical,shown in figures; relating to amounts and counting
obituary,a notice in a newspaper about a person who has died
objection,a reason given for disagreeing with something
oblige,to force someone by law or duty to do something
obscure,not well known; hard to see or understand
observer,a person who watches an event without taking part
obstacle,something that blocks progress or makes it hard
obtain,to get something you want or need
occasional,happening from time to time but not often
occupation,a person's job; control of a place taken by force
occurrence,an event or something that happens
odds,how likely something is often shown as numbers in betting
offensive,very rude and likely to upset people; a planned attack
officially,in a formal public way approved by those in charge
offset,to balance one cost or effect against another
offshore,based abroad to pay lower tax; away from the coast at sea
omit,to leave something out
ongoing,still happening and not yet finished
openly,without trying to hide anything
operational,ready and working; relating to the daily running of a business
operative,working and having effect; a worker in a factory
opt,to choose one thing rather than another
optimal,best possible in a given situation
optimism,the belief that good things will happen
optimistic,expecting good things to happen
optimization,the act of making something work as well as it can
optimize,to make something as good or as effective as possible
optimum,the best possible level or amount
oral,spoken rather than written; relating to the mouth
ordinate,the up and down value of a point on a graph
organ,a part of the body with a special job; a large musical keyboard
organizational,relating to how a company or group is arranged and run
orient,to find your position; to aim something at a group or purpose
orientation,the direction something faces; training given to new staff
originate,to begin or first come into being somewhere
ounce,a unit of weight equal to about 28 grams
oust,to force someone out of a job or position
outbreak,the sudden start of a disease or a war
outfit,a set of clothes worn together; a small business or team
outflow,the movement of money or liquid away from a place
outgoing,leaving a job or place; friendly and sociable
outlay,an amount of money spent to start or run something
outlet,a shop that sells a company's goods; a way for something to escape
outlook,the likely future situation; a person's attitude to life
outperform,to do better than someone or something else
outrage,great anger caused by something unfair or shocking
outright,complete and total; at once and without conditions
outsider,a person who is not part of a group
outsource,to pay another company to do work for you
outstanding,extremely good; not yet paid or dealt with
outweigh,to be greater in value or importance than something else
overhaul,to examine and repair a system completely
overhead,the regular cost of running a business such as rent
overlap,to cover part of the same area or time as something else
overlook,to fail to notice something; to have a high view across an area
overnight,during the hours of darkness; very suddenly
oversee,to watch a job being done and check that it is done well
oversight,a mistake made by not noticing; the checking of work by those in charge
overstate,to describe something as bigger or worse than it really is
overtime,extra hours worked beyond the normal working day
overview,a short general description of a subject
overwhelm,to affect someone very strongly; to defeat completely
packet,a small paper or plastic container for goods
pact,a formal agreement between two groups or countries
painful,causing hurt in the body; causing sadness
pan,a flat metal dish for cooking; to move a camera slowly across
par,the usual or expected standard; the face value of a share or bond
parameter,a limit that controls what can be done; a value used in a calculation
paramilitary,organized like an army but not part of the official forces
parity,the state of being equal in value or status
parliament,the elected body that makes laws and checks a country's government
parliamentary,relating to the elected law-making body of a country or its members
partial,not complete; unfairly favoring one side
partially,not completely; to some degree
particle,a very small piece of something
partition,to divide a country or room into separate sections
passive,accepting what happens without taking action
passport,an official document that lets you travel abroad
patch,a small piece of material covering a hole; a small area of ground
patent,a legal right that stops others copying an invention
payable,owed and due to be handed over now or on a set date
payback,the return you get from money you put into something
payoff,a reward or profit from an action; money given to keep someone quiet
payout,a large sum of money given out by a company or insurer
payroll,the list of workers and the wages a company gives them
peaceful,calm and quiet; without war or fighting
peacekeeping,the work of soldiers sent to stop fighting between groups
peg,to fix a price or rate at a set level; a small pin for hanging things
pending,waiting to be decided or settled
pensioner,a person who has stopped working and receives a state income
per annum,for each year
performer,a person who acts sings or plays music for an audience
periodic,happening again and again at fairly regular times
periodically,now and then at fairly regular times
permanently,in a way that lasts for ever
perpetual,never ending or seeming to last for ever
persist,to keep trying in spite of difficulty; to continue to exist
persistent,continuing firmly in spite of problems; lasting a long time
peso,the unit of money used in Mexico and some other countries
pet,an animal kept at home for company
petition,a written request signed by many people
petrol,the liquid fuel used in car engines
petty,small and not important; unkind about small things
pharmaceutical,relating to medicines and the companies that make them
physically,in a way relating to the body or to material things
physician,a doctor who treats illness with medicine
physics,the science of matter energy and forces
pill,a small round piece of medicine that you swallow
pin,a thin sharp metal piece for holding things together
pioneer,one of the first people to do or study something new
pipeline,a long tube carrying oil or gas; work being prepared for the future
pit,a large hole in the ground; a mine for coal
pizza,a flat round bread baked with cheese and tomato on top
placement,the act of putting something in a position; a temporary work post
plague,a deadly disease that spreads fast; to trouble someone again and again
plainly,clearly and simply; in an obvious way
plaintiff,the person who brings a case against another in court
planner,a person who decides how something will be done
plausible,seeming reasonable and likely to be true
plead,to ask for something in a strong emotional way; to answer a charge
pledge,to promise seriously to give or do something
plug,a device on a wire that fits into a socket; to block a hole
plunge,to fall suddenly and steeply; to jump into water
poison,a substance that kills or harms if taken into the body
policeman,a male officer whose job is to keep order and stop crime
policyholder,a person or company that owns an insurance plan
policymaker,a person who decides the official rules or plans of a government
politically,in a way that relates to government and power
poorly,in a bad way or to a low standard
popularity,the state of being liked by many people
populist,appealing to ordinary people against powerful elites
portable,easy to carry or move around
portfolio,a set of investments owned by a person or firm; a folder of work samples
portray,to show or describe someone or something in a certain way
positively,in a good or hopeful way; definitely
poster,a large printed sheet put on a wall to advertise or decorate
postpone,to move an event to a later time
practitioner,a person who works in a skilled job such as medicine or law
pre-,before; earlier than
precede,to come or happen before something else
precedent,an earlier case used as an example for later ones
precious,very valuable or greatly loved
precision,the quality of being exact and correct
predecessor,the person who held a job before someone else
predetermine,to decide something in advance
predictable,easy to guess in advance; happening as expected
prediction,a statement about what will happen in the future
predictor,a sign or fact that shows what is likely to happen
prejudice,an unfair opinion about someone formed without good reason
preliminary,coming first as preparation for something more important
premier,best or most important; the head of a government
premium,a payment made for insurance; an extra amount for high quality
prepayment,money given before goods or a service are received
prescribe,to order a medicine for a sick person; to state a rule officially
prescription,a doctor's written order for medicine
presidency,the job or time in office of a country's leader
presume,to believe something is true without proof
prevail,to win or be stronger in the end; to be common
prevention,the act of stopping something bad from happening
privacy,the right to keep your life and information secret
privately,not in public; by a company rather than by the state
privatization,the act of moving a state-owned business into non-government ownership
privatize,to sell a state-owned business so that a company or people own it
probable,likely to happen or be true
probe,a careful official investigation; to examine something closely
processor,the part of a computer that carries out instructions
proclaim,to announce something officially and publicly
procurement,the buying of goods and services for a company
prod,to push someone gently; to urge someone to act
productive,doing or making a lot in the time available; giving good results
productivity,how much work or output is done in a given time
profitability,the ability of a business to earn more than it spends
profitable,earning more money than is spent
programmer,a person who writes instructions for computers
progressive,favoring social change and reform; happening step by step
prohibit,to officially forbid something
projection,an estimate of a future amount or figure
proliferation,a fast increase in the number of something
prolong,to make something last longer
prominent,important and well known; easy to see
promotional,used to advertise goods and boost sales
promptly,quickly and without delay; exactly at the agreed time
prone,likely to suffer from something bad; lying face down
pronounce,to say a word in a certain way; to state something officially
prop,to support something so it does not fall; an object used in a play
proportional,changing in size at the same rate as something else
proposition,an offer or plan put forward for others to consider
proprietary,owned by one company and protected by law
proprietorship,a business owned and run by one person
prosecute,to take someone to court for a crime
prosecution,the process of trying someone in court for a crime
prosecutor,a lawyer who tries to prove someone guilty in court
prospective,likely to happen or become something in the future
prospectus,a booklet describing a school or an offer of shares
prosper,to do well and become successful or rich
prosperity,the state of being rich and successful
prosperous,rich and doing well
protester,a person who joins a public march or action against something
protocol,an agreed set of rules for behavior or for computers
prototype,the first model of a product built to test the idea
provider,a company or person that supplies a service
provincial,relating to a region of a country; narrow in outlook
provoke,to make someone angry; to cause a reaction
proxy,a person given the right to vote or act for another
prudent,careful and sensible about risks
psychology,the study of the mind and behavior
publicity,attention given to someone by newspapers and television
publicly,in a way that everyone can see or know about
publish,to print and sell a book or paper; to put information online
punish,to make someone suffer for doing something wrong
punishment,a penalty given to someone for doing wrong
purchaser,a person or company that buys something
purely,only; completely and nothing else
pursuant,following or in agreement with a rule or law
pursuit,the act of chasing or trying to achieve something
puzzle,a game that tests your thinking; to confuse someone
qualitative,based on features and opinions rather than numbers
quantify,to measure something and state it as a number
quantitative,based on numbers and amounts
quarterly,happening once every three months
quasi,almost but not really; seeming to be
query,a question asked to get information; to ask about something
questionnaire,a set form that people fill in to give facts or opinions
queue,a line of people waiting; to wait in a line
quit,to leave a job; to stop doing something
quota,a fixed share or limited amount allowed
quotation,a stated price for a job; words taken from a text
rage,very strong anger
raid,a sudden attack or official search of a place
railway,a track for trains and the system that runs them
rally,a large public meeting; a rise in prices after a fall
randomly,by chance and without any plan
rape,the crime of forcing someone to have sex
ratify,to approve an agreement officially
ration,a fixed amount of food or fuel allowed to each person
rational,based on clear thinking and good reasons
rationale,the reasons behind a decision or plan
ray,a narrow beam of light or energy
reactor,a large machine that produces nuclear energy
readily,quickly and easily; willingly
realistic,sensible about what can be done; true to life
realizable,able to be achieved or turned into cash
realization,the act of suddenly understanding; the act of making a plan happen
reap,to gain a reward; to cut and gather a crop
reassure,to make someone feel less worried
rebate,an amount of money given back to you off a price or a tax bill
rebel,a person who fights against the government; to refuse to obey
rebound,to bounce back; to recover after a fall in value
rebuild,to make something again after it has been damaged
receipt,a paper showing that goods have been paid for
receivable,money owed to a business by its customers
receiver,a person or device that gets something; an official who runs a failing firm
recession,a period when business and trade get worse
recipe,a set of instructions for cooking a dish
recipient,a person who gets something that is given or sent
reconcile,to make two sets of figures agree; to become friendly again
reconciliation,the act of making figures agree; a return to friendly relations
reconstruction,the act of building something again after damage
recruitment,the act of finding and hiring new workers
recycle,to treat used materials so they can be used again
redeem,to exchange a voucher for goods; to make up for a fault
redemption,the paying off of a loan or bond; the act of making up for a fault
redesign,to plan and make something again in a new form
redundancy,the loss of a job because a worker is no longer needed
referendum,a public vote by everyone on one question
referral,the act of sending someone to another person for help
refinance,to replace an old loan with a new one
refine,to improve something by small changes; to make a substance pure
reformer,a person who works to improve laws or systems
reformist,wanting gradual change to laws and systems
refund,money given back to a buyer; to give money back
refusal,the act of saying no to something
regain,to get something back after losing it
regime,a system of government; a set way of doing something
regression,a return to a worse state; a way of showing links between figures
regulator,an official body that controls an industry
regulatory,relating to the official control of an industry
rein,the power to control something; a strap used to guide a horse
reinforce,to make something stronger
reinforcement,extra strength or support added to something
reinvest,to put profits back into a business
reinvestment,the act of using earnings again to grow a business
rejection,the act of refusing or not accepting someone
relational,connected with how people or things link together
relevance,the state of being closely connected to the matter
reliability,the quality of working well and being trusted
reliance,the state of needing or depending on someone
relieve,to make pain or worry less
reluctance,an unwillingness to do something
reluctant,not wanting to do something
remainder,the part that is left after the rest is gone
remarkably,in a way that is unusual enough to be noticed
remedy,a cure or solution to a problem; to put something right
reminder,something that helps you remember
removal,the act of taking something away
render,to cause someone to be in a certain state; to give a service
renew,to make something start again; to extend an agreement
renewable,able to be replaced naturally such as wind or sun power
renewal,the act of making an agreement or license valid for a further period
rental,money paid to use something for a time; offered for hire
reorganization,a change to the way a company is set up
repay,to give money back to someone you owe
repayment,a sum of money given back regularly until a loan is cleared
repeatedly,many times; again and again
repertoire,the set of works a performer knows or skills a person has
replacement,a new thing or person that takes the position of another
replicate,to copy something exactly
reportedly,according to what people say
reprint,to make new copies of a book; a fresh run of copies
reproduce,to make a copy of something; to have young
republic,a country ruled by elected leaders and not a king
repurchase,to buy something back; a buying back of shares
resale,the act of passing goods on to a new buyer
resemble,to look or be like something else
reservation,a booking for a room or table; a doubt about a plan
residence,the place where someone lives
residential,consisting of homes rather than shops or factories
residual,left over after the main part has gone
resignation,the act of formally leaving a job
respective,belonging to each one separately
respondent,a person who answers questions in a survey
restate,to say or write something again in a different way
restrain,to hold someone back; to keep something under control
restraint,calm control of behavior; a limit placed on something
restrictive,limiting what people are allowed to do
restructure,to change the way a company or a debt is set up
resume,to start again after a break
retailer,a shop or company that sells goods to the public
retention,the act of keeping something or someone
retreat,to move back from danger; a quiet place to rest
retrieve,to get something back; to find stored information
revaluation,a new official estimate of what something is worth
reversal,a change to the opposite direction or result
revision,a change made to improve a text or plan
revival,a return to strength or fame after a weak period
revive,to bring something back to life or strength
revolutionary,completely new and causing great change
rewrite,to put a text into a new form
rhetoric,language used to persuade; showy speech with little meaning
rig,to arrange a result dishonestly; a large machine for drilling oil
rightly,correctly and for good reasons
rigid,not able to bend; strict and hard to change
rigorous,very careful and thorough; strict
riot,a violent public disturbance by a crowd
risky,likely to lead to loss or harm
robot,a machine that can do jobs automatically
robust,strong and healthy; not easily damaged
rocket,a vehicle that flies into space; to rise very fast
routinely,as a regular part of normal work
royalty,money paid to a writer or owner each time their work is used
ruler,a person who governs a country; a flat strip for measuring length
rumor,a story people repeat that may not be true
sack,to dismiss someone from a job; a large bag
sacrifice,to give up something valuable for a better aim
sadly,unfortunately; in an unhappy way
safeguard,to protect something from harm or loss
salespeople,people employed to persuade customers to buy a company's goods
salesperson,a worker whose job is to get customers to buy goods
salvage,to save goods from a wreck or fire; to rescue a plan from failure
satellite,a machine sent into space to send signals back to earth
satisfactory,good enough for the purpose
saver,a person who keeps money in a bank for the future
scandal,an event that shocks people and causes public anger
scarce,hard to find; not enough for what is needed
scatter,to throw or spread things in many directions
scenario,a description of how a situation might develop
scorecard,a chart used to track how well a business is doing
scrap,to get rid of something no longer useful; a small piece
scratch,to mark or cut a surface lightly; a thin mark on a surface
script,the written text of a film or play; a set of computer commands
scrutiny,careful and detailed examination
seasonal,happening only at one time of the year
secular,not connected with religion
seeker,a person who is trying to find or get something
seemingly,in a way that appears true but may not be
segmentation,the dividing of a market into smaller groups
seize,to take something quickly by force; to take control officially
seldom,not often; hardly ever
selective,careful about what you choose; affecting only some
seller,a person or firm that offers goods for money
semi,half; partly
seminar,a meeting where a small group studies a subject
senator,a member of the upper house of a parliament
sensible,showing good judgment; practical
sensitivity,the ability to notice small changes; care about others' feelings
sensor,a device that detects things like heat or movement
sentiment,a general feeling or opinion about something
separately,on its own; not together with others
separation,the act of keeping two things apart; a break between partners
separatist,a person who wants their region to break away
serial,coming one after another in order; a story told in separate parts
setup,the way something is arranged or organized
severely,very badly; in a strict harsh way
sharply,suddenly and by a large amount; in a harsh tone
shed,to get rid of something; a small building for storing tools
sheer,complete and total; very steep
shield,to protect from harm; a piece of armour held in the hand
shipment,a load of goods sent from one place to another
shopper,a person who is buying goods in stores
shortage,a situation when there is not enough of something
shortfall,an amount by which something is less than needed
shortly,soon; in a brief moment
shrink,to become smaller in size or amount
signature,your name written by you on a document
similarity,a way in which two things are alike
simplicity,the quality of being easy to understand or plain
simplify,to make something easier to do or understand
simulate,to copy the conditions of a real thing for testing
simulation,a model that copies real conditions for testing
simultaneously,at the same time
skeptic,a person who doubts what others accept as true
skeptical,doubting that something is true or useful
slack,not busy or not tight; the loose part of a rope
slash,to cut prices or costs by a large amount
slim,thin in an attractive way; very small in amount or degree
slogan,a short phrase used in advertising or by a group
slot,a narrow opening for putting things in; a set period for an event
slowdown,a fall in the speed of growth or activity
slump,a sharp fall in trade or prices; a long period of poor results
smuggle,to move goods secretly and illegally across a border
soar,to rise very quickly to a high level; to fly high in the air
socialist,believing the state should own industry and share wealth fairly
socially,in a way that involves other people and how they live together
sole,being the only one; the bottom part of a foot or shoe
solely,only; and nothing else
sometime,at a moment in the past or future that is not exact
sophisticate,a person who knows a lot about style and culture
sovereign,having complete power over its own affairs; a king or queen
sovereignty,the right of a country to govern itself with no outside control
span,the length or period from one end to the other; to reach across
spark,to cause something to start suddenly; a tiny bit of fire
specialization,a focus on one narrow area of work or study
specialty,an area of work someone knows very well; a food a place is famous for
specification,a detailed description of how something must be made
spectacular,very impressive to look at; extremely great
spectrum,a full range of related ideas or things; a band of colors
speculate,to guess without full facts; to buy assets hoping prices rise
speculation,a guess made without full facts; risky buying for quick profit
speculative,based on guessing; risky but possibly very profitable
speculator,a person who buys assets hoping to profit from price changes
spill,to let liquid fall out of a container by accident
spite,a wish to hurt or annoy someone; used with in and of to mean despite
spokesman,a male person chosen to give the views of a group to the public
sponsorship,money or help given to an event in return for advertising
spouse,a husband or wife
spreadsheet,a computer program with rows and columns for numbers
spur,to push something to happen faster; to encourage strongly
spy,to watch people secretly to get information; a secret agent
squeeze,to press something firmly; a difficult shortage of money
stabilize,to become or make steady and unlikely to change
stack,a neat pile of things; to arrange things in a pile
stakeholder,a person or group with an interest in a business
stall,to stop working or making progress; a small stand for goods
stance,a publicly stated opinion or attitude; a body position
standardize,to make things all the same in form or quality
static,not moving or changing; a crackling noise on a radio
statistical,based on collected number data and what it shows
statistically,when the collected number data is looked at closely
statistics,numbers collected and studied to show facts about something
statute,a written law passed by a parliament
statutory,required or fixed by written law
steadily,in a slow and even way without sudden change
steam,hot gas made when water boils; power made from that gas
steep,rising or falling sharply; very high in amount
steer,to guide the direction of a vehicle or a plan
sterling,the money of the United Kingdom; of very high quality
stimulus,something that causes growth or a reaction
stochastic,happening in a random way that follows rules of chance
stock market,a place where company shares are bought and sold
stockholder,a person who owns part of a company through shares
straightforward,easy to understand or do; honest and direct
strategic,planned carefully to reach an important long-term goal
streamline,to make a process simpler and more efficient
strictly,in a way that must be obeyed exactly; only for that one purpose
strive,to try very hard to achieve something
sub,under or below; a person who takes the place of another
subjective,based on personal feelings rather than facts
subordinate,lower in rank; a worker under the control of another
subprime,lent to borrowers with a poor credit record
subscribe,to pay a regular sum so a service or paper keeps coming
subscriber,a customer who has arranged to get a service on a regular basis
subscription,an agreed regular payment for getting a service or magazine
subsection,a smaller divided part of a longer text or law
subsidiary,a company owned by a larger one; less important
subsidize,to help pay part of the cost with public money
subsidy,money from a government that lowers the cost of something
substantially,to a large degree; very much
substitution,the act of putting one thing in place of another
subtle,not obvious; hard to notice but important
subtract,to take one number away from another
suburb,an area of homes on the outer edge of a city
succession,a series of things coming one after another; a taking over of a role
successive,coming immediately after each other in order
successor,a person or thing that takes the place of another
sue,to take someone to court to claim money
sufficiently,enough for what is needed
suicide,the act of killing oneself
suite,a set of rooms in a hotel; a group of programs sold together
