German,English
Ehrlichkeit; die Ehrlichkeit,honesty
Bescheidenheit; die Bescheidenheit,modesty
Großzügigkeit; die Großzügigkeit,generosity
Zuverlässigkeit; die Zuverlässigkeit,reliability
Selbstvertrauen; das Selbstvertrauen,self-confidence
Selbstbeherrschung; die Selbstbeherrschung,self-control
Wille; der Wille,will; volition
Neugier; die Neugier,curiosity
Ironie; die Ironie,irony
Optimismus; der Optimismus,optimism
Pessimismus; der Pessimismus,pessimism
Höflichkeit; die Höflichkeit,politeness
Offenheit; die Offenheit,openness; frankness
Begabung; die Begabung,talent; gift
Gewissen; das Gewissen,conscience
Vorliebe; die Vorliebe,preference; fondness
Ausdauer; die Ausdauer,stamina; perseverance
Verlobung; die Verlobung,engagement
Trennung; die Trennung,separation; split
Versöhnung; die Versöhnung,reconciliation
Auseinandersetzung; die Auseinandersetzung,dispute; confrontation
Misstrauen; das Misstrauen,mistrust; suspicion
Treue; die Treue,loyalty; faithfulness
Umgang; der Umgang,dealings; contact
Geborgenheit; die Geborgenheit,sense of security; safeness
Distanz; die Distanz,distance; detachment
Zusammenhalt; der Zusammenhalt,solidarity; cohesion
Umarmung; die Umarmung,hug; embrace
Geste; die Geste,gesture
Kompliment; das Kompliment,compliment
Beleidigung; die Beleidigung,insult
Geheimnis; das Geheimnis,secret; mystery
Verpflichtung; die Verpflichtung,obligation; commitment
Verrat; der Verrat,betrayal
Überlegung; die Überlegung,consideration; reflection
Einsicht; die Einsicht,insight; understanding
Annahme; die Annahme,assumption
Vermutung; die Vermutung,guess; suspicion
Schlussfolgerung; die Schlussfolgerung,conclusion; inference
Begriff; der Begriff,term; concept
Verstand; der Verstand,mind; reason
Vernunft; die Vernunft,reason; common sense
Bewusstsein; das Bewusstsein,consciousness; awareness
Gedächtnis; das Gedächtnis,memory (faculty)
Perspektive; die Perspektive,perspective; outlook
Einfall; der Einfall,idea; brainwave
Wahrnehmung; die Wahrnehmung,perception
Klarheit; die Klarheit,clarity
Irrtum; der Irrtum,error; mistaken belief
Fazit; das Fazit,conclusion; bottom line
Logik; die Logik,logic
Skepsis; die Skepsis,scepticism; doubt
Eindruck; der Eindruck,impression
Anblick; der Anblick,sight; spectacle
Geräusch; das Geräusch,noise; sound
Klang; der Klang,sound; tone
Duft; der Duft,scent; fragrance
Geruch; der Geruch,smell; odour
Berührung; die Berührung,touch; contact
Sicht; die Sicht,view; visibility
Stille; die Stille,silence; stillness
Ausdruck; der Ausdruck,expression; phrase
Gesichtsausdruck; der Gesichtsausdruck,facial expression
Reiz; der Reiz,stimulus; appeal
Dunkelheit; die Dunkelheit,darkness
Gleichgewicht; das Gleichgewicht,balance; equilibrium
Handlung; die Handlung,action; plot
Tat; die Tat,deed; act
Mühe; die Mühe,effort; trouble
Ausrede; die Ausrede,excuse
Drohung; die Drohung,threat
Belohnung; die Belohnung,reward
Neigung; die Neigung,inclination; tendency
Tendenz; die Tendenz,tendency; trend
bedauern,to regret; to feel sorry for
bereuen,to regret; to repent
erschrecken,to be startled; to frighten
sich aufregen,to get upset; to get worked up
sich sehnen,to long; to yearn
verzweifeln,to despair
spüren,to feel; to sense
kränken,to hurt; to offend
aufmuntern,to cheer up
ermutigen,to encourage
schwärmen,to rave; to be crazy about
vermissen,to miss (a person)
nerven,to annoy; to bug
erschüttern,to shake; to shock deeply
trauern,to mourn; to grieve
verunsichern,to unsettle; to make unsure
sich verloben,to get engaged
sich trennen,to separate; to split up
sich versöhnen,to make up; to reconcile
umarmen,to hug; to embrace
begleiten,to accompany; to go with
betrügen,to cheat; to deceive
sich anfreunden,to make friends
respektieren,to respect
ausnutzen,to exploit; to take advantage of
sich einmischen,to interfere; to meddle
sich anpassen,to adapt; to fit in
zusammenhalten,to stick together
abwägen,to weigh up; to consider carefully
hinterfragen,to question; to scrutinize
bezweifeln,to doubt
durchschauen,to see through; to figure out
sich einbilden,to imagine (wrongly); to delude oneself
nachvollziehen,to understand; to follow (reasoning)
deuten,to interpret; to point to
unterstellen,to insinuate; to impute
vorhersagen,to predict; to forecast
einschätzen,to assess; to gauge
sich ausdenken,to think up; to invent
erwägen,to consider; to contemplate
klarstellen,to clarify; to set straight
verdeutlichen,to make clear; to illustrate
rechtfertigen,to justify
überschätzen,to overestimate
unterschätzen,to underestimate
ablenken,to distract; to divert
klären,to clarify; to sort out
beabsichtigen,to intend
wahrnehmen,to perceive; to notice
duften,to smell nice
stinken,to stink
berühren,to touch; to move (emotionally)
leuchten,to shine; to glow
sich benehmen,to behave
reagieren,to react; to respond
gehorchen,to obey
sich zurückziehen,to withdraw; to retreat
angeben,to show off; to state
verheimlichen,to conceal; to hide
verschweigen,to keep quiet about
provozieren,to provoke
schimpfen,to scold; to grumble
meckern,to moan; to grumble
jammern,to whine; to complain
drängen,to urge; to push
zwingen,to force; to compel
ignorieren,to ignore
vernachlässigen,to neglect
beachten,to pay attention to; to observe
befolgen,to follow; to comply with
übertreiben,to exaggerate; to overdo
versagen,to fail; to break down
durchhalten,to persevere; to hold out
mitmachen,to join in; to go along with
sich verstellen,to pretend; to put on an act
ausweichen,to dodge; to avoid
sich beherrschen,to control oneself
verweigern,to refuse; to deny
sich rächen,to take revenge
grübeln,to brood; to ponder
gönnen,to grant willingly; to treat oneself to
ärgerlich,annoying; annoyed
begeistert,enthusiastic; thrilled
besorgt,worried; concerned
empört,outraged; indignant
entsetzt,horrified; appalled
erleichtert,relieved
gleichgültig,indifferent; unconcerned
hilflos,helpless
niedergeschlagen,dejected; downcast
ratlos,at a loss; baffled
schockiert,shocked
unsicher,insecure; uncertain
verärgert,annoyed; irritated
verlegen,embarrassed; awkward
verwirrt,confused; bewildered
verzweifelt,desperate; despairing
überfordert,overwhelmed; unable to cope
gekränkt,hurt; offended
genervt,annoyed; fed up
mitfühlend,compassionate; sympathetic
anspruchsvoll,demanding; sophisticated
charmant,charming
eingebildet,conceited; imagined
einfühlsam,empathetic; sensitive
energisch,energetic; forceful
entschlossen,determined; resolute
ernsthaft,serious; earnest
gewissenhaft,conscientious
hartnäckig,persistent; stubborn
herzlich,warm; cordial
humorvoll,humorous; funny
launisch,moody; temperamental
leichtsinnig,reckless; careless
lebhaft,lively; vivid
nachdenklich,thoughtful; pensive
rücksichtslos,inconsiderate; ruthless
sanft,gentle; soft
sensibel,sensitive
verschlossen,reserved; withdrawn
vertrauenswürdig,trustworthy
zurückhaltend,reserved; restrained
ausgeglichen,balanced; even-tempered
besonnen,level-headed; prudent
taktvoll,tactful
gesellig,sociable; convivial
überheblich,arrogant; presumptuous
misstrauisch,suspicious; distrustful
vertraut,familiar; close
absichtlich,deliberate; on purpose
versehentlich,accidental; by mistake
unbewusst,unconscious; unaware
spontan,spontaneous
unauffällig,inconspicuous; discreet
auffällig,striking; conspicuous
konsequent,consistent; resolute
frech,cheeky; impudent
aufrichtig,sincere; honest
heimlich,secret; surreptitious
ungeschickt,clumsy; awkward
geschickt,skilful; clever
übertrieben,exaggerated; excessive
angemessen,appropriate; adequate
sichtbar,visible
verständnisvoll,understanding; sympathetic
erstaunlich,astonishing; amazing
beeindruckend,impressive
peinlich,embarrassing; awkward
wählerisch,picky; choosy
Gemälde; das Gemälde,painting
Skulptur; die Skulptur,sculpture
Kunstwerk; das Kunstwerk,work of art
Meisterwerk; das Meisterwerk,masterpiece
Leinwand; die Leinwand,canvas; screen (cinema)
Galerie; die Galerie,gallery
Rahmen; der Rahmen,frame; framework
Skizze; die Skizze,sketch
Motiv; das Motiv,motif; subject; motive
Porträt; das Porträt,portrait
Abbildung; die Abbildung,illustration; figure
Original; das Original,original
Kritiker; der Kritiker,critic
Rezension; die Rezension,review
Stil; der Stil,style
Epoche; die Epoche,era; period
Architektur; die Architektur,architecture
Muster; das Muster,pattern; sample
Form; die Form,shape; form; mould
Fotografie; die Fotografie,photography; photograph
Zeichnung; die Zeichnung,drawing
Erbe; das Erbe,heritage; inheritance
Sitte; die Sitte,custom; convention
Legende; die Legende,legend
Märchen; das Märchen,fairy tale
Dialekt; der Dialekt,dialect
Redewendung; die Redewendung,idiom; set phrase
Sprichwort; das Sprichwort,proverb; saying
Übersetzung; die Übersetzung,translation
Untertitel; der Untertitel,subtitle
Heimat; die Heimat,home; homeland
Muttersprache; die Muttersprache,native language
Fremdsprache; die Fremdsprache,foreign language
Wortschatz; der Wortschatz,vocabulary
Alltag; der Alltag,everyday life; daily routine
Lebensstil; der Lebensstil,lifestyle
Studium; das Studium,studies; degree course
Studiengang; der Studiengang,degree programme
Semester; das Semester,semester; term
Vorlesung; die Vorlesung,lecture
Seminar; das Seminar,seminar
Dozent; der Dozent,lecturer
Abitur; das Abitur,school-leaving exam
Gymnasium; das Gymnasium,grammar school; academic high school
Hochschule; die Hochschule,university; college
Mensa; die Mensa,canteen (university)
Klausur; die Klausur,written exam
Referat; das Referat,presentation (class)
Hausarbeit; die Hausarbeit,term paper; housework
Nachhilfe; die Nachhilfe,tutoring; private lessons
Lehrbuch; das Lehrbuch,textbook
Aufsatz; der Aufsatz,essay
Vortrag; der Vortrag,talk; lecture
Vokabel; die Vokabel,vocabulary word
Grammatik; die Grammatik,grammar
Rechtschreibung; die Rechtschreibung,spelling
Aussprache; die Aussprache,pronunciation
Buchstabe; der Buchstabe,letter (alphabet)
Schrift; die Schrift,writing; script; font
Kapitel; das Kapitel,chapter
Inhalt; der Inhalt,content; contents
Zusammenfassung; die Zusammenfassung,summary
Konzentration; die Konzentration,concentration
Motivation; die Motivation,motivation
Jahrhundert; das Jahrhundert,century
Jahrzehnt; das Jahrzehnt,decade
Mittelalter; das Mittelalter,Middle Ages
Antike; die Antike,antiquity
Ursprung; der Ursprung,origin; source
Vorfahr; der Vorfahr,ancestor
Kaiser; der Kaiser,emperor
König; der König,king
Adel; der Adel,nobility; aristocracy
Sklave; der Sklave,slave
Herrschaft; die Herrschaft,rule; reign
Wiedervereinigung; die Wiedervereinigung,reunification
Mauer; die Mauer,wall (stone or brick)
Flucht; die Flucht,escape; flight
Weltkrieg; der Weltkrieg,world war
Schlacht; die Schlacht,battle
Held; der Held,hero
Ruine; die Ruine,ruin
Zerstörung; die Zerstörung,destruction
Unabhängigkeit; die Unabhängigkeit,independence
Einheit; die Einheit,unity; unit
Kloster; das Kloster,monastery; convent
Reiseziel; das Reiseziel,travel destination
Kreuzfahrt; die Kreuzfahrt,cruise
Abenteuer; das Abenteuer,adventure
Wanderweg; der Wanderweg,hiking trail
Pension; die Pension,guest house; retirement pension
Übernachtung; die Übernachtung,overnight stay
Rezeption; die Rezeption,reception desk
Stadtführung; die Stadtführung,guided city tour
Wahrzeichen; das Wahrzeichen,landmark
Altstadt; die Altstadt,old town
Andenken; das Andenken,souvenir; memento
Handgepäck; das Handgepäck,hand luggage
Sicherheitskontrolle; die Sicherheitskontrolle,security check
Fahrgast; der Fahrgast,passenger
Hütte; die Hütte,hut; cabin
Sportart; die Sportart,type of sport
Turnier; das Turnier,tournament
Meisterschaft; die Meisterschaft,championship
Liga; die Liga,league
Torwart; der Torwart,goalkeeper
Schiedsrichter; der Schiedsrichter,referee; umpire
Trainer; der Trainer,coach; trainer
Halbzeit; die Halbzeit,half-time; half
Verlängerung; die Verlängerung,extension; extra time
Unentschieden; das Unentschieden,draw; tie
Rekord; der Rekord,record (best performance)
Medaille; die Medaille,medal
Meister; der Meister,champion; master
Titel; der Titel,title
Sieger; der Sieger,winner; victor
Fitnessstudio; das Fitnessstudio,gym
Muskelkater; der Muskelkater,muscle soreness; aching muscles
Anstrengung; die Anstrengung,effort; exertion
Segeln; das Segeln,sailing
Schach; das Schach,chess
Turnhalle; die Turnhalle,sports hall
Trikot; das Trikot,jersey; sports shirt
Verabredung; die Verabredung,arrangement; date
Treffpunkt; der Treffpunkt,meeting point
Brettspiel; das Brettspiel,board game
Rätsel; das Rätsel,riddle; puzzle; mystery
Videospiel; das Videospiel,video game
Würfel; der Würfel,dice; cube
Eintrittskarte; die Eintrittskarte,admission ticket
Aufführung; die Aufführung,performance
Drehbuch; das Drehbuch,screenplay; script
Regisseur; der Regisseur,director (film)
Hauptrolle; die Hauptrolle,leading role
Kostüm; das Kostüm,costume
Applaus; der Applaus,applause
Orchester; das Orchester,orchestra
Chor; der Chor,choir
Zugabe; die Zugabe,encore
Komponist; der Komponist,composer
Klavier; das Klavier,piano
Schlagzeug; das Schlagzeug,drums; drum kit
Melodie; die Melodie,melody; tune
Rhythmus; der Rhythmus,rhythm
Lautstärke; die Lautstärke,volume (sound)
Auftritt; der Auftritt,performance; appearance
Probe; die Probe,rehearsal; sample
Dokumentation; die Dokumentation,documentary; documentation
Serie; die Serie,series
Krimi; der Krimi,crime story; thriller
Komödie; die Komödie,comedy
Figur; die Figur,character; figure
Mietvertrag; der Mietvertrag,lease; tenancy agreement
Wohngemeinschaft; die Wohngemeinschaft,shared flat
Umzug; der Umzug,move (house); parade
Altbau; der Altbau,old building
Neubau; der Neubau,new building
Einfamilienhaus; das Einfamilienhaus,single-family house; detached house
Hochhaus; das Hochhaus,high-rise building
Hausmeister; der Hausmeister,caretaker; janitor
Nachbarschaft; die Nachbarschaft,neighbourhood
Quadratmeter; der Quadratmeter,square metre
Rasen; der Rasen,lawn
