English,Definition
hunt,the chasing of animals to catch them; a careful search
hurriedly,done quickly because time is short
hut,a small simple building
ice hockey,a team sport on a frozen surface with sticks and a puck
ice skating,moving across a frozen surface wearing blades on your shoes
identity,who a particular person is
identity card,an official document proving who someone is
idiom,a phrase with a meaning different from its separate words
idol,someone who is greatly admired; a statue worshipped as a god
ignore,to pay no attention to something on purpose
illegally,in a way that breaks the law
illness,a disease or period of being unwell
illuminate,to give light to a place
imaginary,not real and existing only in the mind
imitate,to copy the way someone acts or speaks
immediate,happening right away without delay
immediately,right now without any delay
immigrate,to move to a new country to live there
immigration,the process of moving to live in another country
impair,to damage or weaken how something works
impression,an idea or feeling you get about someone
impressive,causing strong admiration because of its quality
improper,not correct or suitable for the situation
improvement,a change that makes something better
incident,an event usually unpleasant or unusual
including,counting something as part of a group
income,money a person regularly earns or receives
inconvenient,causing trouble at a bad time
incorrect,not right or not true
increasingly,more and more as time passes
incredible,very hard to believe; amazing and surprising
incredibly,extremely; in a way hard to believe
indefinite article,the grammar word 'a' or 'an'
independent,not controlled by or relying on others
indirect,taking a roundabout path instead of a straight one
indirectly,in a roundabout way
individual,relating to one single person or thing
indoors,inside a building rather than outside
industrial,relating to factories and manufacturing
industry,all businesses that make goods or services
inevitable,certain to happen and impossible to avoid
infection,an illness caused by germs
infinitive,the basic form of a verb such as 'to go'
inform,to tell someone facts or news
informative,giving useful facts or knowledge
ingredient,one item used to cook a dish
inhabitant,a person who lives in a certain place
inhale,to breathe air into your lungs
initial,the first letter of someone's name
initially,at the very beginning
inject,to put liquid into the body with a needle
injury,physical harm caused by an accident
ink,a colored liquid used for writing
innermost,closest to the middle or most private
innocent,not guilty of doing anything wrong
innovator,a person who creates new ideas or methods
inquiry,a question asked to get information; an official investigation
insane,seriously mentally ill; extremely foolish or wild
inscribe,to carve or write words on a surface
inscription,words carved or printed on an object
insight,a clear understanding of something complicated
insist,to demand something firmly
inspection,a careful official check of something
inspire,to fill someone with a strong desire to act
install,to put equipment or software in place for use
instance,a single example of something happening
instead of,in place of something else
institute,an organization set up for research or teaching
instruction,a statement telling someone what to do
instructor,a person who teaches a practical skill
insurance,a plan where you pay for protection against loss
intend,to plan or mean to do something
intense,very strong or extreme
intensive,involving great effort in a short time
intention,a plan or aim to do something
intentionally,on purpose and not by accident
interact,to talk or react with each other
interaction,contact or communication between people
intermediate,between a beginner and an advanced level
intermission,a short break during a play or film
internal,existing or happening inside something
internationally,involving or between many countries
interrupt,to stop someone while they are speaking
interval,a period of time between two events
interviewee,a person who answers questions in a meeting
introduction,the act of presenting someone new; the opening part of a book
invasion,an attack entering a country by force
invest,to put money into something hoping to gain more
investigation,a careful search to find out facts
invitation,a request asking someone to come to an event
involuntarily,without meaning to; not by choice
involve,to include something as a necessary part
involved,taking part in something
iron,a hot tool used to smooth clothes
ironing,smoothing clothes with a hot tool
irregular,not following the usual pattern
irritate,to make someone slightly angry
isle,a small piece of land surrounded by water
isolation,the state of being alone or apart
ivory,a hard white material from elephant tusks
jade,a hard green stone used for jewelry
jail,a building where criminals are kept
jar,a glass container with a lid
jazz,a style of music with free rhythm
jealous,wanting what someone else has
jewel,a precious stone often worn as decoration
jog,to run slowly for exercise
jogging,slow running done for exercise
joint,shared by two or more people
journal,a book for writing daily notes
journalist,someone who writes news stories
judgment,an opinion formed after careful thought
jug,a container with a handle for liquids
juicy,full of liquid; not dry
jumper,a warm knitted piece of clothing
jungle,a thick forest in a hot country
justice,fair treatment under the law
kettle,a container used to boil water
keyboard,a set of keys for typing
killing,the act of causing death
kindness,the quality of being gentle and caring
kitten,a baby cat
knit,to make clothing from wool with needles
lab,a room for scientific experiments
laboratory,a place equipped for scientific research
ladder,a structure with steps for climbing
lamb,a young sheep
landlord,a person who rents out a house
largely,mostly; mainly
lasting,continuing for a long time
latecomer,someone who shows up after everyone else
lately,in the recent past; not long ago
laughter,the sound of people being amused
launch,to start something new; to put into action
lawful,allowed by the law
lay,to put something down carefully
layer,one thickness of material covering another
leadership,the ability to guide a group of people
leading,most important or most successful
league,a group of sports teams that compete
lean,thin and fit with little fat
leap,to jump high or far
lecture,a talk given to teach something
legal,relating to the law
legally,according to the law
length,how long something is
lessen,to make something smaller or less
lettuce,a green leafy vegetable used in salads
liar,a person who does not tell the truth
liberate,to set someone free
liberation,the act of setting someone free
librarian,a person who manages books for the public
lifeguard,someone who watches swimmers to keep them safe
lifelong,lasting for someone's whole life
lift,a machine that carries people between floors
lighter,a small device used to make fire
lightly,with very little force or weight
lightning,a sudden bright flash during a storm
likeness,the quality of looking similar to someone
limit,the greatest amount or level allowed
limitation,something that restricts what is possible
limited,small in amount or number
limp,to walk with difficulty after an injury
link,a connection between two things
liquid,able to flow like water
literary,relating to written stories and poems
literature,written works such as novels and poems
liver,an organ that cleans the blood
loaf,a shaped piece of baked bread
locate,to find the exact position of something
location,the place where something is
lodge,a small house used for a stay
log,a thick piece of a cut tree
logic,careful and correct reasoning
logo,a symbol that represents a company
lorry,a large truck that carries goods
loss,the state of no longer having something
lottery,a game where people win prizes by chance
loud,making a lot of noise
loudspeaker,a device that broadcasts sound to a crowd
lovingly,in a warm and caring way
loyal,always faithful and supportive
loyalty,the quality of being faithful and supportive
luggage,bags used for carrying things when traveling
lung,an organ used for breathing
luxury,great comfort and expensive things
magical,having special powers beyond nature
magician,someone who performs tricks that seem impossible
magnificent,extremely impressive and beautiful
mailbox,a box where letters are delivered
main,the most important one
maintain,to keep something in good condition
maintenance,the work of keeping something in good condition
majority,more than half of a group
management,the control and organization of a business
mankind,all human beings as a group
maple,a tree known for red autumn leaves
marble,a hard smooth stone used in buildings
marine,relating to the sea
marked,very noticeable or obvious
marriage,the legal union of two people as partners
mash,to crush food until it becomes soft
mass,affecting a very large number of people
massive,extremely large in size
mathematician,a person who studies numbers and shapes
mathematics,the study of numbers and shapes
maximum,the greatest amount possible
mayor,the leader of a town or city
meaningful,having real importance or value
meanwhile,at the same time; during that period
measure,an action taken to achieve a result
measurement,the exact size or amount of something
mechanic,a person who repairs vehicles or machines
mechanical,operated by an engine or machine
meditate,to sit quietly and calm the mind
meditation,the practice of sitting quietly to calm the mind
Mediterranean,the sea between Europe Africa and Asia
medium,average in size or amount
melt,to turn from solid to liquid using heat
membership,the state of belonging to a group
memorable,special enough to stay in your mind
memorize,to learn something by heart
mend,to repair something that is broken
mental,relating to the mind
mentally,in relation to the mind
merchant,a person who buys and sells goods
mere,nothing more than; only
merely,only; simply
mess,an untidy or dirty state
message board,a webpage where people post public notes
messy,untidy or dirty
middle-aged,no longer young but not yet old
mild,not strong or severe; gentle
mile,a unit used to measure distance
mineral,a natural substance found in rock or soil
minimize,to make something as small as possible
minimum,the smallest amount allowed or possible
minor,not very important or serious
minority,a smaller part of a larger group
minus,with something taken away; less
miracle,an amazing event that seems impossible
mischief,playful behavior that causes trouble
miserable,very unhappy; extremely unpleasant
misery,great unhappiness or suffering
mislead,to make someone believe something false
mission,an important task someone must complete
misty,covered in thin fog
misunderstanding,wrong idea about what someone meant
mixing bowl,a bowl for combining ingredients
modal verb,a helping verb such as can or must
modem,a device linking a computer to the internet
moderate,average in amount; not extreme
modify,to change something slightly
moisture,small amounts of water in the air
molecule,the smallest unit of a substance
monitor,a screen showing computer images
monk,a man devoted to religious life
monster,a scary imaginary creature
monthly,happening once every month
monument,a large structure honoring a person or event
moral,a lesson learned from a story or experience
moreover,in addition to that
mosquito,a small biting flying insect
moss,a soft green plant on rocks or bark
motherland,a person's home country
motionless,perfectly still and not stirring
motivate,to give someone a reason to act
motivation,a strong desire to do something
motive,the reason behind an action
motor,a machine part that creates movement
motorcycle,a two-wheeled vehicle with an engine
motto,a short saying that expresses a belief
mount,a mountain (in a name); an animal for riding
mountaintop,the very top of a high peak
mourn,to feel deep sadness for someone who died
movement,a group with a shared social goal; a change of position
mud,soft wet earth
mule,an animal bred from a horse and donkey
murderer,a person who kills another person illegally
muscle,body tissue that produces movement
mustard,a spicy yellow sauce for food
mutual,felt or shared by both sides
myth,an old traditional story; a false idea many believe
nail,a metal pin for wood; a fingertip's hard covering
naked,wearing no clothes
nap,a short sleep in the daytime
narrate,to tell a story aloud
narrative,relating to telling a story
narrow,not wide; having little width
nasty,very unpleasant or unkind
nationalist,a person very proud of their country
naturally,as expected; without effort
navy blue,very dark blue in color
nearby,close in distance
necklace,jewelry worn around the neck
nectar,sweet liquid inside a flower
needle,a thin sharp sewing tool; a thin injection tool
negotiate,to talk in order to reach an agreement
negotiation,a discussion to reach an agreement
neighborhood,an area where people live close together
nephew,a brother's or sister's son
nervousness,a feeling of worry before something
ness,a point of land reaching into the sea
network,a group of connected people or systems
neutral,not taking either side
nevertheless,even though that is true
newborn,very recently born
newcomer,someone who just arrived somewhere
newly,just a short time ago
next door,in the house right beside yours
next-door,located in the closest house
nickname,an informal name for someone
niece,a brother's or sister's daughter
nightlife,entertainment available after dark
nod,a quick downward head movement
noisily,in a loud way
none,not a single one
nonetheless,even though that is true
nonsense,words with no real meaning; a foolish idea
nor,and not (used with 'neither')
normally,usually; most of the time
northeast,between north and east in direction
northeastern,located between the north and east
northern,in or toward the north
northwest,between north and west in direction
northwestern,located between the north and west
noticeable,easy to see or observe
noticeboard,a board for posting public messages
notion,an idea or belief
notorious,famous for something bad
novelist,a person who writes fiction books
nowhere,not in any place
nuclear,relating to the energy inside atoms
nucleus,the central part of a cell or atom
numerous,existing in large numbers; many
nutrient,a substance in food needed for health
nutrition,eating the food needed to stay healthy
nutritious,full of substances good for the body
object,a physical thing you can touch
objection,a reason for disagreeing with a plan
objective,a goal you are trying to reach
observation,the act of watching something closely
observe,to watch something carefully
obstacle,something blocking your progress
obtain,to get something
obvious,easy to see or understand
obviously,in a clear easy-to-see way
occasion,a particular time when something happens; a special event
occasional,happening sometimes but not often
occasionally,sometimes but not often
occupy,to live in or fill a space
occur,to happen or take place
ocean,a very large area of salt water
offensive,causing someone to feel insulted
officially,in an authorized formal way
oily,covered with fat or grease
old-fashioned,no longer modern or popular
oneself,one's own self
onstage,performing in front of an audience
onto,to a position on top of
opening,a gap or hole; the start of an event
operation,a planned series of actions; a medical procedure
opposition,strong disagreement with a plan
oppress,to treat people unfairly with cruel power
oppression,cruel and unfair treatment of people
option,a choice among several possibilities
oral,a spoken exam in a course
orbit,the curved path around a planet
orchestra,a large group of musicians playing together
orderly,well organized and neat
ordinary,normal and not special
organ,a body part with a specific job; a large keyboard instrument
organic,grown without artificial chemicals
organism,any living creature
organization,a group of people working toward a goal
origin,the point where something begins
otherwise,if that does not happen
ought to,should (used to give advice)
outdoor,happening outside a building
outdoors,outside a building
outer,on the outside part
outlaw,a person hiding from the law
outline,to describe the main points of something
out-of-date,no longer useful or correct
outstanding,extremely good or excellent
outward,facing away from the center
outweigh,to be more important than something else
overcome,to succeed in solving a problem
overjoyed,feeling extremely happy
overnight,lasting through the night; happening very suddenly
overwhelm,to affect someone with too much at once
overwhelming,very strong and hard to handle
overwork,too much hard work
owe,to need to pay someone back
owing,still needing to be paid
oxygen,a gas in the air we breathe
pace,the speed of doing something
package,a wrapped item sent by mail
packing,putting things into bags or boxes
paddle,a tool used to row a small boat
paid,given money for work done
pain,a bad feeling in your body
painful,causing hurt in body or mind
pale,light in color; little color in the face
palm,the inside flat part of your hand
parachute,a device that lets you float down from the sky
paradise,a perfect and beautiful place
paralyze,to make someone unable to move
parcel,a wrapped item sent through the mail
parental,relating to a mother or father
parking,a place to leave a car
parrot,a colorful bird that can copy speech
partial,not complete; only in part
participant,a person taking part in an event
participate,to take part in an activity
participle,a verb form used as an adjective
particularly,especially or more than usual
part-time,involving only some hours of work
passion,a very strong feeling or interest
passive,not acting; accepting what happens
passport,an official document for travel abroad
password,a secret word used to log in
patience,the ability to wait calmly
patrol,a group that guards an area
pattern,a repeated design or order
pause,a short stop in an action
peanut,a small nut used in food
peculiar,strange or unusual
penniless,having no money at all
penny,a coin of very low value
per,for each one
percent,a part out of every hundred
performer,a person who entertains an audience
permanent,lasting forever without changing
permanently,forever without change
permit,to allow something to happen
personally,from your own point of view
persuade,to make someone agree by talking
persuasive,good at making people agree
phantom,not real; existing only in imagination
pharmacy,a shop that sells medicine
phenomenon,an unusual event or fact
philosopher,a person who studies deep ideas about life
philosophy,the study of deep ideas about life
phoenix,a magic bird that rises from fire
photocopy,a copy of a paper made by machine
phrasal verb,a verb joined with a small word like up
phrase,a short group of words
physics,the science of matter and energy
pie,a baked dish with fruit or meat inside
piety,deep respect for religion
pillow,a soft cushion for your head in bed
pin,to fasten something with a small pointed object
pineapple,a sweet tropical fruit with spiky skin
pipe,a tube that carries liquid or gas
pit,a deep hole in the ground
plain,simple with no decoration
platform,a raised flat area to stand on
pleasantly,in a nice and enjoyable way
plug,a device that connects to an electric socket
pocket money,small amount of money given to a child
poet,a person who writes verses
poetry,written verses with rhythm and feeling
poison,a substance that can kill or harm you
poisonous,able to kill or harm the body
pole,a long thin stick or rod
policy,an official plan of action
politely,in a respectful and well-mannered way
politician,a person who works in government
politics,activities related to running a country
pollutant,a substance that makes air or water dirty
pond,a small area of still water
popcorn,a snack made from heated bursting corn
pork,meat from a pig
port,a town by the sea where ships stop
positive,hopeful about the future; certain about something
positively,in a good and certain way
possess,to own or have something
possession,something that a person owns
possessive,not wanting to share what is yours
possibility,a chance that something might happen
postcard,a card sent by mail with a picture
postman,a person who delivers letters
pot,a round container used for cooking
potential,the ability to develop in the future
pottery,objects made from baked clay
pound,the main unit of money in Britain; a unit of weight
poverty,having very little money
powder,a dry substance made of tiny grains
practical,useful and sensible in real life
praise,words that show approval or admiration
prayer,words spoken to God
precious,very valuable or important
preference,a liking for one thing over another
prefix,letters added to the start of a word
pregnant,expecting a baby
prejudice,an unfair opinion formed without good reason
preparation,the act of getting ready for something
prepared,ready for something
preposition,a small word that shows where or when something is
preschool,for children before school age
prescription,a doctor's written order for medicine
presence,the fact of being in a place
presentation,a talk given to explain something
preservation,keeping something safe from harm or change
preserve,to keep something safe from harm or change
president,the leader of a country or company
press,newspapers and journalists as a group
previous,happening or existing before
priest,a religious leader who leads ceremonies
primarily,mainly or mostly
primary school,a school for young children
primitive,very simple and from an early time
principle,a basic rule or belief
prison,a building where criminals are kept
prisoner,someone locked up as punishment
privacy,freedom from being watched by others
prize,a reward given for winning
probability,how likely something is to happen
proceed,to continue doing something
process,a series of steps to reach a goal
proclaim,to announce something publicly and clearly
procrastination,delaying tasks that should be done now
producer,a person who organizes a film or show
productive,getting a lot of useful work done
profession,a job that needs special training
professor,a senior teacher at a university
progress,movement toward a better result
prohibition,an official rule against doing something
prominent,well known and important
promote,to raise someone to a higher job; to advertise something
promotion,a move to a better job; advertising to attract buyers
pronoun,a word used in place of a noun
proof,facts that show something is true
properly,in a correct and suitable way
property,land or buildings that someone owns
proportion,a part compared to the whole
proposal,a plan suggested for others to consider
propose,to suggest a plan or idea; to ask someone to marry you
prosperity,success and wealth
prosperous,successful and wealthy
protect,to keep someone or something safe from harm
protection,the state of being kept safe from harm
protective,wanting to keep someone safe from harm
protest,a public event showing anger about something
proud,feeling pleased about something you achieved
prove,to show with facts that something is true
proverb,a short traditional saying that gives advice
provided,only if; on condition that
psychological,related to the mind and feelings
pub,a place where people drink and meet friends (UK)
public transport,shared vehicles like buses and trains for everyone
publicly,in a way that everyone can see or know
publisher,a company that prints and sells books
pullover,a warm knitted piece of clothing for the upper body
pump,a machine that pushes liquid or air
punish,to make someone suffer for doing something wrong
punishment,a penalty given for doing something wrong
pupil,a child who is learning at school
puppy,a very young dog
pure,not mixed with anything else
purify,to remove dirt or harmful substances from something
purse,a small bag for carrying money
puzzle,a game or problem that tests your thinking
quake,a sudden shaking of the ground
qualified,having the training needed to do a job
qualify,to reach the standard needed for something
quantity,the amount of something
question mark,the sign ? that shows something is being asked
questionnaire,a printed form with items you answer for a survey
queue,a line of people waiting for something
race,a competition to see who is fastest
racial,related to a person's ethnic group
radiation,dangerous energy given off by certain materials
rage,very strong anger
rail,a fixed metal support bar; a track for trains
railroad,a track that trains travel on (US)
railway,a track that trains travel on
rainfall,the amount of water that falls from the sky
rainforest,a thick green area of trees in a hot wet region
rank,a person's level or position in a group
rapid,happening very fast
rapidly,in a very quick way
rare,not found or happening often
rarely,not very often
raspberry,a small soft red fruit
ration,a fixed amount of food allowed per person
rational,based on clear thinking not feelings
razor,a small tool used to cut hair from skin
react,to do or say something in response to an event
realistic,showing things as they truly are
reality,what actually exists or happens
rearrange,to put things in a different order
reasonable,fair and sensible
rebuild,to make something whole again after it is destroyed
recall,to remember something from the past
reception,the desk where visitors are welcomed in a building
recite,to say a piece of writing from memory
reclaim,to get something back that was taken away
recognize,to know someone or something you have seen before
recommend,to tell someone that something is good or useful
recording,sound or video captured to play again later
recover,to become well again after being sick
recovery,the process of becoming well again
recycled,made from old materials treated for reuse
recycling,the process of treating waste for reuse
reduce,to make something smaller or less in amount
reduction,a decrease in size or amount
reef,a line of rock or coral near the sea surface
referee,a person who controls a sports game and its rules
reflection,an image seen in a mirror or in water
refreshments,small drinks and snacks served at an event
refund,money given back for something you returned
refusal,the act of saying no to something
refuse,waste material that is thrown away
regain,to get back something you once had
regard,to think of someone or something in a particular way
regarding,about; concerning
region,a large area of land or a country
regional,related to a particular area of a country
register,an official list of names or events
registration,the act of putting a name on an official list
regulation,an official rule that controls how something is done
reject,to refuse to accept something
relate,to show a connection between two things
relation,a connection between two things or people
relationship,the way two people or groups are connected
relative,considered in comparison with something else
relatively,when compared to other things
relaxing,making you feel calm and free of stress
reliable,able to be trusted to do what is needed
religion,belief in and worship of a god or gods
religious,related to belief in a god or gods
rely,to depend on someone or something for help
remainder,the part that is left over
remark,to say something as a comment
remarkable,unusual and worth noticing
remedy,something that treats an illness or solves a problem
remembrance,the act of keeping someone in memory with respect
remote control,a handheld device used to operate a TV from a distance
remove,to take something away from a place
renew,to make something valid again for longer
repay,to give back money you owe someone
repeatedly,again and again
representative,a person chosen to speak for a group
reproduce,to have babies or young animals
republic,a country led by an elected leader instead of a king
reputation,the opinion that people generally have about someone
require,to need something
requirement,something that is needed
rescue,the act of saving someone from danger
researcher,a person who studies something carefully to learn new facts
resemble,to look like or be similar to someone
reservation,an arrangement to keep a seat or room for you
reserve,a protected natural area for wildlife; a supply kept for future use
resident,living in a particular place
residential,having houses rather than shops or offices
resist,to fight against something or refuse to accept it
resolve,to find a solution to a problem
resort,a place where people go on vacation
resource,something useful that a country or person owns
respect,a feeling of admiration for someone
respectable,considered proper and acceptable by society
respond,to answer or react to something
responsibility,a duty to deal with something
responsible,having a duty to make sure something is done right
rest,a time of relaxing after activity; the part that remains
restore,to bring something back to its original condition
restrict,to limit what someone is allowed to do
retail,the selling of goods directly to customers
retain,to keep something and not lose it
retell,to describe events again in your own words
retrospect,looking back at something that happened before
reunification,the act of joining separate regions back into one country
reunify,to bring separate regions back together as one
revise,to change something to improve or correct it
revision,a change made to improve or correct something
reward,something given for good behavior or hard work
rewrite,to produce a new version of a text
rid,to make free of something unwanted
riddle,to fill something with many small holes
ridiculous,very silly or hard to take seriously
ripe,ready to be picked and eaten
rise,an increase in amount or level
risk,the chance that something bad might happen
roadside,the strip of land next to a street
robot,a machine that can perform tasks automatically
rolling,having gentle hills across the land
rotten,decayed and no longer fit to eat
rough,not smooth or gentle
routine,the usual things you do in a fixed order
rubber,a stretchy material used for tires and erasers
rubbish,waste material that is thrown away
rudely,in an impolite and disrespectful way
runaway,a person who has left home secretly
runway,a strip where planes take off and land
sacred,holy and deserving deep respect
sadness,the feeling of being unhappy
safari,a trip to see wild animals in their habitat
safeguard,something that protects against harm
safely,without danger or risk
safety,freedom from danger or harm
salesman,a man whose job is to sell products
salmon,a large pink fish that swims upstream
sand,tiny grains found on beaches and deserts
sandal,a light open shoe worn in warm weather
satellite,a device that orbits Earth and sends signals
satisfaction,the pleasant feeling when your needs are met
satisfied,pleased because you got what you wanted
saucepan,a deep pot with a handle used for cooking
saucer,a small plate placed under a cup
scan,a medical image of the inside of the body
scare,to make someone feel afraid
scared,feeling afraid
scary,causing fear
scatter,to throw things in many directions
scenic,having beautiful natural views
scholar,a person who studies a subject deeply
scholarship,money given to help pay for study
schoolmate,a friend from the same class
schoolteacher,a person whose job is teaching children
science fiction,stories about imagined future technology and space
scold,to tell someone off angrily for doing wrong
scope,the range of things a subject covers
score,the number of points earned in a game
scratch,a thin mark or cut on a surface
sculpture,a work of art shaped from stone or metal
season,one of the four parts of the year
seawater,salty water from the ocean
seaweed,a plant that grows in the ocean
secondary school,an institution for teenagers after childhood grades
second-hand,not new; owned by someone before
secretly,without letting others know
secure,safe and protected from danger
security,protection against danger or theft
seize,to grab something suddenly and firmly
select,carefully chosen as the finest
selection,a group of items chosen from many
selfish,caring only about yourself and not others
self-service,where customers help themselves without staff
sensation,a physical feeling in your body; great excitement
separation,the state of being apart or divided
sequence,a series of events in a fixed order
series,a number of similar things one after another
serious,important and needing careful thought; not joking
server,a computer that provides data to others; a waiter
service,help or work done for customers
session,a period of time spent on one activity
setting,the place and time of a story
settle,to start living somewhere permanently
settlement,a small community where people have gone to live
settler,a person who moves to live in a new land
severe,very serious or extreme
severely,in a very serious or harsh way
sex,being male or female
shadowy,dark and hard to see clearly
shallow,not deep
shame,a painful feeling of guilt or embarrassment
shameful,deserving guilt or embarrassment
sharp,having a fine cutting edge
shave,to cut hair off close to the skin
sheer,complete and total; very steep
sheet,a large piece of cloth used on a bed
shelter,a place that protects you from danger or weather
sheriff,an elected officer who enforces the law
shift,to move from one place or position to another
shiny,reflecting light brightly
shiver,to shake slightly from cold or fear
shocked,very surprised and upset
shocking,very surprising and upsetting
shopper,a person who is buying things in a store
shortage,a situation where there is not enough of something
shortly,in a short time; soon
shrimp,a small sea creature with a shell
sickness,the state of being ill
sidewalk,a paved path for walking beside a road
sigh,a long breath let out when tired or sad
signal,a sign that gives a message or warning
signature,a person's name written by hand
significance,the importance or meaning of something
signpost,a sign showing directions on a road
silent,making no sound at all
silk,a smooth fine cloth spun by a certain worm
similarity,a way in which two things are alike
similarly,in a like manner; in the same way
simplify,to make something easier to understand
simultaneously,happening at exactly the same time
skeleton,the frame of bones inside a body
skin,the outer layer covering a body
skyscraper,a very tall building in a city
slavery,the system of owning people as property
sleeve,the part of a shirt that covers the arm
slight,an insulting remark that hurts someone's pride
slightly,to a small degree; a little
slip,a small piece of paper; an accidental fall
slogan,a short catchy phrase used in advertising
slope,a surface set at an angle up or down
slot,a narrow opening for putting something in
smoker,a person with the habit of using cigarettes
sneeze,a sudden burst of air through the nose and mouth
snowboard,a board used to slide down snowy hills
snowstorm,bad weather with strong wind and thick frozen flakes
soap opera,a long TV drama about daily life
social networking,using websites to connect with friends online
socially,in a way related to how people interact
soil,to make something dirty
solid,firm and not liquid or hollow
somehow,in a way not yet known or explained
someplace,in or to a place not named (informal)
sometime,at a point in time not yet fixed
sometimes,on some occasions but not always
soothe,to make someone calmer or feel better
sophomore,a student in their second year of school
sore,painful when touched
sorrow,deep sadness
sort,a type or kind of something
soul,the spiritual part of a person
sour,having a sharp taste like a lemon
southeast,relating to the direction between south and east
southern,relating to or found in the south
southwest,relating to the direction between south and west
souvenir,an object kept to remember a trip
sparkle,a small bright flash of light
specialist,an expert in one particular subject
specialize,to focus your study or work on one area
specially,for a particular purpose
spectacular,extremely impressive to look at
spectator,a person who watches an event
spelling,the correct order of letters in a word
sphere,a perfectly round solid shape like a ball
spice,a plant substance used to flavor food
spicy,having a hot strong taste
spider,a small eight-legged creature that spins webs
spinach,a leafy green vegetable
spiral,curving continuously around a center point
spirit,a person's inner mind or attitude; a ghost
spiritual,relating to the soul rather than the body
spoil,to ruin something good
sponge,a soft material used to soak up water
sponsor,a person or company that pays for an event
sports,relating to physical games and exercise
sportsmanship,fair and honest behavior in a contest
stable,not likely to change or fall
stall,a small stand for selling goods
standard,an expected level of quality; a rule to judge by
stare,to look at something for a long time
status,a person's rank or position
steadily,in a constant and even way
steady,firm and not shaking
steam,hot mist that rises from boiling water
steel,a strong hard metal made from iron
steep,rising or falling sharply
stem,to come from a source; to stop blood flowing
stick,to attach to a surface; to poke something pointed
sticker,a small piece of paper with glue on the back
sticky,covered with something that clings to your fingers
stir,to mix a liquid with circular motions
storage,a place where things are kept until needed
stormy,having strong wind and heavy rain
storyteller,a person who tells tales aloud
strain,pressure or worry put on something
strangely,in an odd or unusual way
strategic,planned carefully to reach a goal
straw,dried yellow plant stalks; a thin tube for drinking
strawberry,a small red juicy fruit with tiny seeds outside
stream,a small narrow river
strengthen,to make something more powerful
stress,a feeling of worry caused by pressure
stressed,feeling worried because of pressure
stressful,causing worry and pressure
stretch,to pull something to make it longer
stricken,badly affected by trouble or disaster
strip,a long narrow piece of something
stripe,a long narrow band of color
struggle,a difficult effort to achieve something
stubborn,refusing to change one's mind
stuck,unable to move or escape
studio,a room where art or music is made
stuffed,completely filled with something
stumble,to trip and almost fall
stun,to shock or surprise someone greatly
stunning,extremely beautiful or impressive
stupid,not smart; showing poor judgment
stylish,fashionable and attractive in appearance
subconscious,happening in the mind without awareness
submarine,a ship that travels underwater
substantial,large in size or amount
substitute,a person or thing used in place of another
suddenly,quickly and without warning
suffer,to feel pain or difficulty
sufficient,enough for a purpose
suffix,letters added to the end of a word
suicide,the act of ending one's own life
summarize,to give the main points briefly
summit,a mountain's highest point; a meeting of leaders
sunbathe,to lie in the sun to get a tan
sundial,a device that shows time using the sun's shadow
sunrise,the moment the sun first appears
sunset,the moment the sun goes down
superior,better in quality than others
superstition,a belief not based on reason or science
supply,an amount of something available for use
supporter,a person who backs a team or cause
supportive,giving help and encouragement
suppose,to think something is probably true
supposedly,according to what people say (not certain)
surely,without doubt; certainly
surface,the outer or top part of something
surgeon,a doctor who performs operations
surgery,a medical operation on the body
surprisingly,in an unexpected way
surround,to be on every side of something
surrounding,close and on every side of a place
survival,staying alive through danger
survivor,a person who stays alive after danger
suspect,a person thought to have committed a crime
suspicion,a feeling that something is wrong or untrue
swarm,a large group of flying insects
swear,to promise something is true; to use rude words
sweatshirt,a warm soft cotton top for the body
swell,to grow bigger by filling with liquid or air
swimmer,a person who moves through water using arms and legs
switch,a small device that turns something on or off
swollen,bigger than normal because of fluid inside
sword,a weapon with a long sharp blade
sympathy,a feeling of care for someone's sadness
symptom,a sign that shows a person is ill
syndrome,a group of signs that show an illness
systematic,done in a planned and organized way
tablet,a small flat touchscreen computer; a small pill
takeaway,food bought to eat elsewhere; a key lesson learned
takeoff,the moment a plane leaves the ground
tale,a story that may not be completely true
talented,having a natural skill at something
talkative,liking to speak a lot
tank,a large container for liquid; an armored fighting vehicle
taste,the flavor of food in the mouth
tasteless,having little or no flavor
tasty,having a pleasant flavor
tax,money paid to the government
teaching,the job of helping students learn
teammate,a person who plays or works with you on the same side
teamwork,people working together toward a shared goal
tease,a playful joke made to bother someone lightly
technique,a particular skillful way of doing something
technological,relating to machines and modern science
teen,a young person aged thirteen to nineteen
telecommunications,sending information across long distances by signal
telegram,a short message once sent quickly by wire
teller,a bank worker who handles customers' money
temper,a tendency to become angry quickly
temporary,lasting for only a short time
tempt,to make someone want to do something
tend,to be likely to act a certain way
tendency,a likely way of behaving
tense,feeling worried and unable to relax
tension,a feeling of stress between people
tent,a portable shelter made of cloth
term,a word with a specific meaning; a period of study
terminal,a building where passengers wait for planes or trains
terribly,very badly; extremely
terrific,extremely good or enjoyable
terrified,feeling very frightened or scared
terror,a feeling of very great fear
terrorism,violent acts meant to scare people for political goals
thankful,feeling grateful for something
theft,the crime of taking something that belongs to someone else
theory,an idea that explains why something happens
thirst,to feel a strong desire for something
thorough,complete and careful in every detail
threat,a warning that something bad may happen
threatening,showing that harm may happen soon
thriller,a book or movie full of excitement and suspense
throughout,during the whole of a period or place
